id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
456	0616756L	2002-12-03 00:00:00	2003-02-04 00:00:00	JAX	Jacksonville International		Passenger Property Loss	Checkpoint	120.0	Other	Approved	120.0	Approve in Full
570	22424	2002-12-10 00:00:00	2002-12-03 00:00:00	JAX	Jacksonville International	American Airlines	Passenger Property Loss	Checkpoint	680.0	Watches & Jewelry	Settled	605.0	Settle
1005	0616798L	2002-12-30 00:00:00	2002-12-18 00:00:00	JAX	Jacksonville International		Passenger Property Loss	Checkpoint	29.95	Watches & Jewelry	Denied	0.0	Deny
1325	0114005L	2003-01-14 00:00:00	2002-12-21 00:00:00	JAX	Jacksonville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	700.0	Other	Approved	700.0	Approve in Full
2026	0129016L	2003-01-29 00:00:00	2003-01-08 00:00:00	JAX	Jacksonville International	Southwest Airlines	Passenger Property Loss	Checked Baggage	395.89	Electronics	Settled	197.95	Settle
2391	0211004L	2003-02-11 00:00:00	2002-12-27 00:00:00	JAX	Jacksonville International	Delta Air Lines	Passenger Property Loss	Checkpoint	630.0	Containers	Approved	630.0	Approve in Full
2471	0211016L	2003-02-11 00:00:00	2003-01-02 00:00:00	JAX	Jacksonville International		Passenger Property Loss	Checkpoint	100.0	Other	Settled	100.0	Settle
2826	0224102L	2003-02-24 00:00:00	2003-02-09 00:00:00	JAX	Jacksonville International	UAL	Passenger Property Loss	Checked Baggage	1620.0	Clothing & Accessories	Settled	480.0	Settle
3065	0227026L	2003-02-27 00:00:00	2003-01-17 00:00:00	JAX	Jacksonville International		Passenger Property Loss	Checked Baggage	25.0	Other	Settled	12.5	Settle
3697	0314054L	2003-03-14 00:00:00	2003-02-09 00:00:00	JAX	Jacksonville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	481.5	Watches & Jewelry	Settled	240.75	Settle
5018	0414006L	2003-04-14 00:00:00	2003-03-23 00:00:00	JAX	Jacksonville International		Passenger Property Loss	Checked Baggage	65.0	Clothing & Accessories	Settled	32.5	Settle
5528	0422036L	2003-04-22 00:00:00	2003-04-02 00:00:00	JAX	Jacksonville International	USAir	Passenger Property Loss	Checked Baggage	430.0	Electronics	Settled	215.0	Settle
6007	0505027L	2003-05-05 00:00:00	2003-03-31 00:00:00	JAX	Jacksonville International		Passenger Property Loss	Checked Baggage	172.99	Other	Denied	0.0	Deny
