id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
18438	1021026M	2003-10-21 00:00:00	2003-06-24 00:00:00	JNU	Juneau International	Alaska Airlines	Passenger Property Loss	Checked Baggage	180.0	Eyeglasses - (including contact lenses)	Settled	162.0	Settle
21671	1205267M	2003-12-05 00:00:00	2003-07-15 00:00:00	JNU	Juneau International	Alaska Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Denied	0.0	Deny
38520	2004071559488	2004-06-22 00:00:00	2004-04-22 00:00:00	JNU	Juneau International		Passenger Property Loss	Checkpoint	150.0	Jewelry - Fine	Denied	0.0	Deny
39661	2004072960235	2004-07-09 00:00:00	2004-06-23 00:00:00	JNU	Juneau International	Alaska Airlines	Passenger Property Loss	Checked Baggage	34.95	Other	Denied	0.0	Deny
40345	2004090261944	2004-07-16 00:00:00	2004-06-23 00:00:00	JNU	Juneau International	Alaska Airlines	Passenger Property Loss	Checked Baggage	43.1	Other	Approved	43.1	Approve in Full
41970	2004090862266	2004-08-09 00:00:00	2004-07-18 00:00:00	JNU	Juneau International	Alaska Airlines	Passenger Property Loss	Checked Baggage	157.94	Clothing - Shoes, belts, accessories, etc.	Approved	157.94	Approve in Full
41988	2004090862337	2004-08-09 00:00:00	2004-06-22 00:00:00	JNU	Juneau International	Alaska Airlines	Passenger Property Loss	Checked Baggage	40.0	Clothing - Shoes, belts, accessories, etc.	Approved	40.0	Approve in Full
42922	2004092864041	2004-08-19 00:00:00	2004-08-07 00:00:00	JNU	Juneau International		Passenger Property Loss	Checked Baggage	230.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	115.0	Settle
45054	2004092363693	2004-09-16 00:00:00	2004-09-01 00:00:00	JNU	Juneau International	Alaska Airlines	Passenger Property Loss	Checked Baggage	1050.0	Other	Denied	0.0	Deny
45238	2004102165415	2004-09-17 00:00:00	2004-10-04 00:00:00	JNU	Juneau International		Passenger Property Loss	Checked Baggage	396.0	Cameras - Digital	Denied	0.0	Deny
48924	2004122069498	2004-11-03 00:00:00	2004-08-16 00:00:00	JNU	Juneau International		Passenger Property Loss	Checked Baggage	12.6	Fish/Game	Approved	12.6	Approve in Full
49212	2004122370813	2004-11-04 00:00:00	2003-11-24 00:00:00	JNU	Juneau International		Passenger Property Loss	Checked Baggage	450.0	Jewelry - Fine	Denied	0.0	Deny
49963	2004122270428	2004-11-15 00:00:00	2004-08-10 00:00:00	JNU	Juneau International		Passenger Property Loss	Checked Baggage	79.12	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
52605	2005011073338	2004-12-21 00:00:00	2004-07-11 00:00:00	JNU	Juneau International		Passenger Property Loss	Checkpoint	160.0	Other	Approved	160.0	Approve in Full
