id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
13971	0821141M	2003-08-21 00:00:00	2003-07-28 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	772.0	Other	Denied	0.0	Deny
17317	1006087M	2003-10-06 00:00:00	2003-09-03 00:00:00	KTN	Ketchikan International	Delta Air Lines	Passenger Property Loss	Checkpoint	40.0	Other	Approved	40.0	Approve in Full
39250	2004071659580	2004-07-06 00:00:00	2004-06-27 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Settled	100.0	Settle
44430	2004101364938	2004-09-10 00:00:00	2004-08-13 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	165.42	Other	Approved	165.42	Approve in Full
59600	2005033080522	2005-03-18 00:00:00	2004-11-21 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	69.99	Other	Approved	69.99	Approve in Full
69978	2005082491311	2005-08-11 00:00:00	2005-07-25 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	19.85	Tools & Machines	Denied	0.0	Deny
71531	2005091692600	2005-09-08 00:00:00	2005-08-20 00:00:00	KTN	Ketchikan International	American Airlines	Passenger Property Loss	Checked Baggage	489.0	Electronics	Denied	0.0	Deny
75174	2005111896222	2005-11-09 00:00:00	2005-10-19 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Denied	0.0	Deny
79702	2006020200851	2006-01-27 00:00:00	2006-01-12 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	539.99	Electronics	Denied	0.0	Deny
86827	2006061508038	2006-06-14 00:00:00	2006-04-04 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	564.21	Electronics,Electronics	Settled	138.15	Settle
89325	2006081010726	2006-08-02 00:00:00	2006-07-20 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	445.7	Electronics,Electronics	Denied	0.0	Deny
92277	2006100213532	2006-09-28 00:00:00	2006-09-23 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	500.0	Outdoors Supplies	Denied	0.0	Deny
94486	2006111715754	2006-11-13 00:00:00	2006-11-05 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	200.0	Electronics	Denied	0.0	Deny
95594	2006121116907	2006-12-04 00:00:00	2006-11-09 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	410.0	Household Decor,Clothing & Accessories,Other	Denied	0.0	Deny
96193	2006122017548	2006-12-13 00:00:00	2006-10-18 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	20.0	Cosmetics,Watches & Jewelry	Denied	0.0	Deny
97755	2007011618840	2007-01-09 00:00:00	2006-12-06 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	35.0	Other	Denied	0.0	Deny
98168	2007012419344	2007-01-16 00:00:00	2006-12-26 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checkpoint	289.99	Electronics	Denied	0.0	Deny
98859	2007013119950	2007-01-26 00:00:00	2006-12-23 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	317.98	Electronics	Canceled	0.0	
122550	2008050944092	2008-05-09 00:00:00	2008-04-03 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	349.0	Electronics	Denied	0.0	Deny
124804	2008071646966	2008-06-27 00:00:00	2008-06-10 00:00:00	KTN	Ketchikan International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1000.0	Electronics	Denied	0.0	Deny
129055	2008100650800	2008-10-03 00:00:00	2008-09-20 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	500.0	Other	Settled	369.99	Settle
136179	2009042758019	2009-04-13 00:00:00	2009-03-08 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage	6800.0	Outdoors Supplies,Watches & Jewelry	Denied	0.0	Deny
151416	2010081374812	2010-08-05 00:00:00	2010-07-05 12:20:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry		31.8	Approve in Full
161380	2011063084855	2011-06-22 00:00:00	2011-05-26 15:30:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Cosmetics		94.99	Approve in Full
161473	2011070184903	2011-06-27 00:00:00	2011-05-25 08:20:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Other			
181710	2013080605714	2013-06-20 00:00:00	2013-05-22 19:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Scientific Intruments			
183283	2013091706988	2013-08-14 00:00:00	2013-07-21 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies		85.03	Approve in Full
187863	2014021111627	2014-02-05 00:00:00	2013-10-14 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies		0.0	Deny
199598	2015091725400	2015-09-01 00:00:00	2015-08-13 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Cosmetics			
199599	2015092925743	2015-09-15 00:00:00	2015-08-24 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies			
199600	2015110626683	2015-10-16 00:00:00	2015-06-05 00:00:00	KTN	Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry			
216390	2017091342965	2017-09-13 00:00:00	2017-07-09 17:30:00	KTN	Ketchikan International Ketchikan International	Alaska Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies			In Review
