id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
39418	2004080260345	2004-07-07 00:00:00	2004-01-18 00:00:00	LAN	Capital City, Lansing	Delta Air Lines	Passenger Property Loss	Checked Baggage	775.0	Clothing & Accessories	Denied	0.0	Deny
49627	2004122971490	2004-11-09 00:00:00	2004-10-11 00:00:00	LAN	Capital City, Lansing	Northwest Airlines	Passenger Property Loss	Checked Baggage	2650.0	Watches & Jewelry	Denied	0.0	Deny
66156	2005062387088	2005-06-14 00:00:00	2005-06-03 00:00:00	LAN	Capital City, Lansing		Passenger Property Loss	Checkpoint	31.64	Other	Denied	0.0	Deny
68265	2005072289491	2005-07-18 00:00:00	2005-06-18 00:00:00	LAN	Capital City, Lansing	Korean Airlines	Passenger Property Loss	Checked Baggage	31.0	Other	Approved	31.0	Approve in Full
72951	2005100594059	2005-09-29 00:00:00	2005-09-06 00:00:00	LAN	Capital City, Lansing		Passenger Property Loss	Checkpoint	42.0	Watches & Jewelry	Denied	0.0	Deny
72991	2005100594064	2005-09-29 00:00:00	2005-09-22 00:00:00	LAN	Capital City, Lansing		Passenger Property Loss	Checked Baggage	190.0	Clothing & Accessories	Settled	60.0	Settle
76923	2005121597876	2005-12-12 00:00:00	2005-12-01 00:00:00	LAN	Capital City, Lansing	Delta Air Lines	Passenger Property Loss	Checked Baggage	699.5	Clothing & Accessories	Denied	0.0	Deny
77082	2005122198159	2005-12-14 00:00:00	2005-09-05 00:00:00	LAN	Capital City, Lansing	UAL	Passenger Property Loss	Checked Baggage	117.9	Other	Denied	0.0	Deny
78263	2006011199404	2006-01-06 00:00:00	2005-12-25 00:00:00	LAN	Capital City, Lansing	UAL	Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
79417	2006012600369	2006-01-24 00:00:00	2006-01-08 00:00:00	LAN	Capital City, Lansing	Northwest Airlines	Passenger Property Loss	Checked Baggage	250.0	Watches & Jewelry	Canceled	0.0	
81928	2006031403074	2006-03-09 00:00:00	2005-11-28 00:00:00	LAN	Capital City, Lansing	Delta Air Lines	Passenger Property Loss	Checked Baggage	118.69	Other	Denied	0.0	Deny
84728	2006051206206	2006-05-02 00:00:00	2006-04-20 00:00:00	LAN	Capital City, Lansing	Northwest Airlines	Passenger Property Loss	Checked Baggage	450.0	Other	Denied	0.0	Deny
84870	2006051005848	2006-05-05 00:00:00	2006-04-30 00:00:00	LAN	Capital City, Lansing	UAL	Passenger Property Loss	Checked Baggage	858.3	Games & Toys,Other	Denied	0.0	Deny
88961	2006073110221	2006-07-26 00:00:00	2006-01-15 00:00:00	LAN	Capital City, Lansing	Allegiant Air	Passenger Property Loss	Checked Baggage	100.0	Tools & Machines	Denied	0.0	Deny
94268	2006111515619	2006-11-07 00:00:00	2006-05-25 00:00:00	LAN	Capital City, Lansing	Northwest Airlines	Passenger Property Loss	Checked Baggage	90.0	Watches & Jewelry	Denied	0.0	Deny
104324	2007052325876	2007-05-15 00:00:00	2007-05-10 00:00:00	LAN	Capital City, Lansing	UAL	Passenger Property Loss	Checkpoint	210.5	Cosmetics	Denied	0.0	Deny
106017	2007062127295	2007-06-19 00:00:00	2007-05-16 00:00:00	LAN	Capital City, Lansing	UAL	Passenger Property Loss	Checked Baggage	29.99	Electronics	Denied	0.0	Deny
