id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
78046	2006010999162	2006-01-04 00:00:00	2005-12-17 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage	197.17	Other	Denied	0.0	Deny
89810	2006081611170	2006-08-14 00:00:00	2006-07-24 00:00:00	LAW	Lawton/Ft. Sill Regional	American Eagle	Passenger Property Loss	Checked Baggage	8.0	Locks	Approved	8.0	Approve in Full
92719	2006101614080	2006-10-10 00:00:00	2005-11-22 00:00:00	LAW	Lawton/Ft. Sill Regional	American Eagle	Passenger Property Loss	Checked Baggage	125.0	Medicines	Approved	125.0	Approve in Full
105578	2007061426928	2007-06-08 00:00:00	2007-05-03 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage	607.0	Cameras - Digital*Other	Denied	0.0	Deny
121623	2008042343244	2008-04-21 00:00:00	2008-03-21 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage	25.93	Locks	Denied	0.0	Deny
121673	2008042543365	2008-04-21 00:00:00	2008-02-13 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage	800.0	Cameras - Digital*Computer - Laptop	Denied	0.0	Deny
126276	2008080548040	2008-07-31 00:00:00	2008-07-25 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage	100.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
127431	2008082649147	2008-08-26 00:00:00	2008-08-21 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage	20.0	Locks	Denied	0.0	Deny
130620	2008110752069	2008-11-14 00:00:00	2008-10-27 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage	1066.0	Computer - Laptop*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
133510	2009021255465	2009-01-29 00:00:00	2008-11-02 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage	407.95	Cameras - Digital*Medicines*Video Recordings - Laser Discs	Denied	0.0	Deny
152965	2010092276313	2010-09-20 00:00:00	2010-09-03 06:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage		Clothing*Cosmetics & Grooming		134.0	Approve in Full
185673	2013111509403	2013-11-15 00:00:00	2013-11-12 00:00:00	LAW	Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage		Travel Accessories		0.0	Deny
208412	2016103135389	2016-09-30 00:00:00	2016-09-25 00:00:00	LAW	Lawton/Ft. Sill Regional Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage		Computer & Accessories			Insufficient
208413	2016100634494	2016-09-30 00:00:00	2016-09-25 07:00:00	LAW	Lawton/Ft. Sill Regional Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checked Baggage		Computer & Accessories			Insufficient
216649	2017060940429	2017-05-18 00:00:00	2017-05-06 00:00:00	LAW	Lawton/Ft. Sill Regional Lawton/Ft. Sill Regional	American Eagle	Passenger Property Loss	Checkpoint		Jewelry & Watches			In Review
216650	2017083142622	2017-08-28 00:00:00	2017-08-02 00:00:00	LAW	Lawton/Ft. Sill Regional Lawton/Ft. Sill Regional	American Airlines	Passenger Property Loss	Checkpoint		Cosmetics & Grooming			In Review
