id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
12794	0808042M	2003-08-08 00:00:00	2003-07-29 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1250.0	Watches & Jewelry	Jewelry - Fine	Canceled	625.0	
18655	1022337M	2003-10-22 00:00:00	2003-10-08 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	4350.0	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
30269	2004052153040	2004-03-12 00:00:00	2003-12-28 00:00:00	LBB	Lubbock International	American Airlines	Passenger Property Loss	Checked Baggage		Other	Other	Canceled	0.0	
32308	2004052853769	2004-04-06 00:00:00	2004-01-01 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	106.0	Other	Other	Settled	53.0	Settle
34676	2004060855137	2004-05-05 00:00:00	2003-11-21 00:00:00	LBB	Lubbock International	American Airlines	Passenger Property Loss	Checkpoint	4675.0	Electronics	Cell Phones	In litigation		Deny
37469	2004070158216	2004-06-08 00:00:00	2004-05-22 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checkpoint	85.76	Other	Other	Denied	0.0	Deny
37555	2004070158104	2004-06-08 00:00:00	2004-05-05 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage	160.0	Other	Other	Settled	80.0	Settle
38046	2004062957696	2004-06-16 00:00:00	2004-05-05 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage	200.0	Tools & Machines	Locks	Settled	40.0	Settle
38333	2004070758638	2004-06-21 00:00:00	2004-06-03 00:00:00	LBB	Lubbock International	Continental Airlines	Passenger Property Loss	Checked Baggage		Supplies	Medicines	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
39753	2004090862362	2004-07-09 00:00:00	2004-05-13 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checkpoint	355.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
42936	2004092964236	2004-08-19 00:00:00	2004-08-03 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	110.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	55.0	Settle
49509	2004122770890	2004-11-09 00:00:00	2004-10-11 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	21.2	Supplies	Medicines	Approved	21.2	Approve in Full
51992	2005030176874	2004-12-14 00:00:00	2004-09-15 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage	19.95	Other	Other	Approved	19.95	Approve in Full
52265	2005010472706	2004-12-16 00:00:00	2004-11-22 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage		Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
62593	2005042783495	2005-04-26 00:00:00	2005-04-14 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage	125.0	Other	Other	Denied	0.0	Deny
65668	2005062086590	2005-06-07 00:00:00	2005-05-27 00:00:00	LBB	Lubbock International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	6.61	Other	Other	Denied	0.0	Deny
67718	2005071388849	2005-07-08 00:00:00	2005-05-13 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
67760	2005071288774	2005-07-11 00:00:00	2005-07-03 00:00:00	LBB	Lubbock International	American Airlines	Passenger Property Loss	Checked Baggage	48.69	Tools & Machines	Locks	Approved	48.69	Approve in Full
72537	2005093093529	2005-09-21 00:00:00	2005-09-08 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	216.48	Electronics	Cameras - Digital	Settled	88.24	Settle
75183	2005111896272	2005-11-09 00:00:00	2005-09-29 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage	35.0	Other	Other	Denied	0.0	Deny
77033	2005122198180	2005-12-13 00:00:00	2005-08-23 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	240.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
77056	2005121998027	2005-12-13 00:00:00	2005-11-04 00:00:00	LBB	Lubbock International	American Eagle	Passenger Property Loss	Checked Baggage	190.27	Other	Other	Settled	60.16	Settle
78026	2006010999065	2006-01-04 00:00:00	2005-12-14 00:00:00	LBB	Lubbock International	Continental Airlines	Passenger Property Loss	Checked Baggage	3125.0	Electronics	Computer - Laptop	Denied	0.0	Deny
78402	2006011799637	2006-01-10 00:00:00	2006-01-03 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage	2912.2	Watches & Jewelry	Jewelry - Fine	Approved	2912.2	Approve in Full
79737	2006020200815	2006-01-27 00:00:00	2005-12-11 00:00:00	LBB	Lubbock International	Continental Airlines	Passenger Property Loss	Checked Baggage	300.9	Electronics	Cameras - Digital	Settled	132.49	Settle
82348	2006032203489	2006-03-16 00:00:00	2006-03-04 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Settled	250.0	Settle
82855	2006040504088	2006-03-27 00:00:00	2006-02-12 00:00:00	LBB	Lubbock International	American Airlines	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Locks	Approved	20.0	Approve in Full
84314	2006050305674	2006-04-24 00:00:00	2006-04-11 00:00:00	LBB	Lubbock International	American Airlines	Passenger Property Loss	Checked Baggage	375.36	Electronics	Cameras - Digital	Settled	247.94	Settle
85640	2006052406903	2006-05-22 00:00:00	2006-05-18 00:00:00	LBB	Lubbock International	Continental Airlines	Passenger Property Loss	Checked Baggage	2550.0	Other	Other	Denied	0.0	Deny
86637	2006061307899	2006-06-12 00:00:00	2006-05-24 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	267.58	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
87888	2006070709156	2006-07-06 00:00:00	2006-06-25 00:00:00	LBB	Lubbock International		Passenger Property Loss	Checked Baggage	45.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
87976	2006071009228	2006-07-07 00:00:00	2006-06-14 00:00:00	LBB	Lubbock International	Southwest Airlines	Passenger Property Loss	Checked Baggage	125.69	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
88209	2006071409466	2006-07-11 00:00:00	2006-06-11 00:00:00	LBB	Lubbock International	American Airlines	Passenger Property Loss	Checked Baggage	129.93	Electronics	MP3 Players-(iPods, etc)	Denied	0.0	Deny
91775	2006092113084	2006-09-19 00:00:00	2006-09-03 00:00:00	LBB	Lubbock International	American Airlines	Passenger Property Loss	Checked Baggage	31.49	Other	Other	Approved	31.49	Approve in Full
