id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
194363	2014110718262	2014-11-03 00:00:00	2014-10-27 00:00:00	LCK	Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Other			
194548	2014112018454	2014-11-10 00:00:00	2014-10-19 00:00:00	LCK	Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Clothing & Accessories		169.59	Approve in Full
200362	2015052622734	2015-05-26 00:00:00	2015-04-26 00:00:00	LCK	Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
200364	2015080524582	2015-07-30 00:00:00	2015-06-28 00:00:00	LCK	Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Outdoors Supplies		34.66	Approve in Full
200365	2015111626889	2015-10-30 00:00:00	2015-07-11 00:00:00	LCK	Rickenbacker International Airport		Passenger Property Loss	Checked Baggage		Watches & Jewelry,Watches & Jewelry,Watches & Jewelry,Watches & Jewelry,Watches & Jewelry,Watches & Jewelry		0.0	Deny
200366	2015111726945	2015-11-02 00:00:00	2015-10-26 00:00:00	LCK	Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Watches & Jewelry			
208888	2016092333782	2016-07-31 00:00:00	2016-07-01 18:10:00	LCK	Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Household Items		495.0	Approve in Full
208889	2016092833984	2016-08-08 00:00:00	2016-07-31 08:00:00	LCK	Rickenbacker International Airport		Passenger Property Loss	Checked Baggage		Cosmetics			Closed:Canceled
208890	2016022929216	2016-02-05 00:00:00	2016-01-17 11:15:00	LCK	Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
208892	2016100334239	2016-08-12 00:00:00	2016-06-09 09:05:00	LCK	Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Clothing & Accessories			In Review
217180	2017071841648	2017-06-07 00:00:00	2017-05-08 15:04:00	LCK	 Rickenbacker International Airport		Passenger Property Loss	Checked Baggage		Outdoors Supplies		32.23	Approve in Full
217181	2017053140080	2017-05-10 00:00:00	2017-05-08 00:00:00	LCK	 Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Other			In Review
217183	2017060740334	2017-04-19 00:00:00	2017-04-03 00:00:00	LCK	 Rickenbacker International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage		Other			In Review
