id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
46234	2004110266164	2004-09-29 00:00:00	2004-09-04 00:00:00	LFT	Lafayette Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	360.0	Electronics	Denied	0.0	Deny
52017	2005010472470	2004-12-14 00:00:00	2004-11-19 00:00:00	LFT	Lafayette Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	750.0	Other	Canceled	0.0	
53089	2005011973759	2004-12-28 00:00:00	2004-06-25 00:00:00	LFT	Lafayette Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	189.99	Electronics	Denied	0.0	Deny
55059	2005020475636	2005-01-19 00:00:00	2004-04-12 00:00:00	LFT	Lafayette Regional		Passenger Property Loss	Checked Baggage	400.0	Electronics	Settled	50.0	Settle
67562	2005070888466	2005-07-06 00:00:00	2005-04-18 00:00:00	LFT	Lafayette Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	2250.0	Other	Settled	1620.0	Settle
79064	2006012500283	2006-01-18 00:00:00	2006-01-10 00:00:00	LFT	Lafayette Regional	Continental Airlines	Passenger Property Loss	Checkpoint	200.0	Other	Denied	0.0	Deny
80985	2006022402151	2006-02-21 00:00:00	2006-02-07 00:00:00	LFT	Lafayette Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	430.0	Electronics	Denied	0.0	Deny
84807	2006051005823	2006-05-04 00:00:00	2006-03-02 00:00:00	LFT	Lafayette Regional	Continental Airlines	Passenger Property Loss	Checkpoint	470.0	Other	Denied	0.0	Deny
98198	2007012219101	2007-01-16 00:00:00	2007-01-04 00:00:00	LFT	Lafayette Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	690.12	Games & Toys	Settled	318.04	Settle
102047	2007040223352	2007-03-29 00:00:00	2007-03-20 00:00:00	LFT	Lafayette Regional	Continental Express Inc	Passenger Property Loss	Checked Baggage	10.5	Tools & Machines	Approved	10.5	Approve in Full
123858	2008061245553	2008-06-06 00:00:00	2008-05-25 00:00:00	LFT	Lafayette Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Electronics	Denied	0.0	Deny
127142	2008082248961	2008-08-19 00:00:00	2008-07-28 00:00:00	LFT	Lafayette Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	236.5	Containers,Cosmetics	Denied	0.0	Deny
128305	2008091950145	2008-09-16 00:00:00	2008-06-15 00:00:00	LFT	Lafayette Regional	Continental Airlines	Passenger Property Loss	Checkpoint	150.0	Clothing & Accessories	Approved	150.0	Approve in Full
128888	2008091950133	2008-09-30 00:00:00	2008-08-20 00:00:00	LFT	Lafayette Regional	American Airlines	Passenger Property Loss	Checked Baggage	672.84	Games & Toys	Denied	0.0	Deny
