id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
358	0703501M	2002-11-22 00:00:00	2002-11-22 00:00:00	LGB	Long Beach	Jet Blue	Passenger Property Loss	Checkpoint	747.13	Watches & Jewelry	Jewelry - Fine	Approved	747.13	Approve in Full
604	23156	2002-12-12 00:00:00	2002-11-17 00:00:00	LGB	Long Beach	Jet Blue	Passenger Property Loss	Checked Baggage	2600.0	Electronics	Computer - Laptop	Settled	1626.92	Settle
4509	0401099L	2003-04-01 00:00:00	2003-03-03 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	345.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	172.5	Settle
6361	0513002L	2003-05-13 00:00:00	2003-03-31 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	240.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	120.0	Settle
7242	0529133L	2003-05-29 00:00:00	2003-05-27 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	4625.0	Watches & Jewelry	Jewelry - Fine	Denied	4625.0	Deny
7995	0609017L	2003-06-09 00:00:00	2003-05-25 00:00:00	LGB	Long Beach	America West	Passenger Property Loss	Checked Baggage	482.72	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
8098	0610022L	2003-06-10 00:00:00	2003-05-30 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checkpoint	757.97	Electronics	Cameras - Digital	Approved	720.0	Approve in Full
8285	0610143L	2003-06-10 00:00:00	2003-05-26 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	317.92	Electronics	PDA - Personal Data Assistants	Settled	158.96	Settle
8736	0617109L	2003-06-17 00:00:00	2003-06-02 00:00:00	LGB	Long Beach	Jet Blue	Passenger Property Loss	Checked Baggage	105.0	Other	Other	Denied	0.0	Deny
8850	0618108L	2003-06-18 00:00:00	2003-05-29 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	725.0	Watches & Jewelry	Jewelry - Fine	Approved	725.0	Approve in Full
9753	0701119M	2003-07-01 00:00:00	2003-05-20 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	15700.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
12792	0808094M	2003-08-08 00:00:00	2003-07-24 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	730.0	Electronics	Cameras - Digital	Approved	730.0	Approve in Full
12809	0808078M	2003-08-08 00:00:00	2003-06-22 00:00:00	LGB	Long Beach	Jet Blue	Passenger Property Loss	Checkpoint	220.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
13021	0812039M	2003-08-12 00:00:00	2003-07-19 00:00:00	LGB	Long Beach	Jet Blue	Passenger Property Loss	Checked Baggage	527.03	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	263.51	Settle
13140	0813170M	2003-08-13 00:00:00	2003-07-12 00:00:00	LGB	Long Beach	Jet Blue	Passenger Property Loss	Checked Baggage	9.95	Tools & Machines	Locks	Denied	0.0	Deny
14078	0822085M	2003-08-22 00:00:00	2003-08-12 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	650.0	Containers	Luggage (all types including footlockers)	Canceled		
14426	0826291M	2003-08-26 00:00:00	2003-08-07 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	1620.0	Other	Other	Denied	0.0	Deny
15114	0905213M	2003-09-05 00:00:00	2003-06-30 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	190.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	190.0	Approve in Full
15239	0905070M	2003-09-05 00:00:00	2003-08-21 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	3000.0	Electronics	Computer - Laptop	Settled	2500.0	Settle
15322	0908029M	2003-09-08 00:00:00	2003-08-12 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	1100.0	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
15809	0911020M	2003-09-11 00:00:00	2003-07-23 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	37.83	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	18.92	Settle
15875	0915027M	2003-09-15 00:00:00	2003-08-22 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	1000.0	Electronics	Cameras - Digital	Denied		Deny
15996	0916052M	2003-09-16 00:00:00	2003-08-28 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	30.0	Other	Other	Approved	30.0	Approve in Full
16065	0916044M	2003-09-16 00:00:00	2003-08-29 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	700.0	Other	Other	Settled	675.72	Settle
16269	0923149M	2003-09-23 00:00:00	2003-09-13 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	1445.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
17518	1008017M	2003-10-08 00:00:00	2003-09-21 00:00:00	LGB	Long Beach	Jet Blue	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	150.0	Approve in Full
17781	1009020M	2003-10-09 00:00:00	2003-09-24 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	22.19	Tools & Machines	Locks	Settled	11.09	Settle
18721	1022182M	2003-10-22 00:00:00	2003-10-06 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	504.0	Electronics	Cameras - Digital	Denied		Deny
19215	1030182M	2003-10-30 00:00:00	2003-10-17 00:00:00	LGB	Long Beach	Jet Blue	Passenger Property Loss	Checked Baggage	65.0	Other	Other	Denied	0.0	Deny
19841	1107125M	2003-11-07 00:00:00	2003-10-07 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	1592.7	Electronics	Cameras - Digital	Denied	0.0	Deny
20625	1117505M	2003-11-17 00:00:00	2003-10-13 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	410.06	Other	Other	Settled	205.03	Settle
20633	1117530M	2003-11-17 00:00:00	2003-11-10 00:00:00	LGB	Long Beach	American Airlines	Passenger Property Loss	Checked Baggage	124.99	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	62.5	Settle
20881	1119171M	2003-11-19 00:00:00	2003-09-10 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	161.51	Other	Other	Settled	80.75	Settle
21589	1205602M	2003-12-05 00:00:00	2003-10-06 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	80.0	Other	Other	Canceled		
22018	1205585M	2003-12-05 00:00:00	2003-11-17 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	2500.0	Electronics	Computer - Laptop	Settled	966.7	Settle
22027	1205617M	2003-12-05 00:00:00	2003-09-28 00:00:00	LGB	Long Beach		Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Settled	200.0	Settle
