id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2417	0211104L	2003-02-11 00:00:00	2003-01-29 00:00:00	LIT	Little Rock National	American Airlines	Passenger Property Loss	Checked Baggage	49.99	Clothing & Accessories	Approved	49.99	Approve in Full
2764	0224001L	2003-02-24 00:00:00	2003-02-03 00:00:00	LIT	Little Rock National	Continental Airlines	Passenger Property Loss	Checked Baggage		Containers	Canceled		
2953	0225104L	2003-02-25 00:00:00	2003-02-03 00:00:00	LIT	Little Rock National	Continental Airlines	Passenger Property Loss	Checked Baggage	150.0	Electronics	Settled	75.0	Settle
3325	0306032L	2003-03-06 00:00:00	2003-01-23 00:00:00	LIT	Little Rock National	Delta Air Lines	Passenger Property Loss	Checked Baggage	1101.32	Other	Denied	0.0	Deny
4297	0326085L	2003-03-26 00:00:00	2003-01-20 00:00:00	LIT	Little Rock National	Delta Air Lines	Passenger Property Loss	Checked Baggage	298.0	Electronics	Settled	150.0	Settle
4610	0402074L	2003-04-02 00:00:00	2003-03-16 00:00:00	LIT	Little Rock National	Delta Air Lines	Passenger Property Loss	Checked Baggage	62.48	Cosmetics	Settled	31.24	Settle
5736	0428101L	2003-04-28 00:00:00	2003-04-10 00:00:00	LIT	Little Rock National		Passenger Property Loss	Checked Baggage	10.0	Other	Denied		Deny
6066	0505095L	2003-05-05 00:00:00	2003-03-12 00:00:00	LIT	Little Rock National	USAir	Passenger Property Loss	Checked Baggage	15.0	Clothing & Accessories	Settled	7.5	Settle
6456	0514014L	2003-05-14 00:00:00	2003-04-29 00:00:00	LIT	Little Rock National	Southwest Airlines	Passenger Property Loss	Checked Baggage	24.02	Tools & Machines	Denied	0.0	Deny
7818	0605031L	2003-06-05 00:00:00	2003-03-26 00:00:00	LIT	Little Rock National	Delta Air Lines	Passenger Property Loss	Checkpoint	110.0	Electronics	Approved	110.0	Approve in Full
11815	0728060M	2003-07-28 00:00:00	2003-06-27 00:00:00	LIT	Little Rock National		Passenger Property Loss	Checked Baggage	130.0	Containers	Settled	65.0	Settle
12366	0801027M	2003-08-01 00:00:00	2003-07-13 00:00:00	LIT	Little Rock National	USAir	Passenger Property Loss	Checked Baggage	355.0	Clothing & Accessories	Settled	177.5	Settle
12634	0806055M	2003-08-06 00:00:00	2003-07-12 00:00:00	LIT	Little Rock National	Northwest Airlines	Passenger Property Loss	Checked Baggage	1280.0	Watches & Jewelry	Denied	0.0	Deny
14224	0825064M	2003-08-25 00:00:00	2003-06-01 00:00:00	LIT	Little Rock National	American Airlines	Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Settled	150.0	Settle
17316	1006086M	2003-10-06 00:00:00	2003-06-30 00:00:00	LIT	Little Rock National		Passenger Property Loss	Checkpoint	95.0	Other	Approved	95.0	Approve in Full
19249	1030056M	2003-10-30 00:00:00	2003-10-05 00:00:00	LIT	Little Rock National		Passenger Property Loss	Checked Baggage	120.0	Other	Settled	60.0	Settle
21914	1205236M	2003-12-05 00:00:00	2003-10-22 00:00:00	LIT	Little Rock National	Northwest Airlines	Passenger Property Loss	Checked Baggage	252.0	Other	Settled	126.0	Settle
23193	1217662M	2003-12-17 00:00:00	2003-10-24 00:00:00	LIT	Little Rock National	Northwest Airlines	Passenger Property Loss	Checked Baggage	949.77	Electronics	Settled	590.49	Settle
23929	0105058M	2004-01-05 00:00:00	2003-12-12 00:00:00	LIT	Little Rock National		Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Settled	400.0	Settle
24927	0114533M	2004-01-14 00:00:00	2003-12-19 00:00:00	LIT	Little Rock National		Passenger Property Loss	Checkpoint	1200.0	Watches & Jewelry	Denied	0.0	Deny
25778	0129213M	2004-01-29 00:00:00	2003-01-06 00:00:00	LIT	Little Rock National	Delta Air Lines	Passenger Property Loss	Checkpoint	1500.0	Clothing & Accessories	Denied	0.0	Deny
