id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
7784	0604019L	2003-06-04 00:00:00	2003-04-24 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage	80.0	Clothing & Accessories	In litigation		Approve in Full
10425	0709095M	2003-07-09 00:00:00	2003-06-30 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checkpoint	789.22	Electronics	Canceled	0.0	
14892	0903013M	2003-09-03 00:00:00	2003-06-18 00:00:00	LNK	Lincoln Municipal		Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Denied	0.0	Deny
20766	1119058M	2003-11-19 00:00:00	2003-10-13 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checkpoint	160.0	Other	Denied	0.0	Deny
20862	1119101M	2003-11-19 00:00:00	2003-11-04 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	275.0	Other	Settled	137.5	Settle
35425	2004071459243	2004-05-17 00:00:00	2004-04-22 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checkpoint	3500.0	Watches & Jewelry	Denied	3500.0	Deny
49839	2004122170116	2004-11-15 00:00:00	2004-09-03 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	77.48	Other	Approved	77.48	Approve in Full
62062	2005042082936	2005-04-19 00:00:00	2005-03-28 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage	263.98	Electronics	Denied	0.0	Deny
76768	2005121397614	2005-12-08 00:00:00	2005-11-20 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	15.0	Tools & Machines	Approved	15.0	Approve in Full
81908	2006031403070	2006-03-09 00:00:00	2006-02-22 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage	14.06	Tools & Machines	Approved	14.06	Approve in Full
95716	2006121417127	2006-12-05 00:00:00	2006-10-26 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage	100.0	Other	Denied	0.0	Deny
97727	2007011618774	2007-01-09 00:00:00	2006-12-22 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	315.0	Clothing & Accessories,Cosmetics	Denied	0.0	Deny
103946	2007050825126	2007-05-08 00:00:00	2007-03-24 00:00:00	LNK	Lincoln Municipal	Allegiant Air	Passenger Property Loss	Checked Baggage	350.0	Clothing & Accessories,Clothing & Accessories,Clothing & Accessories	Denied	0.0	Deny
111707	2007100533051	2007-10-04 00:00:00	2007-09-20 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage	8.55	Tools & Machines	Denied	0.0	Deny
116348	2008011037743	2008-01-08 00:00:00	2007-12-27 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	372.75	Watches & Jewelry	Denied	0.0	Deny
117275	2008013038883	2008-01-24 00:00:00	2008-01-13 00:00:00	LNK	Lincoln Municipal		Passenger Property Loss	Checked Baggage	38.99	Other	Denied	0.0	Deny
118416	2008022540066	2008-02-19 00:00:00	2008-01-31 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	52.5	Clothing & Accessories	Approved	52.5	Approve in Full
119715	2008032141365	2008-03-14 00:00:00	2007-11-02 00:00:00	LNK	Lincoln Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage	328.36	Watches & Jewelry	Denied	0.0	Deny
123712	2008060445247	2008-06-03 00:00:00	2008-05-12 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage	23.43	Tools & Machines	Settled	11.71	Settle
131131	2008112452703	2008-11-28 00:00:00	2008-11-08 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage	12.0	Clothing & Accessories	Denied	0.0	Deny
137918	2009060959943	2009-06-03 00:00:00	2009-05-29 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	129.99	Cosmetics,Clothing & Accessories,Electronics	Denied	0.0	Deny
138031	2009061160070	2009-06-05 00:00:00	2009-05-30 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	370.8	Clothing & Accessories	Denied	0.0	Deny
139993	2009080462200	2009-07-27 00:00:00	2009-07-07 00:00:00	LNK	Lincoln Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage	179.99	Electronics	Denied	0.0	Deny
141224	2009090163224	2009-08-31 00:00:00	2009-07-25 00:00:00	LNK	Lincoln Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	120.0	Supplies	Denied	0.0	Deny
153952	2010102777421	2010-10-19 00:00:00	2010-10-06 12:50:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage		Electronics,Other		0.0	Deny
154701	2010112378093	2010-11-15 00:00:00	2010-11-07 00:00:00	LNK	Lincoln Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage		Watches & Jewelry		0.0	Deny
154828	2010112678223	2010-11-17 00:00:00	2010-10-30 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage		Outdoors Supplies		160.13	Approve in Full
156683	2011021180123	2011-01-19 00:00:00	2010-12-11 10:45:00	LNK	Lincoln Municipal	Delta Air Lines	Passenger Property Loss	Checkpoint		Other		0.0	Deny
158920	2011041382302	2011-04-04 00:00:00	2011-02-19 00:00:00	LNK	Lincoln Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage		Watches & Jewelry		0.0	Deny
161518	2011070685036	2011-06-27 00:00:00	2011-06-07 07:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage		Other,Other		0.0	Deny
164840	2011102488333	2011-10-14 00:00:00	2011-09-15 12:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage		Containers,Cosmetics		0.0	Deny
167457	2012010489968	2012-01-17 00:00:00	2011-12-01 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage		Watches & Jewelry		0.0	Deny
168280	2012032692025	2012-02-09 00:00:00	2012-02-01 00:00:00	LNK	Lincoln Municipal		Passenger Property Loss	Checked Baggage		Clothing & Accessories		0.0	Deny
168597	2012033092297	2012-02-21 00:00:00	2011-12-11 05:41:00	LNK	Lincoln Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
169493	2012041792992	2012-03-26 00:00:00	2012-03-02 00:00:00	LNK	Lincoln Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage		Containers		30.0	Approve in Full
171230	2012062694908	2012-05-25 00:00:00	2012-02-22 14:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checkpoint		Containers		30.0	Approve in Full
172947	2012090696622	2012-07-27 00:00:00	2012-07-21 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage		Cosmetics		13.16	Approve in Full
173970	2012101797695	2012-08-31 00:00:00	2012-08-10 00:00:00	LNK	Lincoln Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage		Watches & Jewelry			
200564	2016010528092	2015-12-23 00:00:00	2015-11-28 00:00:00	LNK	Lincoln Municipal	UAL	Passenger Property Loss	Checked Baggage		Cosmetics,Scientific Intruments			
