id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
10711	0714102M	2003-07-14 00:00:00	2003-04-24 00:00:00	LSE	La Crosse Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	2429.63	Electronics	Computer - Laptop	Denied	0.0	Deny
28464	0223217M	2004-02-23 00:00:00	2004-01-30 00:00:00	LSE	La Crosse Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	30.0	Approve in Full
31002	2004051351590	2004-03-22 00:00:00	2004-01-22 00:00:00	LSE	La Crosse Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	1054.99	Electronics	Cameras - Digital	Denied	0.0	Deny
31165	2004051452270	2004-03-24 00:00:00	2004-02-18 00:00:00	LSE	La Crosse Municipal	American Airlines	Passenger Property Loss	Checked Baggage	614.98	Watches & Jewelry	Jewelry - Fine	Approved	614.98	Approve in Full
54668	2005013175099	2005-01-18 00:00:00	2004-12-22 00:00:00	LSE	La Crosse Municipal		Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Locks	Approved	10.0	Approve in Full
57355	2005031678462	2005-02-16 00:00:00	2005-01-05 00:00:00	LSE	La Crosse Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	49.99	Other	Other	Approved	49.99	Approve in Full
61847	2005041882759	2005-04-15 00:00:00	2005-02-14 00:00:00	LSE	La Crosse Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	80.0	Other	Other	Denied	0.0	Deny
73463	2005101494582	2005-10-07 00:00:00	2005-08-05 00:00:00	LSE	La Crosse Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
74875	2005110995857	2005-11-01 00:00:00	2005-09-13 00:00:00	LSE	La Crosse Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	252.65	Watches & Jewelry	Jewelry - Fine	Settled	210.0	Settle
84498	2006050805728	2006-04-28 00:00:00	2006-02-11 00:00:00	LSE	La Crosse Municipal		Passenger Property Loss	Checked Baggage	54.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	54.0	Approve in Full
87253	2006062308460	2006-06-22 00:00:00	2006-02-23 00:00:00	LSE	La Crosse Municipal	Northwest Airlines	Passenger Property Loss	Checked Baggage	1542.29	Electronics,Other	Computer - Laptop*Other	Settled	771.15	Settle
