id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
40948	2004080260314	2004-07-26 00:00:00	2004-07-19 00:00:00	LWS	Lewiston Nez-Perce County Regional	Alaska Airlines	Passenger Property Loss	Checked Baggage	178.77	Cameras - Digital	Approved	178.77	Approve in Full
74835	2005111095962	2005-11-01 00:00:00	2005-09-25 00:00:00	LWS	Lewiston Nez-Perce County Regional		Passenger Property Loss	Checkpoint	1000.0	Jewelry - Fine	Denied	0.0	Deny
83911	2006042505327	2006-04-17 00:00:00	2006-01-27 00:00:00	LWS	Lewiston Nez-Perce County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	15.0	Locks	Approved	15.0	Approve in Full
85082	2006051206191	2006-05-10 00:00:00	2005-02-23 00:00:00	LWS	Lewiston Nez-Perce County Regional	Alaska Airlines	Passenger Property Loss	Checked Baggage	22.75	Currency*Other	Denied	0.0	Deny
88744	2006072510047	2006-07-21 00:00:00	2006-06-22 00:00:00	LWS	Lewiston Nez-Perce County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	24.34	Cell Phones	Approved	24.34	Approve in Full
92611	2006101914200	2006-10-05 00:00:00	2006-09-27 00:00:00	LWS	Lewiston Nez-Perce County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	185.0	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
98415	2007012519524	2007-01-19 00:00:00	2006-12-19 00:00:00	LWS	Lewiston Nez-Perce County Regional	Horizon Air	Passenger Property Loss	Checked Baggage	918.52	Audio - CD's*Video Recordings - Laser Discs	Denied	0.0	Deny
99321	2007020620317	2007-02-05 00:00:00	2007-01-09 00:00:00	LWS	Lewiston Nez-Perce County Regional	Alaska Airlines	Passenger Property Loss	Checked Baggage	1621.39	Jewelry - Fine	Denied	0.0	Deny
111443	2007100232870	2007-09-28 00:00:00	2007-09-23 00:00:00	LWS	Lewiston Nez-Perce County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	16.91	Books - Other (Hardcover non-fiction)	Denied	0.0	Deny
114817	2007121036257	2007-12-06 00:00:00	2007-11-30 00:00:00	LWS	Lewiston Nez-Perce County Regional	Alaska Airlines	Passenger Property Loss	Checked Baggage	638.75	DVD/CD Players*Game Equipment (poker chips, checker sets, chess etc.)	Denied	0.0	Deny
122650	2008051544352	2008-05-12 00:00:00	2008-05-02 00:00:00	LWS	Lewiston Nez-Perce County Regional	Alaska Airlines	Passenger Property Loss	Checked Baggage	8535.0	Boxes - Jewelry, Cigarette, Music, etc.*Jewelry - Fine	Denied	0.0	Deny
132014	2008123053818	2008-12-22 00:00:00	2008-12-20 00:00:00	LWS	Lewiston Nez-Perce County Regional		Passenger Property Loss	Checked Baggage	8.99	Locks	Denied	0.0	Deny
134500	2009031956479	2009-02-27 00:00:00	2009-02-13 00:00:00	LWS	Lewiston Nez-Perce County Regional	Delta Air Lines	Passenger Property Loss	Checkpoint	559.69	Medicines	Denied	0.0	Deny
137914	2009060559913	2009-06-03 00:00:00	2009-05-24 00:00:00	LWS	Lewiston Nez-Perce County Regional	Alaska Airlines	Passenger Property Loss	Checked Baggage	1873.99	Computer - Laptop*PDA - Personal Data Assistants	Denied	0.0	Deny
138685	2009062460574	2009-06-23 00:00:00	2009-06-20 00:00:00	LWS	Lewiston Nez-Perce County Regional	Horizon Air	Passenger Property Loss	Checked Baggage	110.0	Locks	Denied	0.0	Deny
145643	2010022068608	2010-02-03 00:00:00	2010-01-06 05:30:00	LWS	Lewiston Nez-Perce County Regional	Alaska Airlines	Passenger Property Loss	Checked Baggage		Clothing*Cosmetics & Grooming*Medical/Science		0.0	Deny
179741	2013060704023	2013-04-08 00:00:00	2013-03-30 00:00:00	LWS	Lewiston Nez-Perce County Regional	Allegiant Air	Passenger Property Loss	Checked Baggage		Medical/Science		0.0	Deny
182535	2013083006408	2013-07-19 00:00:00	2013-07-18 11:30:00	LWS	Lewiston Nez-Perce County Regional	Delta Air Lines	Passenger Property Loss	Checkpoint		Other		170.0	Approve in Full
217361	2017112145313	2017-10-22 00:00:00	2017-10-22 00:00:00	LWS	Lewiston Nez-Perce County Regional	Alaska Airlines	Passenger Property Loss	Checked Baggage		Other			In Review
