id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
21148	2004071559384	2003-11-26 00:00:00	2003-10-30 00:00:00	MCI	Kansas City International		Passenger Property Loss	Checked Baggage	2500.0	Clothing - Shoes, belts, accessories, etc.	Canceled		
21597	2004071559383	2003-12-05 00:00:00	2003-09-01 00:00:00	MCI	Kansas City International	Southwest Airlines	Passenger Property Loss	Checked Baggage	79.84	Other	Closed as a contractor claim	0.0	
22917	2004050750705	2003-12-17 00:00:00	2003-11-25 00:00:00	MCI	Kansas City International		Passenger Property Loss	Checked Baggage	58.85	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
24803	0114086M	2004-01-14 00:00:00	2003-11-16 00:00:00	MCI	Kansas City International	Northwest Airlines	Passenger Property Loss	Checkpoint		Clothing - Shoes, belts, accessories, etc.	Closed as a contractor claim	0.0	
25728	0129166M	2004-01-29 00:00:00	2003-12-25 00:00:00	MCI	Kansas City International		Passenger Property Loss	Checked Baggage	1638.0	Computer - Laptop	Canceled		
25732	2005040581556	2004-01-29 00:00:00	2004-11-13 00:00:00	MCI	Kansas City International		Passenger Property Loss	Checked Baggage		Other	Closed as a contractor claim	0.0	
26349	0202180M	2004-02-02 00:00:00	2002-07-10 00:00:00	MCI	Kansas City International	Northwest Airlines	Passenger Property Loss	Checkpoint	104.94	Jewelry - Fine	Closed as a contractor claim	0.0	
29164	2004051752507	2004-02-27 00:00:00	2004-02-10 00:00:00	MCI	Kansas City International	Continental Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Canceled		
29373	2004042350069	2004-03-05 00:00:00	2004-02-21 00:00:00	MCI	Kansas City International	Delta Air Lines	Passenger Property Loss	Checked Baggage	40.0	Other	Canceled		
29375	2004042750139	2004-03-05 00:00:00	2003-12-28 00:00:00	MCI	Kansas City International	AirTran Airlines	Passenger Property Loss	Checked Baggage	31.8	Other	Canceled		
30035	2004051151117	2004-03-11 00:00:00	2003-11-22 00:00:00	MCI	Kansas City International		Passenger Property Loss	Checked Baggage	35.0	Clothing - Shoes, belts, accessories, etc.	Closed as a contractor claim	0.0	
30270	2004052453167	2004-03-12 00:00:00	2003-11-23 00:00:00	MCI	Kansas City International		Passenger Property Loss	Checkpoint	360.0	Eyeglasses - (including contact lenses)	Closed as a contractor claim	0.0	
30439	2004050650647	2004-03-15 00:00:00	2004-03-05 00:00:00	MCI	Kansas City International	Northwest Airlines	Passenger Property Loss	Checked Baggage	120.0	Other	Closed as a contractor claim	0.0	
30660	2004052153046	2004-03-18 00:00:00	2004-02-16 00:00:00	MCI	Kansas City International	Delta Air Lines	Passenger Property Loss	Checked Baggage	146.4	Other	Canceled		
30701	2004050750751	2004-03-18 00:00:00	2004-03-02 00:00:00	MCI	Kansas City International	Southwest Airlines	Passenger Property Loss	Checkpoint	534.5	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
31230	2004051351882	2004-03-24 00:00:00	2003-12-13 00:00:00	MCI	Kansas City International	UAL	Passenger Property Loss	Checked Baggage	65.0	Clothing - Shoes, belts, accessories, etc.	Canceled		
32052	2004060454680	2004-04-04 00:00:00	2004-03-29 00:00:00	MCI	Kansas City International	AirTran Airlines	Passenger Property Loss	Checked Baggage	1074.99	Cameras - Digital	Canceled		
32056	2004060454702	2004-04-04 00:00:00	2004-02-08 00:00:00	MCI	Kansas City International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1000.0	Other	Closed as a contractor claim	0.0	
32483	2004062056394	2004-04-15 00:00:00	2004-01-31 00:00:00	MCI	Kansas City International	Southwest Airlines	Passenger Property Loss	Checked Baggage	406.06	Clothing - Shoes, belts, accessories, etc.	Closed as a contractor claim	0.0	
32911	2004060254116	2004-04-21 00:00:00	2004-02-11 00:00:00	MCI	Kansas City International	Southwest Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Approved	100.0	Approve in Full
32998	2004052853845	2004-04-21 00:00:00	2004-03-24 00:00:00	MCI	Kansas City International	Southwest Airlines	Passenger Property Loss	Checked Baggage	5.0	Locks	Canceled		
33024	2004052853783	2004-04-21 00:00:00	2004-03-25 00:00:00	MCI	Kansas City International		Passenger Property Loss	Checked Baggage	200.0	Luggage (all types including footlockers)	Closed as a contractor claim	0.0	
33539	2004060254137	2004-04-23 00:00:00	2004-03-26 00:00:00	MCI	Kansas City International	UAL	Passenger Property Loss	Checked Baggage	550.0	Clothing - Shoes, belts, accessories, etc.	Closed as a contractor claim	0.0	
33892	2004060754887	2004-05-03 00:00:00	2004-04-21 00:00:00	MCI	Kansas City International	American Airlines	Passenger Property Loss	Checked Baggage	392.0	Other	Canceled		
34258	2004051251343	2004-05-04 00:00:00	2004-04-07 00:00:00	MCI	Kansas City International	Southwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Jewelry - Fine	Closed as a contractor claim	0.0	
