id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1981	0129068L	2003-01-29 00:00:00	2003-01-16 00:00:00	MDT	Harrisburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Other	Approved	150.0	Approve in Full
3796	0318083L	2003-03-18 00:00:00	2003-02-28 00:00:00	MDT	Harrisburg International	Delta Air Lines	Passenger Property Loss	Other	6.38	Other	Approved	6.38	Approve in Full
6493	0514146L	2003-05-14 00:00:00	2003-01-16 00:00:00	MDT	Harrisburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	132.0	Other	Denied	0.0	Deny
7654	0603031L	2003-06-03 00:00:00	2003-01-17 00:00:00	MDT	Harrisburg International	USAir	Passenger Property Loss	Checked Baggage	15.95	Luggage (all types including footlockers)	Settled	7.98	Settle
9929	0702061M	2003-07-02 00:00:00	2003-06-24 00:00:00	MDT	Harrisburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.0	Locks	Denied	0.0	Deny
13264	0814173M	2003-08-14 00:00:00	2003-05-31 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checkpoint	57.0	Other	Approved	57.0	Approve in Full
13728	0819018M	2003-08-19 00:00:00	2003-08-11 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	16.0	Locks	Denied	0.0	Deny
19655	1107026M	2003-11-07 00:00:00	2003-10-13 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checkpoint	25.0	Eyeglasses - (including contact lenses)	Approved		Approve in Full
22186	2004092263508	2003-12-08 00:00:00	2003-11-10 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	50.0	Currency	Approved	50.0	Approve in Full
25956	0130241M	2004-01-30 00:00:00	2003-12-28 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	10.0	Currency	Approved	10.0	Approve in Full
34871	2004061455683	2004-05-10 00:00:00	2004-03-29 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	42.95	Other	Approved	42.95	Approve in Full
43618	2004092763896	2004-08-31 00:00:00	2004-08-01 00:00:00	MDT	Harrisburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	243.89	Eyeglasses - (including contact lenses)	Approved	243.89	Approve in Full
46515	2004111667174	2004-10-04 00:00:00	2004-09-09 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	400.0	Other	Settled	100.0	Settle
48343	2004121469030	2004-10-27 00:00:00	2004-10-05 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	28.0	Locks	Approved	28.0	Approve in Full
48854	2004122069344	2004-11-02 00:00:00	2004-10-21 00:00:00	MDT	Harrisburg International	USAir	Passenger Property Loss	Checked Baggage	140.0	Currency	Denied		Deny
51067	2004122971574	2004-12-02 00:00:00	2004-11-20 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
52034	2005010372102	2004-12-14 00:00:00	2004-11-23 00:00:00	MDT	Harrisburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	909.0	Jewelry - Fine	Denied		Deny
52871	2005011173386	2004-12-23 00:00:00	2004-12-11 00:00:00	MDT	Harrisburg International	USAir	Passenger Property Loss	Checked Baggage	598.44	Cameras - Digital	Canceled		
53057	2005011973823	2004-12-28 00:00:00	2004-12-06 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	400.0	Currency	Canceled	0.0	
53101	2005011973801	2004-12-28 00:00:00	2004-11-16 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	27.91	Other	Denied	0.0	Deny
55532	2005022276561	2005-01-26 00:00:00	2004-12-16 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	75.0	Other	Approved	75.0	Approve in Full
56071	2005031177763	2005-02-01 00:00:00	2005-01-26 00:00:00	MDT	Harrisburg International	USAir	Passenger Property Loss	Checked Baggage	74.19	Other	Approved	74.19	Approve in Full
58261	2005032279089	2005-03-04 00:00:00	2005-01-06 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	30.0	Clothing - Shoes, belts, accessories, etc.	Approved	30.0	Approve in Full
59117	2005032579870	2005-03-09 00:00:00	2005-02-14 00:00:00	MDT	Harrisburg International	Northwest Airlines	Passenger Property Loss	Checked Baggage	549.98	Cameras - Digital	Settled	274.99	Settle
60451	2005040581434	2005-03-30 00:00:00	2005-02-16 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	70.0	Clothing - Shoes, belts, accessories, etc.	Approved	70.0	Approve in Full
65559	2005062186713	2005-06-06 00:00:00	2005-04-10 00:00:00	MDT	Harrisburg International	USAir	Passenger Property Loss	Checked Baggage	32.41	Locks	Denied	0.0	Deny
67792	2005071288728	2005-07-11 00:00:00	2005-05-28 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	44.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
69282	2005081290479	2005-08-02 00:00:00	2005-07-17 00:00:00	MDT	Harrisburg International	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Clothing - Shoes, belts, accessories, etc.	Approved	10.0	Approve in Full
69889	2005081890862	2005-08-09 00:00:00	2005-06-18 00:00:00	MDT	Harrisburg International	Tran Meridian Airlines	Passenger Property Loss	Checked Baggage	177.42	Jewelry - Fine	Settled	88.71	Settle
71873	2005092693225	2005-09-14 00:00:00	2004-10-01 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	12.0	Locks	Approved	12.0	Approve in Full
74467	2005110395549	2005-10-25 00:00:00	2005-10-18 00:00:00	MDT	Harrisburg International	American Eagle	Passenger Property Loss	Checked Baggage	1200.0	Computer - Laptop	Settled	381.34	Settle
77248	2005122798381	2005-12-16 00:00:00	2005-11-22 00:00:00	MDT	Harrisburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Denied	0.0	Deny
79126	2006012500305	2006-01-18 00:00:00	2006-01-09 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	69.71	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	34.86	Settle
84420	2006050105515	2006-04-26 00:00:00	2006-04-14 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	35.0	Other	Settled	17.5	Settle
85089	2006051506302	2006-05-10 00:00:00	2006-04-24 00:00:00	MDT	Harrisburg International	USAir	Passenger Property Loss	Checked Baggage	10113.0	Electrical and Gas Appliances Minor - $200 or less (humidifiers, tv's, etc)*Furs	Denied	0.0	Deny
86442	2006060807658	2006-06-06 00:00:00	2006-05-21 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	65.0	Currency	Settled	32.5	Settle
90745	2006090511976	2006-08-29 00:00:00	2006-08-15 00:00:00	MDT	Harrisburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	534.0	Cameras - Digital*Other*Video Recordings (blank & commercial)	Settled	197.84	Settle
92646	2006102014277	2006-10-05 00:00:00	2006-09-25 00:00:00	MDT	Harrisburg International	USAir	Passenger Property Loss	Checked Baggage	403.05	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Medicines	Settled	201.53	Settle
93023	2006102014282	2006-10-16 00:00:00	2006-10-02 00:00:00	MDT	Harrisburg International		Passenger Property Loss	Checked Baggage	66.36	Jewelry - Fine	Approved	66.36	Approve in Full
96467	2006122217870	2006-12-19 00:00:00	2004-12-16 00:00:00	MDT	Harrisburg International	Northwest Airlines	Passenger Property Loss	Checked Baggage	5082.44	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Fine	Denied	0.0	Deny
97921	2007011919002	2007-01-11 00:00:00	2006-12-27 00:00:00	MDT	Harrisburg International	UAL	Passenger Property Loss	Checked Baggage	2.88	Other	Approved	2.88	Approve in Full
