id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
7605	0603291L	2003-06-03 00:00:00	2003-01-29 00:00:00	MFE	McAllen-Miller International	American Airlines	Passenger Property Loss	Checkpoint	280.0	Currency	Denied	0.0	Deny
21310	1201040M	2003-12-01 00:00:00	2003-10-26 00:00:00	MFE	McAllen-Miller International	Continental Airlines	Passenger Theft	Checked Baggage	455.0	Jewelry - Fine	Settled	227.5	Settle
22094	1208160M	2003-12-08 00:00:00	2003-11-20 00:00:00	MFE	McAllen-Miller International		Passenger Property Loss	Checkpoint	260.0	Jewelry - Fine	Approved	260.0	Approve in Full
34094	2004051351707	2004-05-04 00:00:00	2004-04-16 00:00:00	MFE	McAllen-Miller International	Continental Airlines	Passenger Property Loss	Checked Baggage	479.0	Cameras - Digital	Approved	479.0	Approve in Full
35677	2004062156745	2004-05-19 00:00:00	2004-03-12 00:00:00	MFE	McAllen-Miller International	Continental Airlines	Passenger Property Loss	Checked Baggage	5000.0	Computer - Laptop	Denied	0.0	Deny
36682	2004062357181	2004-06-02 00:00:00	2004-05-07 00:00:00	MFE	McAllen-Miller International		Passenger Property Loss	Checked Baggage	7.5	Clothing - Shoes, belts, accessories, etc.	Approved	7.5	Approve in Full
42804	2004101965164	2004-08-19 00:00:00	2004-07-27 00:00:00	MFE	McAllen-Miller International		Passenger Property Loss	Checkpoint	200.0	Currency	Approved	200.0	Approve in Full
47455	2004120268302	2004-10-15 00:00:00	2004-07-29 00:00:00	MFE	McAllen-Miller International	American Airlines	Passenger Property Loss	Checked Baggage	286.74	Cameras - Digital	Denied	0.0	Deny
52466	2005010773171	2004-12-20 00:00:00	2004-11-17 00:00:00	MFE	McAllen-Miller International		Passenger Property Loss	Checked Baggage	40.98	Other	Approved	40.98	Approve in Full
53479	2005012474056	2005-01-04 00:00:00	2004-11-12 00:00:00	MFE	McAllen-Miller International	American Airlines	Passenger Property Loss	Checked Baggage	120.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
