id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
12174	0731119M	2003-07-31 00:00:00	2003-07-11 00:00:00	MFR	Rogue Valley International	Horizon Air	Passenger Property Loss	Checked Baggage	90.0	Eyeglasses - (including contact lenses)	Approved	90.0	Approve in Full
29409	0305150M	2004-03-05 00:00:00	2004-02-19 00:00:00	MFR	Rogue Valley International		Passenger Property Loss	Checkpoint	300.0	Jewelry - Fine	Denied	0.0	Deny
38034	2004070858840	2004-06-16 00:00:00	2003-12-06 00:00:00	MFR	Rogue Valley International		Passenger Property Loss	Checkpoint	39.95	Other	Denied	0.0	Deny
38506	2004071259091	2004-06-22 00:00:00	2004-06-14 00:00:00	MFR	Rogue Valley International	Northwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Fish/Game	Denied	0.0	Deny
49158	2004122069532	2004-11-04 00:00:00	2004-10-04 00:00:00	MFR	Rogue Valley International	Horizon Air	Passenger Property Loss	Checked Baggage	180.0	DVD/CD Players	Denied	0.0	Deny
53755	2005012674363	2005-01-07 00:00:00	2004-12-26 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	80.0	Other	Approved	80.0	Approve in Full
54172	2005012874714	2005-01-11 00:00:00	2004-12-22 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	1991.0	Currency	Denied	0.0	Deny
55551	2005021175986	2005-01-26 00:00:00	2005-01-14 00:00:00	MFR	Rogue Valley International		Passenger Property Loss	Checked Baggage	366.06	Cameras - Digital	Denied		Deny
57814	2005032178966	2005-02-24 00:00:00	2004-10-13 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	27.7	Clothing - Shoes, belts, accessories, etc.	Approved	27.7	Approve in Full
60427	2005040481346	2005-03-30 00:00:00	2005-03-13 00:00:00	MFR	Rogue Valley International	Delta Air Lines	Passenger Property Loss	Checked Baggage	8.95	Locks	Approved	8.95	Approve in Full
60456	2005040581448	2005-03-30 00:00:00	2005-03-03 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	47.5	Other	Approved	47.5	Approve in Full
65049	2005060685814	2005-05-31 00:00:00	2005-05-01 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	573.82	Cameras - Digital	Settled	317.33	Settle
67684	2005071188633	2005-07-08 00:00:00	2005-05-13 00:00:00	MFR	Rogue Valley International		Passenger Property Loss	Checked Baggage	350.0	Jewelry - Fine	Denied	0.0	Deny
67987	2005071589081	2005-07-13 00:00:00	2005-06-29 00:00:00	MFR	Rogue Valley International		Passenger Property Loss	Checked Baggage	20.0	Locks	Denied	0.0	Deny
68405	2005072189344	2005-07-20 00:00:00	2005-07-07 00:00:00	MFR	Rogue Valley International		Passenger Property Loss	Checkpoint	44.37	Other	Denied	0.0	Deny
71680	2005091992684	2005-09-09 00:00:00	2005-08-11 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	104.94	Other	Denied	0.0	Deny
71887	2005092693266	2005-09-14 00:00:00	2005-08-23 00:00:00	MFR	Rogue Valley International	US Express	Passenger Property Loss	Checkpoint	4000.0	Jewelry - Fine	Canceled	0.0	
75573	2005112896556	2005-11-15 00:00:00	2005-10-15 00:00:00	MFR	Rogue Valley International	American Eagle	Passenger Property Loss	Checked Baggage	899.94	Computer - Laptop	Settled	236.01	Settle
76046	2005120797131	2005-11-28 00:00:00	2005-10-15 00:00:00	MFR	Rogue Valley International	Alaska Airlines	Passenger Property Loss	Checked Baggage	54.4	Clothing - Shoes, belts, accessories, etc.	Approved	54.4	Approve in Full
80125	2006020801191	2006-02-03 00:00:00	2005-12-14 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	307.98	Cameras - Digital	Settled	227.46	Settle
81323	2006030602516	2006-02-27 00:00:00	2006-02-07 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	21.25	Locks	Denied	0.0	Deny
81840	2006031302943	2006-03-07 00:00:00	2006-02-21 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	100.0	Other	Settled	45.0	Settle
81854	2006031503104	2006-03-07 00:00:00	2006-01-23 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	251.98	Cameras - Digital	Settled	119.77	Settle
84676	2006051005807	2006-05-02 00:00:00	2006-04-24 00:00:00	MFR	Rogue Valley International	Delta Air Lines	Passenger Property Loss	Checkpoint	95.0	Jewelry - Fine	Denied	0.0	Deny
86747	2006061407974	2006-06-13 00:00:00	2005-12-02 00:00:00	MFR	Rogue Valley International		Passenger Property Loss	Checked Baggage	250.0	Luggage (all types including footlockers)	Settled	125.0	Settle
86965	2006061908136	2006-06-16 00:00:00	2006-05-05 00:00:00	MFR	Rogue Valley International	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Clocks - Inexpensive ($75.00 or less)	Settled	25.0	Settle
87061	2006062108369	2006-06-20 00:00:00	2006-06-09 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checkpoint	245.0	Eyeglasses - (including contact lenses)	Approved	245.0	Approve in Full
87361	2006062708603	2006-06-27 00:00:00	2006-05-08 00:00:00	MFR	Rogue Valley International	Alaska Airlines	Passenger Property Loss	Checked Baggage	18.99	Locks	Approved	18.99	Approve in Full
88407	2006071809687	2006-07-14 00:00:00	2006-05-04 00:00:00	MFR	Rogue Valley International	UAL	Passenger Property Loss	Checked Baggage	507.99	DVD/CD Players*Eyeglasses - (including contact lenses)	Denied	0.0	Deny
