id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1992	0129051L	2003-01-29 00:00:00	2003-01-01 00:00:00	MHT	Manchester Regional Airport	USAir	Passenger Property Loss	Checked Baggage	7.0	Other	Canceled	0.0	
2001	0129004L	2003-01-29 00:00:00	2003-01-09 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checkpoint	225.0	Jewelry - Fine	Denied	0.0	Deny
2244	0204015L	2003-02-04 00:00:00	2003-01-18 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	200.0	Eyeglasses - (including contact lenses)	Settled	167.2	Settle
2759	0224098L	2003-02-24 00:00:00	2003-01-22 00:00:00	MHT	Manchester Regional Airport	USAir	Passenger Property Loss	Checked Baggage	36.8	Other	Approved	36.8	Approve in Full
3341	0307010L	2003-03-07 00:00:00	2003-01-15 00:00:00	MHT	Manchester Regional Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	200.0	Clothing - Shoes, belts, accessories, etc.	Approved	200.0	Approve in Full
3383	0311043L	2003-03-11 00:00:00	2003-01-12 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	110.0	Other	Approved	110.0	Approve in Full
4813	0408028L	2003-04-08 00:00:00	2003-02-15 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	823.0	Other	Settled	740.7	Settle
5109	0415084L	2003-04-15 00:00:00	2003-03-26 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Other	579.86	Stereo Items & Accessories	Settled	250.0	Settle
5209	0416076L	2003-04-16 00:00:00	2003-01-02 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	500.0	Other	Settled	250.0	Settle
5514	0422003L	2003-04-22 00:00:00	2003-04-01 00:00:00	MHT	Manchester Regional Airport	UAL	Passenger Property Loss	Checked Baggage	125.0	Cameras - Digital	Settled	62.5	Settle
5977	0505052L	2003-05-05 00:00:00	2003-04-09 00:00:00	MHT	Manchester Regional Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	201.0	Other	Approved	201.0	Approve in Full
6210	0507001L	2003-05-07 00:00:00	2003-02-09 00:00:00	MHT	Manchester Regional Airport	UAL	Passenger Property Loss	Checked Baggage	14.6	Luggage (all types including footlockers)	Approved	14.6	Approve in Full
6413	0514097L	2003-05-14 00:00:00	2003-03-14 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	15.0	Other	Approved	15.0	Approve in Full
6725	0520018L	2003-05-20 00:00:00	2003-04-23 00:00:00	MHT	Manchester Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	2173.64	Computer - Laptop	Denied	0.0	Deny
6892	0522013L	2003-05-22 00:00:00	2003-04-25 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	127.89	Other	Approved	127.89	Approve in Full
7282	0529107L	2003-05-29 00:00:00	2003-04-27 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	129.05	Other	Settled	65.0	Settle
7343	0602002L	2003-06-02 00:00:00	2003-03-13 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	1314.96	Other	Denied	0.0	Deny
8208	0610151L	2003-06-10 00:00:00	2003-04-28 00:00:00	MHT	Manchester Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	8777.0	Computer - Laptop	Denied	8777.0	Deny
8358	0611016L	2003-06-11 00:00:00	2003-05-20 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage		Locks	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
9097	0624023M	2003-06-24 00:00:00	2003-05-14 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	50.0	Locks	Approved	0.0	Approve in Full
9243	0624105M	2003-06-24 00:00:00	2003-03-08 00:00:00	MHT	Manchester Regional Airport	UAL	Passenger Property Loss	Checked Baggage	85.0	Clothing - Shoes, belts, accessories, etc.	Settled	42.5	Settle
10182	0708016M	2003-07-08 00:00:00	2003-07-01 00:00:00	MHT	Manchester Regional Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	49.0	Other	Approved	49.0	Approve in Full
10242	0708191M	2003-07-08 00:00:00	2003-06-14 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing - Shoes, belts, accessories, etc.	Approved	25.0	Approve in Full
10846	0715223M	2003-07-15 00:00:00	2003-03-21 00:00:00	MHT	Manchester Regional Airport	USAir	Passenger Property Loss	Checked Baggage	18.59	Other	Approved	18.59	Approve in Full
11085	0717030M	2003-07-17 00:00:00	2003-07-02 00:00:00	MHT	Manchester Regional Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	20.0	Other	Approved	20.0	Approve in Full
11113	0717052M	2003-07-17 00:00:00	2003-06-15 00:00:00	MHT	Manchester Regional Airport	UAL	Passenger Property Loss	Checked Baggage	399.99	Cameras - Digital	Canceled		
11905	0729264M	2003-07-29 00:00:00	2003-07-21 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checkpoint	100.0	DVD/CD Players	Canceled		
12260	0731054M	2003-07-31 00:00:00	2003-03-19 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	16000.0	Jewelry - Fine	Settled	1000.0	Settle
12784	0808058M	2003-08-08 00:00:00	2003-07-13 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	290.0	Other	Approved	290.0	Approve in Full
12935	0811073M	2003-08-11 00:00:00	2003-07-31 00:00:00	MHT	Manchester Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	2262.0	Computer - Laptop	Settled	1069.0	Settle
12951	0812065M	2003-08-12 00:00:00	2003-07-15 00:00:00	MHT	Manchester Regional Airport	USAir	Passenger Property Loss	Checked Baggage	17.95	Other	Approved	17.95	Approve in Full
13411	0814195M	2003-08-14 00:00:00	2003-08-03 00:00:00	MHT	Manchester Regional Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	87.23	Other	Settled	44.1	Settle
14002	0821030M	2003-08-21 00:00:00	2003-08-14 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	1146.43	Stereo Items & Accessories	Settled	640.0	Settle
14697	0829078M	2003-08-29 00:00:00	2003-06-03 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	128.45	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
14999	0904012M	2003-09-04 00:00:00	2003-08-05 00:00:00	MHT	Manchester Regional Airport	UAL	Passenger Property Loss	Checked Baggage	99.0	Clothing - Shoes, belts, accessories, etc.	Approved	99.0	Approve in Full
15027	0904071M	2003-09-04 00:00:00	2003-08-18 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	2000.0	Other	Denied	0.0	Deny
15360	0908038M	2003-09-08 00:00:00	2003-04-16 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	200.0	Clothing - Shoes, belts, accessories, etc.	Settled	100.0	Settle
15948	0915063M	2003-09-15 00:00:00	2003-08-21 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	250.0	Other	Settled	125.0	Settle
16405	0925283M	2003-09-25 00:00:00	2003-09-05 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	27.57	Other	Approved	27.57	Approve in Full
16492	0925367M	2003-09-25 00:00:00		MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	12.99	Other	Canceled		
18282	1021341M	2003-10-21 00:00:00	2003-09-30 00:00:00	MHT	Manchester Regional Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	450.0	Jewelry - Fine	Canceled	0.0	
18476	1021186M	2003-10-21 00:00:00	2003-10-02 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	74.95	Other	Settled	67.46	Settle
18728	1022196M	2003-10-22 00:00:00	2003-10-10 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	1000.0	Other	Denied		Deny
19378	1105012M	2003-11-05 00:00:00	2003-09-03 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	35.0	Other	Settled	17.5	Settle
19442	1106125M	2003-11-06 00:00:00	2003-08-19 00:00:00	MHT	Manchester Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	8.0	Jewelry - Fine	Approved	8.0	Approve in Full
19772	1107516M	2003-11-07 00:00:00	2003-09-14 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	1000.0	Locks	Approved	1000.0	Approve in Full
20181	1117383M	2003-11-17 00:00:00	2003-10-05 00:00:00	MHT	Manchester Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	32.05	Other	Approved	32.05	Approve in Full
20865	1119115M	2003-11-19 00:00:00	2003-10-06 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	190.0	Jewelry - Fine	Settled	95.0	Settle
21561	1205016M	2003-12-05 00:00:00	2003-10-27 00:00:00	MHT	Manchester Regional Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	140.9	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
22020	1205588M	2003-12-05 00:00:00	2003-11-05 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	69.97	Other	Settled	35.0	Settle
22116	1208219M	2003-12-08 00:00:00	2003-09-18 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checkpoint	240.0	Currency	Approved	240.0	Approve in Full
22447	1208268M	2003-12-08 00:00:00	2003-07-27 00:00:00	MHT	Manchester Regional Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	197.32	Clothing - Shoes, belts, accessories, etc.	Settled	107.03	Settle
23120	1217429M	2003-12-17 00:00:00	2003-12-08 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	30.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	15.0	Settle
23435	1222061M	2003-12-22 00:00:00	2003-12-09 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	94.0	Other	Settled	47.0	Settle
24375	0107586M	2004-01-07 00:00:00	2003-11-16 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	598.4	Cameras - Digital	Denied	0.0	Deny
25602	0120092M	2004-01-20 00:00:00	2003-12-29 00:00:00	MHT	Manchester Regional Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	934.72	Cameras - Digital	Settled	615.89	Settle
27187	0205167M	2004-02-05 00:00:00	2003-11-24 00:00:00	MHT	Manchester Regional Airport	USAir	Passenger Property Loss	Checked Baggage	300.0	Other	Denied	0.0	Deny
28248	2004050550503	2004-02-19 00:00:00	2003-10-03 00:00:00	MHT	Manchester Regional Airport	UAL	Passenger Property Loss	Checkpoint	13000.0	Jewelry - Fine	Denied	0.0	Deny
28756	0226253M	2004-02-26 00:00:00	2004-01-06 00:00:00	MHT	Manchester Regional Airport	UAL	Passenger Property Loss	Checkpoint	125.0	Eyeglasses - (including contact lenses)	Approved	125.0	Approve in Full
30489	2004042350123	2004-03-15 00:00:00	2003-10-12 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	350.0	Other	Settled	175.0	Settle
30620	2004052653598	2004-03-18 00:00:00	2004-03-05 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	281.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	281.0	Approve in Full
31009	2004051351616	2004-03-22 00:00:00	2004-12-01 00:00:00	MHT	Manchester Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	1435.0	Other	Denied	0.0	Deny
31338	2004051251459	2004-03-24 00:00:00	2004-03-14 00:00:00	MHT	Manchester Regional Airport	Delta Air Lines	Passenger Property Loss	Checkpoint		Clothing - Shoes, belts, accessories, etc.	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
31576	2004051351855	2004-03-30 00:00:00	2004-02-12 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	8.49	Other	Canceled	0.0	
31989	2004051752392	2004-04-01 00:00:00	2004-03-05 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	179.0	Eyeglasses - (including contact lenses)	Settled	175.0	Settle
32130	2004051852807	2004-04-06 00:00:00	2004-02-13 00:00:00	MHT	Manchester Regional Airport		Passenger Property Loss	Checked Baggage	70.0	Other	Approved	70.0	Approve in Full
32388	2004052153058	2004-04-15 00:00:00	2004-03-22 00:00:00	MHT	Manchester Regional Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	77.46	Other	Approved	77.46	Approve in Full
32699	2004052453288	2004-04-20 00:00:00	2004-04-02 00:00:00	MHT	Manchester Regional Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	572.0	Clothing - Shoes, belts, accessories, etc.	Approved	572.0	Approve in Full
