id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
191	28255	2002-11-06 00:00:00	2002-10-09 00:00:00	MIA	Miami International Airport		Passenger Property Loss	Checkpoint	10.0	Other	Other	Approved	10.0	Approve in Full
1212	0617510L	2003-01-08 00:00:00	2002-12-18 00:00:00	MIA	Miami International Airport	American Airlines	Passenger Property Loss	Checkpoint	5400.64	Electronics	Computer - Laptop	Settled	1625.0	Settle
1296	22033	2003-01-13 00:00:00	2002-11-06 00:00:00	MIA	Miami International Airport		Passenger Property Loss	Checkpoint	5000.0	Electronics	PDA - Personal Data Assistants	Canceled		
1318	0617710L	2003-01-13 00:00:00	2002-11-06 00:00:00	MIA	Miami International Airport		Passenger Property Loss	Checkpoint	5000.0	Watches & Jewelry	Jewelry - Fine	Settled	1748.0	Settle
1426	22885	2003-01-14 00:00:00	2002-11-22 00:00:00	MIA	Miami International Airport	American Airlines	Passenger Property Loss	Checked Baggage	10100.0	Watches & Jewelry	Jewelry - Fine	Settled	100.0	Settle
1865	0127074L	2003-01-27 00:00:00	2003-01-18 00:00:00	MIA	Miami International Airport		Passenger Property Loss	Checked Baggage	38.6	Other	Other	Approved	39.0	Approve in Full
2103	0909819M	2003-01-31 00:00:00	2002-11-02 00:00:00	MIA	Miami International Airport	American Airlines	Passenger Property Loss	Checked Baggage	2815.0	Tools & Machines	Locks	Denied	0.0	Deny
2205	0204020L	2003-02-04 00:00:00	2002-12-16 00:00:00	MIA	Miami International Airport	American Airlines	Passenger Property Loss	Checked Baggage	703.0	Other	Other	Approved	703.0	Approve in Full
2492	0211074L	2003-02-11 00:00:00	2003-01-02 00:00:00	MIA	Miami International Airport		Passenger Property Loss	Checked Baggage	68.99	Electronics	Cameras - Digital	Settled	35.0	Settle
3309	0306001L	2003-03-06 00:00:00	2002-12-22 00:00:00	MIA	Miami International Airport		Passenger Theft	Checkpoint	1985.0	Other	Other	Canceled	0.0	
3836	0318090L	2003-03-18 00:00:00	2003-02-09 00:00:00	MIA	Miami International Airport	America West	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
