id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
3905	0318113L	2003-03-18 00:00:00	2003-01-25 00:00:00	MLI	Quad City (Moline)International Airport	UAL	Passenger Property Loss	Checked Baggage	446.0	Clothing & Accessories	Settled	223.0	Settle
5185	0416048L	2003-04-16 00:00:00	2003-03-16 00:00:00	MLI	Quad City (Moline)International Airport	UAL	Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
6651	0520074L	2003-05-20 00:00:00	2003-04-30 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Approved	70.0	Approve in Full
9137	0624130M	2003-06-24 00:00:00	2003-06-06 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checkpoint	50.0	Other	Approved	50.0	Approve in Full
9627	0630008M	2003-06-30 00:00:00	2003-06-12 00:00:00	MLI	Quad City (Moline)International Airport	UAL	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Canceled	0.0	
9648	0630026M	2003-06-30 00:00:00	2003-06-22 00:00:00	MLI	Quad City (Moline)International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	250.0	Cosmetics	Settled	125.0	Settle
11037	0716035M	2003-07-16 00:00:00	2003-06-12 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checked Baggage	140.0	Clothing & Accessories	Canceled	0.0	
12721	0806133M	2003-08-06 00:00:00	2003-07-17 00:00:00	MLI	Quad City (Moline)International Airport	American Airlines	Passenger Property Loss	Checked Baggage	25.55	Other	Settled	12.77	Settle
13214	0813182M	2003-08-13 00:00:00	2003-08-01 00:00:00	MLI	Quad City (Moline)International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	20.0	Electronics	Settled	10.0	Settle
28236	2004050450444	2004-02-19 00:00:00	2003-09-21 00:00:00	MLI	Quad City (Moline)International Airport	American Airlines	Passenger Property Loss	Checked Baggage	255.0	Other	Denied	0.0	Deny
43494	2004092263532	2004-08-27 00:00:00	2004-08-09 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checked Baggage	20.0	Clothing & Accessories	Denied	0.0	Deny
47301	2004113068045	2004-10-14 00:00:00	2004-07-21 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checkpoint	180.0	Electronics	Denied	0.0	Deny
47819	2004120568608	2004-10-20 00:00:00	2004-10-03 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checked Baggage	125.0	Other	Canceled	0.0	
51901	2005010372330	2004-12-13 00:00:00	2004-11-26 00:00:00	MLI	Quad City (Moline)International Airport	American Airlines	Passenger Property Loss	Checked Baggage	250.0	Other	Settled	157.62	Settle
53807	2005012674399	2005-01-07 00:00:00	2004-11-29 00:00:00	MLI	Quad City (Moline)International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	483.68	Electronics	Denied	0.0	Deny
55061	2005020475665	2005-01-19 00:00:00	2004-05-19 00:00:00	MLI	Quad City (Moline)International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	770.0	Watches & Jewelry	Settled	643.94	Settle
61851	2005041882765	2005-04-15 00:00:00	2005-04-01 00:00:00	MLI	Quad City (Moline)International Airport	UAL	Passenger Property Loss	Checked Baggage	51.11	Other	Denied	0.0	Deny
66147	2005062387052	2005-06-14 00:00:00	2005-05-15 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checked Baggage	228.5	Clothing & Accessories	Denied	0.0	Deny
70462	2005082591522	2005-08-19 00:00:00	2005-08-06 00:00:00	MLI	Quad City (Moline)International Airport	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Denied	0.0	Deny
71582	2005092092887	2005-09-08 00:00:00	2005-08-11 00:00:00	MLI	Quad City (Moline)International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	1597.0	Watches & Jewelry	Denied	0.0	Deny
75707	2005120196802	2005-11-18 00:00:00	2005-05-22 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checkpoint	90.85	Other	Denied	0.0	Deny
79431	2006013000516	2006-01-24 00:00:00	2005-10-26 00:00:00	MLI	Quad City (Moline)International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	90.0	Clothing & Accessories	Denied	0.0	Deny
83339	2006041304487	2006-04-04 00:00:00	2006-11-07 00:00:00	MLI	Quad City (Moline)International Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	45.0	Other	Denied	0.0	Deny
88307	2006071709628	2006-07-13 00:00:00	2006-05-15 00:00:00	MLI	Quad City (Moline)International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	100.0	Household Items	Approved	100.0	Approve in Full
91028	2006091112322	2006-09-05 00:00:00	2006-07-02 00:00:00	MLI	Quad City (Moline)International Airport	American Airlines	Passenger Property Loss	Checked Baggage	581.94	Electronics	Denied	0.0	Deny
92712	2006101614032	2006-10-10 00:00:00	2006-09-17 00:00:00	MLI	Quad City (Moline)International Airport	UAL	Passenger Property Loss	Checked Baggage	35.0	Supplies	Approved	35.0	Approve in Full
93955	2006110215081	2006-11-01 00:00:00	2006-08-17 00:00:00	MLI	Quad City (Moline)International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	178.13	Electronics	Denied	0.0	Deny
97165	0909803M		2002-11-25 00:00:00	MLI	Quad City (Moline)International Airport	UAL	Passenger Property Loss	Checkpoint	20.0	Other	Denied	0.0	Deny
106085	2007062127304	2007-06-20 00:00:00	2007-05-02 00:00:00	MLI	Quad City (Moline)International Airport		Passenger Property Loss	Checked Baggage	200.0	Other	Denied	0.0	Deny
106602	2007070927997	2007-06-29 00:00:00	2007-04-28 00:00:00	MLI	Quad City (Moline)International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	25.38	Other	Denied	0.0	Deny
108829	2007081430236	2007-08-10 00:00:00	2007-08-02 00:00:00	MLI	Quad City (Moline)International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	341.99	Electronics	Canceled	0.0	
