id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
77045	2005122298272	2005-12-13 00:00:00	2005-12-01 00:00:00	MOD	Modesto City County Sham Field		Passenger Property Loss	Checked Baggage	850.0	Electronics	Denied	0.0	Deny
81807	2006031302997	2006-03-07 00:00:00	2006-02-02 00:00:00	MOD	Modesto City County Sham Field		Passenger Property Loss	Checked Baggage	300.0	Electronics	Denied	0.0	Deny
92104	2006092713381	2006-09-25 00:00:00	2006-09-18 00:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage	246.66	Electronics	Denied	0.0	Deny
99351	2007020820511	2007-02-05 00:00:00	2006-12-05 00:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage	435.36	Electronics,Electronics	Denied	0.0	Deny
116899	2008012338422	2008-01-16 00:00:00	2007-12-19 00:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage	351.88	Electronics	Denied	0.0	Deny
125852	2008073047694	2008-07-22 00:00:00	2008-06-23 00:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage	10.0	Supplies	Denied	0.0	Deny
127026	2008081948794	2008-08-18 00:00:00	2008-08-05 00:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage	560.0	Tools & Machines	Canceled	0.0	
143546	2009112465692	2009-11-12 00:00:00	2009-10-29 05:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage	53.74	Electronics	Denied	0.0	Deny
151723	2010081975049	2010-08-16 00:00:00	2010-08-05 20:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage		Containers		0.0	Deny
172946	2012090696620	2012-07-27 00:00:00	2012-07-19 10:45:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage		Cosmetics		12.5	Approve in Full
175468	2012122199350	2012-10-26 00:00:00	2012-07-25 00:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage		Watches & Jewelry		0.0	Deny
182942	2013080205591	2013-08-02 00:00:00	2013-05-16 00:00:00	MOD	Modesto City County Sham Field	UAL	Passenger Property Loss	Checked Baggage		Containers,Other		0.0	Deny
