id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
32936	2004060254380	2004-04-21 00:00:00	2004-04-04 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	130.0	Cosmetics	Approved	130.0	Approve in Full
40708	2004081261274	2004-07-21 00:00:00	2004-07-10 00:00:00	MSN	Dane County Regional (Madison)		Passenger Property Loss	Checked Baggage	8.73	Cosmetics	Approved	8.73	Approve in Full
41434	2004091562999	2004-08-03 00:00:00	2004-07-15 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	90.0	Watches & Jewelry	Approved	90.0	Approve in Full
42125	2004090862385	2004-08-09 00:00:00	2004-06-27 00:00:00	MSN	Dane County Regional (Madison)	AirTran Airlines	Passenger Property Loss	Checked Baggage	324.0	Electronics	Settled	123.94	Settle
46013	2004110366209	2004-09-28 00:00:00	2004-09-15 00:00:00	MSN	Dane County Regional (Madison)		Passenger Property Loss	Checked Baggage	136.79	Other	Denied	0.0	Deny
46633	2004112067504	2004-10-05 00:00:00	2004-09-09 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	34.95	Other	Approved	34.95	Approve in Full
46647	2004111967390	2004-10-05 00:00:00	2004-07-05 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	560.0	Watches & Jewelry	Canceled	0.0	
48406	2004122170093	2004-10-27 00:00:00	2004-10-13 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	249.0	Electronics	Approved	249.0	Approve in Full
48451	2004121469065	2004-10-27 00:00:00	2004-10-14 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	1204.0	Watches & Jewelry	Denied	0.0	Deny
48608	2004122169800	2004-10-28 00:00:00	2004-10-10 00:00:00	MSN	Dane County Regional (Madison)	American Eagle	Passenger Property Loss	Checked Baggage	52.74	Other	Approved	52.74	Approve in Full
50690	2004123172007	2004-11-24 00:00:00	2004-10-02 00:00:00	MSN	Dane County Regional (Madison)		Passenger Property Loss	Checked Baggage	41.99	Other	Approved	41.99	Approve in Full
50886	2004122871122	2004-11-29 00:00:00	2004-10-24 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	219.0	Electronics	Denied	0.0	Deny
51945	2005010472460	2004-12-14 00:00:00	2004-12-04 00:00:00	MSN	Dane County Regional (Madison)	American Airlines	Passenger Property Loss	Checked Baggage	148.72	Other	Approved	148.72	Approve in Full
53512	2005012574187	2005-01-04 00:00:00	2004-12-09 00:00:00	MSN	Dane County Regional (Madison)	AirTran Airlines	Passenger Property Loss	Checked Baggage	200.0	Containers	Denied	0.0	Deny
54563	2005013174991	2005-01-14 00:00:00	2004-12-26 00:00:00	MSN	Dane County Regional (Madison)	USAir	Passenger Property Loss	Checked Baggage	1208.0	Electronics	Denied	0.0	Deny
54851	2005020475633	2005-01-19 00:00:00	2004-12-23 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Approved	10.0	Approve in Full
59789	2005033080632	2005-03-22 00:00:00	2005-01-31 00:00:00	MSN	Dane County Regional (Madison)		Passenger Property Loss	Checked Baggage	281.13	Clothing & Accessories	Settled	140.57	Settle
60784	2005040681725	2005-04-05 00:00:00	2005-01-06 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	196.22	Watches & Jewelry	Approved	196.22	Approve in Full
61445	2005041382441	2005-04-12 00:00:00	2005-03-10 00:00:00	MSN	Dane County Regional (Madison)	Delta Air Lines	Passenger Property Loss	Checked Baggage	125.0	Electronics	Approved	125.0	Approve in Full
62509	2005042683398	2005-04-26 00:00:00	2005-02-24 00:00:00	MSN	Dane County Regional (Madison)	British Midland Airways Ltd	Passenger Property Loss	Other	100.0	Other	Approved	100.0	Approve in Full
62869	2005042983716	2005-04-29 00:00:00	2004-08-08 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss		5240.0	Watches & Jewelry	Canceled	0.0	
63032	2005050383916	2005-05-02 00:00:00	2005-03-26 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	527.0	Other	Settled	263.5	Settle
63484	2005051184531	2005-05-09 00:00:00	2005-04-03 00:00:00	MSN	Dane County Regional (Madison)		Passenger Property Loss	Checked Baggage	422.21	Electronics	Settled	346.0	Settle
63757	2005051384625	2005-05-12 00:00:00	2004-06-12 00:00:00	MSN	Dane County Regional (Madison)	Continental Airlines	Passenger Property Loss	Checked Baggage	1568.0	Clothing & Accessories	Denied	0.0	Deny
63876	2005051684790	2005-05-13 00:00:00	2005-05-06 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	2015.0	Electronics	Denied	0.0	Deny
64243	2005052085169	2005-05-18 00:00:00	2005-04-08 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Approved	20.0	Approve in Full
64848	2005060986079	2005-05-31 00:00:00	2005-05-09 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	3353.3	Watches & Jewelry	Approved	3353.3	Approve in Full
66681	2005062987674	2005-06-21 00:00:00	2005-06-08 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	205.0	Watches & Jewelry	Denied	0.0	Deny
66743	2005063087967	2005-06-21 00:00:00	2005-06-05 00:00:00	MSN	Dane County Regional (Madison)	Allegiant Air	Passenger Property Loss	Checked Baggage	258.79	Other	Settled	129.39	Settle
67519	2005071188528	2005-07-06 00:00:00	2005-06-22 00:00:00	MSN	Dane County Regional (Madison)		Passenger Property Loss	Checked Baggage	100.0	Electronics	Denied	0.0	Deny
67626	2005070888493	2005-07-07 00:00:00	2005-06-29 00:00:00	MSN	Dane County Regional (Madison)		Passenger Property Loss	Checked Baggage	525.0	Electronics	Denied	0.0	Deny
68233	2005071889143	2005-07-15 00:00:00	2005-06-25 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	239.0	Containers	Settled	50.0	Settle
69228	2005080990270	2005-08-01 00:00:00	2005-07-04 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	495.0	Watches & Jewelry	Settled	200.0	Settle
70001	2005082291085	2005-08-12 00:00:00	2005-07-27 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	4.22	Tools & Machines	Approved	4.22	Approve in Full
70272	2005082291134	2005-08-16 00:00:00	2005-07-12 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	151.23	Electronics	Settled	136.11	Settle
70295	2005082391259	2005-08-16 00:00:00	2005-07-16 00:00:00	MSN	Dane County Regional (Madison)	American Airlines	Passenger Property Loss	Checked Baggage	100.0	Cosmetics	Settled	42.5	Settle
71195	2005083191942	2005-08-31 00:00:00	2005-08-13 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	36.0	Other	Approved	36.0	Approve in Full
71756	2005091992820	2005-09-09 00:00:00	2005-07-26 00:00:00	MSN	Dane County Regional (Madison)	Midwest Express Airlines	Passenger Property Loss	Checkpoint	514.95	Other	Settled	472.63	Settle
72432	2005093093592	2005-09-20 00:00:00	2005-08-01 00:00:00	MSN	Dane County Regional (Madison)	American Airlines	Passenger Property Loss	Checked Baggage	659.0	Watches & Jewelry	Denied	0.0	Deny
73043	2005100594108	2005-09-30 00:00:00	2005-09-13 00:00:00	MSN	Dane County Regional (Madison)	American Airlines	Passenger Property Loss	Checked Baggage	445.99	Electronics	Settled	172.52	Settle
74369	2005110295521	2005-10-25 00:00:00	2005-10-01 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	6.45	Other	Canceled	0.0	
74433	2005110395594	2005-10-25 00:00:00	2005-06-28 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	419.74	Other	Denied	0.0	Deny
74600	2005110895750	2005-10-28 00:00:00	2005-10-17 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	12.84	Tools & Machines	Approved	12.84	Approve in Full
75378	2005112596445	2005-11-14 00:00:00	2005-10-27 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checked Baggage	650.0	Watches & Jewelry	Denied	0.0	Deny
77151	2005122298278	2005-12-15 00:00:00	2005-08-03 00:00:00	MSN	Dane County Regional (Madison)	Northwest Airlines	Passenger Property Loss	Checkpoint	7.3	Tools & Machines	Approved	7.3	Approve in Full
77400	2005122898499	2005-12-21 00:00:00	2005-11-23 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	4273.0	Watches & Jewelry	Denied	0.0	Deny
77598	2006010498717	2005-12-23 00:00:00	2005-12-12 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	380.0	Watches & Jewelry	Settled	347.99	Settle
77680	2006010598826	2005-12-28 00:00:00	2005-11-24 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	21.07	Electronics	Approved	21.07	Approve in Full
77782	2006011099295	2005-12-28 00:00:00	2005-10-10 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
78349	2006011199342	2006-01-09 00:00:00	2006-01-01 00:00:00	MSN	Dane County Regional (Madison)	UAL	Passenger Property Loss	Checked Baggage	210.0	Clothing & Accessories	Settled	195.0	Settle
78961	2006012400191	2006-01-18 00:00:00	2005-12-26 00:00:00	MSN	Dane County Regional (Madison)	Midwest Express Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
78964	2006012400196	2006-01-18 00:00:00	2005-12-26 00:00:00	MSN	Dane County Regional (Madison)	Midwest Express Airlines	Passenger Property Loss	Checked Baggage	39.98	Other	Approved	39.98	Approve in Full
