id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
4070	0325057L	2003-03-25 00:00:00	2003-02-12 00:00:00	MSO	Missoula International		Passenger Property Loss	Checked Baggage	75.0	Other	Other	Approved	75.0	Approve in Full
5524	0422027L	2003-04-22 00:00:00	2003-03-06 00:00:00	MSO	Missoula International	Delta Air Lines	Passenger Property Loss	Checked Baggage	99.0	Other	Other	Settled	49.5	Settle
22582	1217162M	2003-12-17 00:00:00	2003-12-10 00:00:00	MSO	Missoula International		Passenger Property Loss	Checkpoint	100.0	Other	Currency	Approved	100.0	Approve in Full
24028	0105448M	2004-01-05 00:00:00	2003-12-10 00:00:00	MSO	Missoula International	Continental Airlines	Passenger Property Loss	Checked Baggage	795.0	Electronics	Cameras - Digital	Settled	400.0	Settle
24098	0107039M	2004-01-07 00:00:00	2003-10-23 00:00:00	MSO	Missoula International		Passenger Property Loss	Checked Baggage	250.0	Watches & Jewelry	Jewelry - Fine	Approved	250.0	Approve in Full
25696	0129176M	2004-01-29 00:00:00	2004-01-05 00:00:00	MSO	Missoula International		Passenger Property Loss	Checked Baggage	12.0	Other	Other	Approved	12.0	Approve in Full
29929	2004050650619	2004-03-11 00:00:00	2004-01-13 00:00:00	MSO	Missoula International	Delta Air Lines	Passenger Property Loss	Checked Baggage	15.0	Tools & Machines	Locks	Approved	15.0	Approve in Full
34280	2004051251247	2004-05-04 00:00:00	2004-02-06 00:00:00	MSO	Missoula International	Delta Air Lines	Passenger Property Loss	Checked Baggage	175.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
36595	2004062256855	2004-05-28 00:00:00	2004-05-15 00:00:00	MSO	Missoula International	Northwest Airlines	Passenger Property Loss	Checked Baggage	730.45	Electronics	Computer - Laptop	Denied	0.0	Deny
43622	2004092763934	2004-08-31 00:00:00	2004-08-08 00:00:00	MSO	Missoula International	Delta Air Lines	Passenger Property Loss	Checked Baggage	74.78	Other	Other	Approved	74.78	Approve in Full
44059	2004100664768	2004-09-09 00:00:00	2004-08-23 00:00:00	MSO	Missoula International	Alaska Airlines	Passenger Property Loss	Checked Baggage	125.5	Other	Other	Approved	125.5	Approve in Full
44684	2004092964168	2004-09-13 00:00:00	2004-08-01 00:00:00	MSO	Missoula International		Passenger Property Loss	Checked Baggage	74.95	Other	Other	Denied	0.0	Deny
48032	2004120768801	2004-10-22 00:00:00	2004-10-16 00:00:00	MSO	Missoula International		Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
48819	2004122069347	2004-11-02 00:00:00	2004-07-11 00:00:00	MSO	Missoula International		Passenger Property Loss	Checked Baggage	50.0	Tools & Machines	Locks	Approved	50.0	Approve in Full
50237	2004122871409	2004-11-18 00:00:00	2004-09-10 00:00:00	MSO	Missoula International		Passenger Property Loss	Checked Baggage	100.0	Other	Other	Denied	0.0	Deny
60794	2005040681754	2005-04-05 00:00:00	2005-03-17 00:00:00	MSO	Missoula International	Alaska Airlines	Passenger Property Loss	Checked Baggage	500.0	Other	Currency	Approved	500.0	Approve in Full
62877	2005042983641	2005-04-29 00:00:00	2005-01-08 00:00:00	MSO	Missoula International	Alaska Airlines	Passenger Property Loss	Checked Baggage	85.96	Electronics	Cameras - Digital	Denied	0.0	Deny
65707	2005062186813	2005-06-07 00:00:00	2005-05-20 00:00:00	MSO	Missoula International	UAL	Passenger Property Loss	Checked Baggage	1200.0	Supplies	Medicines	Denied	0.0	Deny
66533	2005062787326	2005-06-20 00:00:00	2005-06-06 00:00:00	MSO	Missoula International	UAL	Passenger Property Loss	Checked Baggage	132.99	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	79.79	Settle
67145	2005070188062	2005-06-28 00:00:00	2005-05-16 00:00:00	MSO	Missoula International	Northwest Airlines	Passenger Property Loss	Checked Baggage	154.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	77.0	Settle
72258	2005092893334	2005-09-19 00:00:00	2005-09-01 00:00:00	MSO	Missoula International	Delta Air Lines	Passenger Property Loss	Checkpoint	17.64	Other	Other	Denied	0.0	Deny
74435	2005110395601	2005-10-25 00:00:00	2005-07-03 00:00:00	MSO	Missoula International	Allegiant Air	Passenger Property Loss	Checked Baggage	508.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
76258	2005120897290	2005-11-29 00:00:00	2005-11-19 00:00:00	MSO	Missoula International	Alaska Airlines	Passenger Property Loss	Checked Baggage	9.99	Other	Other	Denied	0.0	Deny
76579	2005121397632	2005-12-05 00:00:00	2005-11-28 00:00:00	MSO	Missoula International	Alaska Airlines	Passenger Property Loss	Checked Baggage	300.0	Electronics	DVD/CD Players	Settled	226.23	Settle
77273	2005122898459	2005-12-19 00:00:00	2005-12-09 00:00:00	MSO	Missoula International	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Other	Approved	50.0	Approve in Full
79858	2006020600977	2006-01-31 00:00:00	2006-01-23 00:00:00	MSO	Missoula International	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.0	Tools & Machines	Locks	Denied	0.0	Deny
87712	2006070508937	2006-07-03 00:00:00	2006-05-16 00:00:00	MSO	Missoula International	Northwest Airlines	Passenger Property Loss	Checked Baggage	332.0	Electronics	Cameras - Digital	Denied	0.0	Deny
89025	2006073110233	2006-07-27 00:00:00	2006-07-15 00:00:00	MSO	Missoula International	UAL	Passenger Property Loss	Checked Baggage	1215.0	Outdoors Supplies,Outdoors Supplies	Camping Equipment & Supplies*Sporting Equipment & Supplies (footballs, parachutes, etc.)	Denied	0.0	Deny
89135	2006080310450	2006-07-31 00:00:00	2006-07-20 00:00:00	MSO	Missoula International	UAL	Passenger Property Loss	Checked Baggage	75.84	Other	Other	Canceled	0.0	
