id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
824	23586	2002-12-20 00:00:00	2002-10-22 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	500.0	Other	Approved	500.0	Approve in Full
1295	21697	2003-01-13 00:00:00	2002-11-22 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Checkpoint	129.0	Other	Canceled		
2162	0203049L	2003-02-03 00:00:00	2002-12-29 00:00:00	MSP	Minneapolis/ St.Paul International Airport	American Airlines	Passenger Property Loss	Checked Baggage	11.77	Tools & Machines	Denied	0.0	Deny
2333	0206032L	2003-02-06 00:00:00	2003-01-20 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	600.0	Electronics	Denied	0.0	Deny
2481	0211042L	2003-02-11 00:00:00	2003-01-08 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	18.0	Other	Settled	9.0	Settle
2669	0221014L	2003-02-21 00:00:00	2003-02-02 00:00:00	MSP	Minneapolis/ St.Paul International Airport	UAL	Passenger Property Loss	Checked Baggage	78.75	Other	Approved	78.75	Approve in Full
2838	0225035L	2003-02-25 00:00:00	2003-02-06 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Checkpoint	86.44	Clothing & Accessories	Approved	86.0	Approve in Full
2900	0225041L	2003-02-25 00:00:00	2003-01-09 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Containers	Denied	0.0	Deny
2904	0225049L	2003-02-25 00:00:00	2003-01-30 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	51.1	Other	Denied	0.0	Deny
3123	0303023L	2003-03-03 00:00:00	2003-02-08 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	9465.0	Watches & Jewelry	Denied	0.0	Deny
3347	0307004L	2003-03-07 00:00:00	2003-02-14 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Checked Baggage	3600.0	Electronics,Watches & Jewelry	Settled	1500.0	Settle
3893	0318068L	2003-03-18 00:00:00	2003-02-22 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	272.0	Clothing & Accessories	Settled	136.0	Settle
3925	0319019L	2003-03-19 00:00:00	2003-01-29 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	34.0	Clothing & Accessories	Approved	34.0	Approve in Full
4047	0324014L	2003-03-24 00:00:00	2003-02-15 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	4.95	Tools & Machines	Denied	0.0	Deny
4089	0325106L	2003-03-25 00:00:00	2003-02-02 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Checked Baggage	65.0	Other	Approved	65.0	Approve in Full
4116	0325018L	2003-03-25 00:00:00	2003-02-22 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Other	1900.0	Tools & Machines	Denied	0.0	Deny
4366	0331015L	2003-03-31 00:00:00	2003-02-23 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	189.0	Clothing & Accessories	Approved	189.0	Approve in Full
4413	0401100L	2003-04-01 00:00:00	2003-02-14 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	535.0	Watches & Jewelry	Approved	535.0	Approve in Full
4453	0401068L	2003-04-01 00:00:00	2003-02-21 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	2000.0	Electronics	Denied	0.0	Deny
4731	0408115L	2003-04-08 00:00:00	2003-03-18 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Checked Baggage	20.0	Other	Approved	20.0	Approve in Full
4858	0409052L	2003-04-09 00:00:00	2003-03-20 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Checked Baggage	8.0	Containers	Approved	8.0	Approve in Full
4908	0409028L	2003-04-09 00:00:00	2003-02-12 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Settled	30.0	Settle
4935	0410035L	2003-04-10 00:00:00	2003-03-05 00:00:00	MSP	Minneapolis/ St.Paul International Airport		Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Approved	200.0	Approve in Full
5241	0417053L	2003-04-17 00:00:00	2003-04-01 00:00:00	MSP	Minneapolis/ St.Paul International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	325.0	Clothing & Accessories	Approved	325.0	Approve in Full
5458	0422131L	2003-04-22 00:00:00	2003-03-29 00:00:00	MSP	Minneapolis/ St.Paul International Airport	America Trans Air	Passenger Property Loss	Checked Baggage	21.64	Other	Approved	21.64	Approve in Full
