id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
28967	0226470M	2004-02-26 00:00:00	2004-02-07 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checkpoint	175.0	Cameras - Digital	Denied	0.0	Deny
58044	2005031878806	2005-03-01 00:00:00	2005-02-05 00:00:00	MTJ	Montrose Regional Airport	US Express	Passenger Property Loss	Checked Baggage	119.86	PDA - Personal Data Assistants	Approved	119.86	Approve in Full
73884	2005102094984	2005-10-17 00:00:00	2005-09-04 00:00:00	MTJ	Montrose Regional Airport	US Express	Passenger Property Loss	Checked Baggage	300.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
80944	2006022402118	2006-02-21 00:00:00	2006-01-24 00:00:00	MTJ	Montrose Regional Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	81.41	Clothing - Shoes, belts, accessories, etc.	Approved	81.41	Approve in Full
83351	2006041404544	2006-04-04 00:00:00	2006-03-24 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage	299.0	PDA - Personal Data Assistants	Denied	0.0	Deny
86008	2006060507313	2006-05-31 00:00:00	2005-09-10 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage	45.0	Locks	Approved	45.0	Approve in Full
93881	2006110715285	2006-10-30 00:00:00	2006-10-18 00:00:00	MTJ	Montrose Regional Airport		Passenger Property Loss	Checked Baggage	700.0	Currency	Denied	0.0	Deny
109785	2007082931138	2007-08-27 00:00:00	2007-08-19 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage	20.0	Locks	Denied	0.0	Deny
116326	2008011437818	2008-01-07 00:00:00	2007-12-21 00:00:00	MTJ	Montrose Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Barber Supplies - Scissors, shears, elecric razors, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Medicines	Settled	50.0	Settle
118989	2008030640568	2008-02-27 00:00:00	2008-02-21 00:00:00	MTJ	Montrose Regional Airport	Continental Airlines	Passenger Property Loss	Checkpoint	507.06	Clothing - Shoes, belts, accessories, etc.*Eyeglasses - (including contact lenses)*Other	Settled	500.0	Settle
121261	2008041842841	2008-04-14 00:00:00	2008-03-30 00:00:00	MTJ	Montrose Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	284.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Eyeglasses - (including contact lenses)	Denied	0.0	Deny
131675	2008121853537	2008-12-12 00:00:00	2008-12-08 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage	150.0	Barber Supplies - Scissors, shears, elecric razors, etc.	Denied	0.0	Deny
133859	2009022555809	2009-02-09 00:00:00	2009-01-01 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checkpoint	88.12	Medical Equipment & Insturments	Approved	88.12	Approve in Full
142629	2009102664693	2009-10-14 00:00:00	2009-09-15 10:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage	200.0	Sporting Equipment & Supplies (footballs, parachutes, etc.)	Denied	0.0	Deny
145450	2010012767946	2010-01-27 00:00:00	2010-01-17 12:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Clothing		183.43	Approve in Full
145659	2010021868508	2010-02-04 00:00:00	2010-01-28 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Clothing*Jewelry & Watches		249.99	Settle
152753	2010091776144	2010-09-13 00:00:00	2010-08-23 16:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Hunting & Fishing Items		130.0	Approve in Full
153111	2010092776447	2010-09-23 00:00:00	2010-09-21 22:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Baggage/Cases/Purses*Clothing		0.0	Deny
153400	2010100876800	2010-10-04 00:00:00	2010-08-26 13:50:00	MTJ	Montrose Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing*Home Decor*Hunting & Fishing Items*Other*Other*Other*Other*Other*Personal Accessories		0.0	Deny
157383	2011030380823	2011-02-09 00:00:00	2011-01-20 00:00:00	MTJ	Montrose Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
157431	2011030380881	2011-02-10 00:00:00	2010-12-29 00:00:00	MTJ	Montrose Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing		0.0	Deny
157496	2011030780963	2011-02-14 00:00:00	2011-02-01 00:00:00	MTJ	Montrose Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics & Grooming		0.0	Deny
158513	2011040681919	2011-03-21 00:00:00	2011-03-02 12:00:00	MTJ	Montrose Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Travel Accessories		32.45	Approve in Full
158535	2011040781996	2011-03-21 00:00:00	2011-03-02 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Cameras*Cameras		246.14	Settle
159387	2011042182844	2011-04-18 00:00:00	2011-03-25 12:00:00	MTJ	Montrose Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics & Grooming		35.0	Approve in Full
162445	2011081186030	2011-07-26 00:00:00	2011-07-25 14:00:00	MTJ	Montrose Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Computer & Accessories		0.0	Deny
163222	2011090986797	2011-08-19 00:00:00	2011-03-06 12:30:00	MTJ	Montrose Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other*Personal Electronics		152.3	Settle
165349	2011100487361	2011-11-01 00:00:00	2011-07-31 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Jewelry & Watches		0.0	Deny
168377	2012021491009	2012-02-14 00:00:00	2011-12-28 14:00:00	MTJ	Montrose Regional Airport		Passenger Property Loss	Checked Baggage		Personal Electronics		0.0	Deny
177718	2013012400277	2013-01-24 00:00:00	2012-10-21 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Hunting & Fishing Items		75.0	Approve in Full
180415	2013062604797	2013-05-03 00:00:00	2013-03-23 00:00:00	MTJ	Montrose Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Jewelry & Watches			
201636	2015021320595	2015-02-13 00:00:00	2015-01-31 00:00:00	MTJ	Montrose Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing		54.41	Settle
201637	2015031121171	2015-03-11 00:00:00	2015-03-01 00:00:00	MTJ	Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Other		50.0	Settle
210176	2016030829437	2016-02-16 00:00:00	2016-02-11 11:30:00	MTJ	Montrose Regional Airport Montrose Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Household Items		160.0	Approve in Full
210177	2016032330000	2016-03-09 00:00:00	2016-02-13 13:17:00	MTJ	Montrose Regional Airport Montrose Regional Airport	UAL	Passenger Property Loss	Checked Baggage		Jewelry & Watches			Closed:Canceled
218387	2017110645006	2017-10-06 00:00:00	2017-09-10 00:00:00	MTJ	Montrose Regional Airport Montrose Regional Airport	Not Provided	Passenger Property Loss	Checked Baggage		Clothing			In Review
218388	2017021637591	2017-01-12 00:00:00	2017-01-01 11:00:00	MTJ	Montrose Regional Airport Montrose Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Baggage/Cases/Purses		0.0	Deny
