id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
11193	0718015M	2003-07-18 00:00:00	2003-07-06 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	29.97	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	29.97	Approve in Full
11252	0721100M	2003-07-21 00:00:00	2003-06-28 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	417.0	Other	Other	Approved	417.0	Approve in Full
25342	0115217M	2004-01-15 00:00:00	2003-11-25 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	81.95	Other	Other	Denied	0.0	Deny
27516	0210321M	2004-02-10 00:00:00	2004-01-29 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checkpoint	100.0	Electronics	Cell Phones	Denied	100.0	Deny
28557	0223230M	2004-02-23 00:00:00	2004-01-16 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checkpoint	60.0	Other	Other	Denied	0.0	Deny
30428	2004051852657	2004-03-15 00:00:00	2003-12-22 00:00:00	MYR	Myrtle Beach International	Continental Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	25.0	Approve in Full
31376	2004051251364	2004-03-24 00:00:00	2004-03-14 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checked Baggage	48.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	24.0	Settle
35358	2004061756063	2004-05-13 00:00:00	2004-04-30 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	1000.0	Electronics	Cameras - Digital	Settled	288.06	Settle
35576	2004062156723	2004-05-19 00:00:00	2004-05-09 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	179.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	179.0	Approve in Full
36853	2004072259882	2004-06-03 00:00:00	2003-10-14 00:00:00	MYR	Myrtle Beach International	AirTran Airlines	Passenger Property Loss	Checked Baggage	35.0	Other	Other	Approved	35.0	Approve in Full
40866	2004082661421	2004-07-23 00:00:00	2004-07-07 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checked Baggage	499.0	Electronics	Cameras - Digital	Denied	0.0	Deny
41154	2004083061608	2004-07-27 00:00:00	2004-07-11 00:00:00	MYR	Myrtle Beach International	Hooters Air (PACE)	Passenger Property Loss	Checked Baggage	1000.0	Other	Currency	Denied	0.0	Deny
43192	2004100464362	2004-08-24 00:00:00	2004-08-07 00:00:00	MYR	Myrtle Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	73.03	Other	Other	Denied	0.0	Deny
43550	2004092263524	2004-08-27 00:00:00	2004-07-16 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	346.49	Other	Other	Settled	311.84	Settle
43831	2004101364878	2004-08-31 00:00:00	2004-07-12 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	50.0	Settle
45216	2004102065337	2004-09-17 00:00:00	2004-08-20 00:00:00	MYR	Myrtle Beach International	Continental Airlines	Passenger Property Loss	Checked Baggage	140.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
45511	2004101565080	2004-09-21 00:00:00	2004-09-05 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	36.74	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	37.5	Approve in Full
47791	2004120768684	2004-10-20 00:00:00	2004-08-31 00:00:00	MYR	Myrtle Beach International	Continental Airlines	Passenger Property Loss	Checked Baggage	60.89	Other	Other	Approved	60.89	Approve in Full
51453	2004123071921	2004-12-07 00:00:00	2004-11-23 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checked Baggage	675.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
51609	2005010372176	2004-12-10 00:00:00	2004-10-30 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	164.0	Other	Other	Approved	164.0	Approve in Full
52299	2005010572886	2004-12-17 00:00:00	2004-11-24 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checked Baggage	325.86	Electronics	Cameras - Digital	Approved	325.86	Approve in Full
52757	2005011073358	2004-12-21 00:00:00	2004-11-22 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	1200.0	Other	Other	Settled	960.0	Settle
53362	2005012574225	2005-01-03 00:00:00	2004-12-04 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	1499.99	Electronics	Computer - Laptop	Settled	196.87	Settle
54732	2005020175158	2005-01-18 00:00:00	2005-10-08 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	90.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
56122	2005022876862	2005-02-01 00:00:00	2004-11-08 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	225.0	Other	Other	Denied		Deny
56300	2005031077506	2005-02-01 00:00:00	2004-09-04 00:00:00	MYR	Myrtle Beach International	AirTran Airlines	Passenger Property Loss	Checked Baggage	550.0	Watches & Jewelry	Jewelry - Fine	Settled	275.0	Settle
59688	2005033080455	2005-03-18 00:00:00	2005-02-07 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Other	200.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	100.0	Settle
60073	2005033180885	2005-03-23 00:00:00	2004-12-22 00:00:00	MYR	Myrtle Beach International	UAL	Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Jewelry - Fine	Settled	150.0	Settle
61670	2005041382473	2005-04-12 00:00:00	2005-04-04 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	324.74	Other	Other	Settled	293.37	Settle
61874	2005041982826	2005-04-18 00:00:00	2005-03-24 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Other	Approved	100.0	Approve in Full
62305	2005042583329	2005-04-22 00:00:00	2005-04-16 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	43.1	Electronics	Cell Phones	Approved	43.1	Approve in Full
63284	2005040781819	2005-05-05 00:00:00	2005-03-21 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	300.0	Other	Other	Settled	244.29	Settle
63476	2005051084425	2005-05-09 00:00:00	2005-05-01 00:00:00	MYR	Myrtle Beach International		Passenger Property Loss	Checked Baggage	256.0	Other	Other	Settled	26.25	Settle
64601	2005060185602	2005-05-24 00:00:00	2005-05-06 00:00:00	MYR	Myrtle Beach International	UAL	Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Jewelry - Fine	Approved	150.0	Approve in Full
66593	2005063087810	2005-06-21 00:00:00	2005-05-20 00:00:00	MYR	Myrtle Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	75.42	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	75.42	Approve in Full
66669	2005062887646	2005-06-21 00:00:00	2005-04-11 00:00:00	MYR	Myrtle Beach International	UAL	Passenger Property Loss	Checked Baggage	250.0	Electronics	Cameras - Digital	Denied	0.0	Deny
71527	2005091592578	2005-09-08 00:00:00	2005-05-03 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	334.7	Other	Other	Denied	0.0	Deny
73663	2005101894812	2005-10-12 00:00:00	2005-09-13 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	185.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
74098	2005102695213	2005-10-18 00:00:00	2005-09-26 00:00:00	MYR	Myrtle Beach International	Northwest Airlines	Passenger Property Loss	Checked Baggage	369.9	Electronics	Cameras - Digital	Settled	159.0	Settle
74166	2005102795289	2005-10-20 00:00:00	2005-10-01 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	1229.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
74169	2005102795293	2005-10-20 00:00:00	2005-10-13 00:00:00	MYR	Myrtle Beach International	UAL	Passenger Property Loss	Checked Baggage	109.99	Other	Other	Denied	0.0	Deny
74226	2005102895337	2005-10-21 00:00:00	2005-10-02 00:00:00	MYR	Myrtle Beach International	UAL	Passenger Property Loss	Checked Baggage	140.0	Other	Other	Denied	0.0	Deny
74348	2005110195464	2005-10-25 00:00:00	2005-10-05 00:00:00	MYR	Myrtle Beach International	Northwest Airlines	Passenger Property Loss	Checked Baggage	52.49	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	52.49	Approve in Full
75719	2005120196848	2005-11-18 00:00:00	2005-10-31 00:00:00	MYR	Myrtle Beach International	Continental Airlines	Passenger Property Loss	Checked Baggage	98.0	Other	Other	Denied	0.0	Deny
75913	2005120697015	2005-11-22 00:00:00	2005-11-19 00:00:00	MYR	Myrtle Beach International	Delta Air Lines	Passenger Property Loss	Checkpoint	69.95	Other	Other	Denied	0.0	Deny
76159	2005121397688	2005-11-28 00:00:00	2005-10-26 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checkpoint	413.37	Electronics	Cameras - Digital	Denied	0.0	Deny
76284	2005121297535	2005-11-29 00:00:00	2005-10-30 00:00:00	MYR	Myrtle Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	289.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
76454	2005121297555	2005-12-02 00:00:00	2005-11-20 00:00:00	MYR	Myrtle Beach International	USAir	Passenger Property Loss	Checked Baggage	300.0	Electronics	Cameras - Digital	Denied	0.0	Deny
83709	2006051506345	2006-04-11 00:00:00	2006-03-17 00:00:00	MYR	Myrtle Beach International	Continental Airlines	Passenger Property Loss	Checked Baggage	165.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
85024	2006051206105	2006-05-09 00:00:00	2006-04-28 00:00:00	MYR	Myrtle Beach International	Spirit Airlines	Passenger Property Loss	Checked Baggage	1000.0	Other	Currency	Denied	0.0	Deny
