id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
522	0715507M	2002-12-09 00:00:00	2002-11-11 00:00:00	OAK	Metropolitan Oakland International	Jet Blue	Passenger Property Loss	Checkpoint	1000.0	Other	Currency	Canceled		
1948	0128056L	2003-01-28 00:00:00	2003-01-08 00:00:00	OAK	Metropolitan Oakland International		Passenger Property Loss	Checked Baggage	550.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
1973	0129034L	2003-01-29 00:00:00	2002-10-30 00:00:00	OAK	Metropolitan Oakland International		Passenger Property Loss	Checkpoint	29.95	Other	Other	Approved		Approve in Full
2680	0221044L	2003-02-21 00:00:00	2003-01-07 00:00:00	OAK	Metropolitan Oakland International	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Watches & Jewelry	Jewelry - Fine	Approved	100.0	Approve in Full
2753	0224078L	2003-02-24 00:00:00	2003-01-20 00:00:00	OAK	Metropolitan Oakland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	137.92	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	137.92	Approve in Full
2866	0225114L	2003-02-25 00:00:00	2002-12-20 00:00:00	OAK	Metropolitan Oakland International	Southwest Airlines	Passenger Property Loss	Checkpoint	292.26	Electronics	Cell Phones	Approved	292.0	Approve in Full
2958	0225120L	2003-02-25 00:00:00	2003-01-04 00:00:00	OAK	Metropolitan Oakland International	Aloha Airlines	Passenger Property Loss	Checked Baggage	41.94	Other	Other	Settled	22.0	Settle
2996	0226046L	2003-02-26 00:00:00	2003-01-16 00:00:00	OAK	Metropolitan Oakland International	American Airlines	Passenger Property Loss	Checked Baggage	139.36	Other	Other	Denied	0.0	Deny
3108	0303007L	2003-03-03 00:00:00	2003-01-26 00:00:00	OAK	Metropolitan Oakland International	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.0	Other	Other	Approved	30.0	Approve in Full
3178	0304034L	2003-03-04 00:00:00	2003-01-19 00:00:00	OAK	Metropolitan Oakland International	Southwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Electronics	Cameras - Digital	Canceled	0.0	
3352	0310000L	2003-03-10 00:00:00	2003-01-23 00:00:00	OAK	Metropolitan Oakland International	Southwest Airlines	Passenger Property Loss	Checkpoint	203.0	Other	Currency	Approved	203.0	Approve in Full
3964	0320032L	2003-03-20 00:00:00	2003-03-03 00:00:00	OAK	Metropolitan Oakland International	Continental Airlines	Passenger Property Loss	Checked Baggage	280.0	Other	Other	Approved	280.0	Approve in Full
4220	0326037L	2003-03-26 00:00:00	2003-02-17 00:00:00	OAK	Metropolitan Oakland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	54.2	Electronics	Cell Phones	Approved	54.2	Approve in Full
4278	0326008L	2003-03-26 00:00:00	2003-03-03 00:00:00	OAK	Metropolitan Oakland International		Passenger Property Loss	Checked Baggage	615.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	451.5	Settle
4980	0411021L	2003-04-11 00:00:00	2002-12-28 00:00:00	OAK	Metropolitan Oakland International	Southwest Airlines	Passenger Property Loss	Checkpoint	500.0	Other	Currency	Approved	500.0	Approve in Full
5009	0411031L	2003-04-11 00:00:00	2003-03-18 00:00:00	OAK	Metropolitan Oakland International	Jet Blue	Passenger Property Loss	Checked Baggage	351.79	Electronics	Cameras - Digital	Settled	176.0	Settle
5210	0416077L	2003-04-16 00:00:00	2003-02-25 00:00:00	OAK	Metropolitan Oakland International	American Airlines	Passenger Property Loss	Checked Baggage	84.5	Other	Other	Settled	42.25	Settle
5412	0421073L	2003-04-21 00:00:00	2003-03-23 00:00:00	OAK	Metropolitan Oakland International		Passenger Property Loss	Checked Baggage	400.0	Watches & Jewelry	Jewelry - Fine	Settled	200.0	Settle
6059	0505078L	2003-05-05 00:00:00	2003-03-23 00:00:00	OAK	Metropolitan Oakland International	Southwest Airlines	Passenger Property Loss	Checked Baggage	69.0	Other	Other	Settled	39.5	Settle
6400	0514061L	2003-05-14 00:00:00	2003-04-25 00:00:00	OAK	Metropolitan Oakland International	Jet Blue	Passenger Property Loss	Checkpoint	20.0	Other	Currency	Approved	20.0	Approve in Full
6564	0515034L	2003-05-15 00:00:00	2003-04-09 00:00:00	OAK	Metropolitan Oakland International	Jet Blue	Passenger Property Loss	Checked Baggage	170.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	170.0	Approve in Full
6625	0516021L	2003-05-16 00:00:00	2003-02-24 00:00:00	OAK	Metropolitan Oakland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	120.0	Watches & Jewelry	Jewelry - Fine	Settled	60.0	Settle
6644	0520039L	2003-05-20 00:00:00	2003-05-09 00:00:00	OAK	Metropolitan Oakland International		Passenger Property Loss	Checked Baggage	246.81	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	246.81	Approve in Full
6678	0520162L	2003-05-20 00:00:00	2003-04-14 00:00:00	OAK	Metropolitan Oakland International	Delta Air Lines	Passenger Property Loss	Checked Baggage	185.65	Other	Other	Approved	185.65	Approve in Full
6867	0520186L	2003-05-20 00:00:00	2003-05-01 00:00:00	OAK	Metropolitan Oakland International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1953.91	Other	Other	Settled	781.56	Settle
7266	0529053L	2003-05-29 00:00:00	2003-05-06 00:00:00	OAK	Metropolitan Oakland International	UAL	Passenger Property Loss	Checked Baggage	150.0	Other	Other	Settled	75.0	Settle
7365	0602098L	2003-06-02 00:00:00	2003-05-12 00:00:00	OAK	Metropolitan Oakland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	16.48	Other	Other	Denied		Deny
7894	0606015L	2003-06-06 00:00:00	2003-05-10 00:00:00	OAK	Metropolitan Oakland International	Southwest Airlines	Passenger Property Loss	Checkpoint	53.0	Watches & Jewelry	Jewelry - Fine	Approved	53.0	Approve in Full
7913	0606021L	2003-06-06 00:00:00	2003-05-23 00:00:00	OAK	Metropolitan Oakland International	Southwest Airlines	Passenger Property Loss	Checked Baggage	400.0	Electronics	Cameras - Digital	Settled	200.0	Settle
8018	0609142L	2003-06-09 00:00:00	2003-06-01 00:00:00	OAK	Metropolitan Oakland International	UAL	Passenger Property Loss	Checked Baggage	1113.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
8036	0609015L	2003-06-09 00:00:00	2003-04-17 00:00:00	OAK	Metropolitan Oakland International	American Airlines	Passenger Property Loss	Checked Baggage	699.85	Electronics	Cameras - Digital	Settled	520.83	Settle
