id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
4577	0402100L	2003-04-02 00:00:00	2003-03-14 00:00:00	OGG	Kahului-Maui, HI	Alaska Airlines	Passenger Property Loss	Checked Baggage	599.97	Outdoors Supplies	Denied	0.0	Deny
4778	0408082L	2003-04-08 00:00:00	2003-03-19 00:00:00	OGG	Kahului-Maui, HI	Hawaiian Airlines	Passenger Property Loss	Checkpoint	300.0	Electronics	Denied		Deny
5492	0422136L	2003-04-22 00:00:00	2003-03-15 00:00:00	OGG	Kahului-Maui, HI	UAL	Passenger Property Loss	Checked Baggage	2500.0	Watches & Jewelry	Denied	0.0	Deny
10102	0707026M	2003-07-07 00:00:00	2003-06-10 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Denied	0.0	Deny
12203	0731058M	2003-07-31 00:00:00	2003-07-18 00:00:00	OGG	Kahului-Maui, HI	UAL	Passenger Property Loss	Checkpoint	1600.0	Watches & Jewelry	Denied	1600.0	Deny
15023	0904062M	2003-09-04 00:00:00	2003-04-12 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	2551.0	Supplies	Denied	0.0	Deny
17594	1009105M	2003-10-09 00:00:00	2003-09-27 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Approved	500.0	Approve in Full
21234	1126112M	2003-11-26 00:00:00	2003-10-01 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	173.0	Clothing & Accessories	Settled	86.5	Settle
31372	2004051251332	2004-03-24 00:00:00	2004-03-10 00:00:00	OGG	Kahului-Maui, HI	American Airlines	Passenger Property Loss	Checkpoint	349.0	Electronics	Settled	236.79	Settle
31820	2004051452181	2004-04-01 00:00:00	2004-01-04 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	139.93	Clothing & Accessories	Canceled		
31970	2004051451973	2004-04-01 00:00:00	2004-03-14 00:00:00	OGG	Kahului-Maui, HI	America Trans Air	Passenger Property Loss	Checked Baggage	500.0	Other	Settled	250.0	Settle
32313	2004053153921	2004-04-06 00:00:00	2004-01-22 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	331.82	Clothing & Accessories	Settled	165.91	Settle
32431	2004052653532	2004-04-15 00:00:00	2004-03-01 00:00:00	OGG	Kahului-Maui, HI	American Airlines	Passenger Property Loss	Checked Baggage	125.0	Other	Approved	125.0	Approve in Full
32440	2004052653560	2004-04-15 00:00:00	2004-03-04 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	14.13	Other	Approved	14.13	Approve in Full
32542	2004062056388	2004-04-15 00:00:00	2003-11-08 00:00:00	OGG	Kahului-Maui, HI	Continental Airlines	Passenger Property Loss	Checked Baggage	275.49	Other	Denied	0.0	Deny
32959	2004060354519	2004-04-21 00:00:00	2004-03-20 00:00:00	OGG	Kahului-Maui, HI	Aloha Airlines	Passenger Property Loss	Checked Baggage	150.0	Electronics	Approved	150.0	Approve in Full
33300	2004052853772	2004-04-21 00:00:00	2004-03-19 00:00:00	OGG	Kahului-Maui, HI	AirTran Airlines	Passenger Property Loss	Checked Baggage	25.98	Other	Settled	17.99	Settle
33418	2004060654808	2004-04-21 00:00:00	2004-02-06 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	60.0	Clothing & Accessories	Settled	47.65	Settle
34055	2004051151124	2004-05-04 00:00:00	2004-03-28 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	238.55	Clothing & Accessories	Approved	238.55	Approve in Full
34232	2004051251369	2004-05-04 00:00:00	2004-04-22 00:00:00	OGG	Kahului-Maui, HI	UAL	Passenger Property Loss	Checkpoint	175.0	Watches & Jewelry	Canceled	0.0	
34316	2004051351639	2004-05-04 00:00:00	2004-04-16 00:00:00	OGG	Kahului-Maui, HI	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	1150.0	Other	Denied	0.0	Deny
34462	2004052453218	2004-05-04 00:00:00	2004-03-14 00:00:00	OGG	Kahului-Maui, HI	ATA Aerocondor	Passenger Property Loss	Checked Baggage	120.0	Other	Settled	60.0	Settle
34641	2004060855159	2004-05-05 00:00:00	2004-03-06 00:00:00	OGG	Kahului-Maui, HI	American Airlines	Passenger Property Loss	Checkpoint	23.95	Other	Denied	23.95	Deny
35518	2004061756079	2004-05-19 00:00:00	2004-04-01 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	31.63	Cosmetics	Approved	31.63	Approve in Full
36593	2004062256828	2004-05-28 00:00:00	2004-05-09 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	151.54	Electronics	Denied	0.0	Deny
37780	2004071259099	2004-06-14 00:00:00	2004-03-02 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	250.0	Clothing & Accessories	Denied	0.0	Deny
38345	2004070758659	2004-06-21 00:00:00	2004-05-20 00:00:00	OGG	Kahului-Maui, HI	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	629.99	Cosmetics	Settled	156.25	Settle
39059	2004072359950	2004-06-29 00:00:00	2004-06-10 00:00:00	OGG	Kahului-Maui, HI	American Airlines	Passenger Property Loss	Checked Baggage	35.0	Other	Settled	17.5	Settle
39142	2004071959707	2004-07-06 00:00:00	2004-06-17 00:00:00	OGG	Kahului-Maui, HI	American Airlines	Passenger Property Loss	Checked Baggage	40.76	Other	Approved	40.76	Approve in Full
39763	2004081161191	2004-07-09 00:00:00	2004-07-08 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	25.0	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
40052	2004080360508	2004-07-13 00:00:00	2004-06-10 00:00:00	OGG	Kahului-Maui, HI	American Airlines	Passenger Property Loss	Checked Baggage	35.0	Other	Canceled	0.0	
40346	2004090261975	2004-07-16 00:00:00	2004-07-09 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	169.22	Clothing & Accessories	Approved	169.22	Approve in Full
41553	2004091663110	2004-08-03 00:00:00	2004-07-26 00:00:00	OGG	Kahului-Maui, HI	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	480.0	Electronics	Denied	0.0	Deny
43862	2004091663089	2004-09-01 00:00:00	2004-07-15 00:00:00	OGG	Kahului-Maui, HI		Passenger Theft	Checked Baggage	11.45	Supplies	Approved	11.45	Approve in Full
44338	2004111266889	2004-09-09 00:00:00	2004-08-31 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	130.0	Other	Denied	0.0	Deny
45325	2004092063154	2004-09-20 00:00:00	2004-08-01 00:00:00	OGG	Kahului-Maui, HI	American Airlines	Passenger Property Loss	Checked Baggage	27.06	Other	Approved	27.06	Approve in Full
46150	2004110866719	2004-09-29 00:00:00	2004-02-21 00:00:00	OGG	Kahului-Maui, HI	Continental Airlines	Passenger Property Loss	Checked Baggage	29.0	Clothing & Accessories	Approved	29.0	Approve in Full
46297	2004111667090	2004-09-29 00:00:00	2004-09-20 00:00:00	OGG	Kahului-Maui, HI	Aloha Airlines	Passenger Property Loss	Checked Baggage	79.0	Clothing & Accessories	Denied		Deny
48705	2004122971539	2004-10-29 00:00:00	2004-10-16 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	126.0	Other	Approved	126.0	Approve in Full
49652	2005010572739	2004-11-09 00:00:00	2004-10-22 00:00:00	OGG	Kahului-Maui, HI	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	4300.0	Watches & Jewelry	Denied	0.0	Deny
52443	2005010673039	2004-12-20 00:00:00	2004-11-15 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	10.0	Other	Approved	10.0	Approve in Full
53164	2005011973796	2004-12-28 00:00:00	2004-10-11 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	100.0	Other	Settled	50.0	Settle
53292	2005012173850	2004-12-30 00:00:00	2004-07-10 00:00:00	OGG	Kahului-Maui, HI	USAir	Passenger Property Loss	Checked Baggage	741.0	Electronics	Settled	619.89	Settle
53509	2005012574181	2005-01-04 00:00:00	2004-12-28 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	623.4	Electronics	Denied	0.0	Deny
54289	2005012874732	2005-01-11 00:00:00	2005-01-06 00:00:00	OGG	Kahului-Maui, HI	American Airlines	Passenger Property Loss	Checked Baggage	479.89	Electronics	Settled	411.91	Settle
55200	2005021176016	2005-01-21 00:00:00	2005-01-18 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checkpoint	700.0	Clothing & Accessories	Settled	631.02	Settle
56196	2005030877282	2005-02-01 00:00:00	2005-01-09 00:00:00	OGG	Kahului-Maui, HI	Hawaiian Airlines	Passenger Property Loss	Checkpoint	944.0	Watches & Jewelry	Denied	0.0	Deny
57409	2005031578225	2005-02-16 00:00:00	2005-01-13 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	60.0	Electronics	Denied	0.0	Deny
57554	2005032379504	2005-02-18 00:00:00	2005-02-05 00:00:00	OGG	Kahului-Maui, HI		Passenger Property Loss	Checked Baggage	150.0	Other	Canceled	0.0	
58688	2005032479700	2005-03-07 00:00:00		OGG	Kahului-Maui, HI	Hawaiian Airlines	Passenger Property Loss	Checkpoint	259.97	Clothing & Accessories	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
59326	2005032980211	2005-03-16 00:00:00	2005-02-19 00:00:00	OGG	Kahului-Maui, HI	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Approved	10.0	Approve in Full
