id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
4318	0328049L	2003-03-28 00:00:00	2003-02-27 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checkpoint	25.0	Watches & Jewelry	Approved	25.0	Approve in Full
10026	0703036M	2003-07-03 00:00:00	2003-06-29 00:00:00	OKC	Will Rogers World	Delta Air Lines	Passenger Property Loss	Checked Baggage	9175.0	Watches & Jewelry	Settled	2000.0	Settle
12204	0731060M	2003-07-31 00:00:00	2003-06-22 00:00:00	OKC	Will Rogers World	American Airlines	Passenger Property Loss	Checkpoint	249.99	Electronics	Denied	0.0	Deny
12983	0812034M	2003-08-12 00:00:00	2003-07-14 00:00:00	OKC	Will Rogers World	Delta Air Lines	Passenger Property Loss	Checkpoint	85.0	Other	Denied	0.0	Deny
13448	0815073M	2003-08-15 00:00:00	2003-07-18 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checkpoint	550.0	Clothing & Accessories	Canceled		
14275	0826130M	2003-08-26 00:00:00	2003-07-23 00:00:00	OKC	Will Rogers World	American Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Approved	100.0	Approve in Full
15624	0909185M	2003-09-09 00:00:00	2003-08-14 00:00:00	OKC	Will Rogers World	Southwest Airlines	Passenger Property Loss	Checked Baggage	163.0	Other	Settled	81.5	Settle
19013	1023803M	2003-10-23 00:00:00	2002-12-18 00:00:00	OKC	Will Rogers World	American Airlines	Passenger Property Loss	Checkpoint	4944.0	Watches & Jewelry	Denied	0.0	Deny
23116	1217421M	2003-12-17 00:00:00	2003-11-13 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Other	292.59	Clothing & Accessories	Settled	145.0	Settle
27431	0210227M	2004-02-10 00:00:00	2003-12-22 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checked Baggage	100.0	Other	Canceled		
29762	2004051852686	2004-03-10 00:00:00	2004-12-12 00:00:00	OKC	Will Rogers World	American Airlines	Passenger Property Loss	Checkpoint	25.0	Other	Approved	25.0	Approve in Full
30481	2004042350054	2004-03-15 00:00:00	2004-03-04 00:00:00	OKC	Will Rogers World	Southwest Airlines	Passenger Property Loss	Checked Baggage	260.0	Other	Settled	130.0	Settle
31822	2004051752427	2004-04-01 00:00:00	2004-03-13 00:00:00	OKC	Will Rogers World	Southwest Airlines	Passenger Property Loss	Checked Baggage	282.49	Other	Canceled		
33007	2004060254264	2004-04-21 00:00:00	2004-03-23 00:00:00	OKC	Will Rogers World	Delta Air Lines	Passenger Property Loss	Checkpoint	120.0	Other	Canceled		
33511	2004061555792	2004-04-23 00:00:00	2004-04-08 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checked Baggage	55.0	Clothing & Accessories	Approved	55.0	Approve in Full
35719	2004061455593	2004-05-19 00:00:00	2004-04-29 00:00:00	OKC	Will Rogers World	American Airlines	Passenger Property Loss	Checked Baggage	475.0	Electronics	Settled	175.0	Settle
39740	2004081261273	2004-07-09 00:00:00	2004-06-23 00:00:00	OKC	Will Rogers World	Southwest Airlines	Passenger Theft	Checked Baggage	269.0	Other	Denied	0.0	Deny
40945	2004072760047	2004-07-25 00:00:00	2004-09-04 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checkpoint	150.0	Clothing & Accessories	Approved	150.0	Approve in Full
42012	2004091663127	2004-08-09 00:00:00	2004-07-31 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checked Baggage	55.64	Other	Approved	55.64	Approve in Full
44168	2004100664784	2004-09-09 00:00:00	2004-07-23 00:00:00	OKC	Will Rogers World	UAL	Passenger Property Loss	Checked Baggage	120.0	Other	Canceled	0.0	
45895	2004101965119	2004-09-28 00:00:00	2004-09-06 00:00:00	OKC	Will Rogers World	American Airlines	Passenger Property Loss	Checked Baggage	241.95	Other	Approved	241.95	Approve in Full
46624	2004112067488	2004-10-05 00:00:00	2004-09-11 00:00:00	OKC	Will Rogers World	Southwest Airlines	Passenger Property Loss	Checkpoint	48.95	Cosmetics	Approved	48.95	Approve in Full
47353	2004112967950	2004-10-14 00:00:00	2004-09-12 00:00:00	OKC	Will Rogers World	American Airlines	Passenger Property Loss	Checked Baggage	764.0	Electronics	Settled	244.37	Settle
48099	2004120768829	2004-10-25 00:00:00	2004-09-18 00:00:00	OKC	Will Rogers World	UAL	Passenger Property Loss	Checkpoint	144.25	Other	Approved	144.25	Approve in Full
48463	2004121469125	2004-10-27 00:00:00	2004-10-14 00:00:00	OKC	Will Rogers World	Delta Air Lines	Passenger Property Loss	Checked Baggage	161.0	Other	Denied	0.0	Deny
49285	2004122069509	2004-11-05 00:00:00	2004-10-28 00:00:00	OKC	Will Rogers World	Delta Air Lines	Passenger Property Loss	Checkpoint	50.0	Other	Approved	50.0	Approve in Full
49360	2005020275435	2004-11-05 00:00:00	2004-08-18 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checked Baggage	259.99	Electronics	Denied	0.0	Deny
49592	2004122169831	2004-11-09 00:00:00	2004-10-20 00:00:00	OKC	Will Rogers World	UAL	Passenger Property Loss	Checked Baggage	23.95	Other	Denied		Deny
49846	2004122170219	2004-11-15 00:00:00	2004-11-04 00:00:00	OKC	Will Rogers World	Continental Airlines	Passenger Property Loss	Checked Baggage	28.87	Tools & Machines	Approved	28.87	Approve in Full
50252	2005010672936	2004-11-18 00:00:00	2004-10-17 00:00:00	OKC	Will Rogers World	Delta Air Lines	Passenger Property Loss	Checked Baggage	358.22	Other	Denied	0.0	Deny
50924	2004122771051	2004-11-29 00:00:00	2004-11-14 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checked Baggage	529.44	Cosmetics	Settled	132.36	Settle
51673	2005010472710	2004-12-10 00:00:00	2004-09-29 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checked Baggage	20.0	Other	Canceled	0.0	
52589	2005011073299	2004-12-21 00:00:00	2004-11-30 00:00:00	OKC	Will Rogers World	Delta Air Lines	Passenger Property Loss	Checked Baggage	9.0	Other	Approved	9.0	Approve in Full
53416	2005012674314	2005-01-04 00:00:00	2004-12-22 00:00:00	OKC	Will Rogers World		Passenger Property Loss	Checked Baggage	63.6	Electronics	Approved	63.6	Approve in Full
