id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
501	20254	2002-12-05 00:00:00	2002-10-24 00:00:00	ONT	Ontario International	Continental Airlines	Passenger Property Loss	Checkpoint	150.0	Clothing - Shoes, belts, accessories, etc.	Approved	150.0	Approve in Full
683	121300HL	2002-12-13 00:00:00	2002-10-25 00:00:00	ONT	Ontario International		Passenger Property Loss	Checkpoint	200.0	Clothing - Shoes, belts, accessories, etc.	Settled	120.0	Settle
1836	0127002L	2003-01-27 00:00:00	2003-01-05 00:00:00	ONT	Ontario International		Passenger Property Loss	Checked Baggage	85.52	Clothing - Shoes, belts, accessories, etc.	Approved		Approve in Full
3519	0311022L	2003-03-11 00:00:00	2003-02-02 00:00:00	ONT	Ontario International	Delta Air Lines	Passenger Property Loss	Checked Baggage	52.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	26.0	Settle
4216	0326024L	2003-03-26 00:00:00	2003-01-31 00:00:00	ONT	Ontario International	Delta Air Lines	Passenger Property Loss	Checkpoint	18.92	Other	Approved	19.0	Approve in Full
4507	0401091L	2003-04-01 00:00:00	2003-03-01 00:00:00	ONT	Ontario International		Passenger Property Loss	Checkpoint	200.0	Jewelry - Fine	Settled	100.0	Settle
7378	0602075L	2003-06-02 00:00:00	2003-12-30 00:00:00	ONT	Ontario International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cameras - Digital	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
7748	0606173L	2003-06-03 00:00:00	2003-05-29 00:00:00	ONT	Ontario International	UAL	Passenger Property Loss	Checked Baggage	150.0	Other	Settled	75.0	Settle
12062	0729213M	2003-07-29 00:00:00	2003-06-17 00:00:00	ONT	Ontario International	USAir	Passenger Property Loss	Checked Baggage	85.0	Clothing - Shoes, belts, accessories, etc.	Settled	42.5	Settle
12596	0806075M	2003-08-06 00:00:00	2003-07-15 00:00:00	ONT	Ontario International	Alaska Airlines	Passenger Property Loss	Checked Baggage	30.0	Jewelry - Fine	Approved	30.0	Approve in Full
14793	0902057M	2003-09-02 00:00:00	2003-08-27 00:00:00	ONT	Ontario International	Alaska Airlines	Passenger Property Loss	Checkpoint	500.0	Currency	Denied	0.0	Deny
15272	0905179M	2003-09-05 00:00:00	2003-08-14 00:00:00	ONT	Ontario International	Southwest Airlines	Passenger Property Loss	Checked Baggage	250.0	Other	Settled	125.0	Settle
20677	1119075M	2003-11-19 00:00:00	2003-11-09 00:00:00	ONT	Ontario International		Passenger Property Loss	Checked Baggage	20.0	Other	Approved	20.0	Approve in Full
22088	1208142M	2003-12-08 00:00:00	2003-07-26 00:00:00	ONT	Ontario International	Continental Airlines	Passenger Property Loss	Checkpoint	100.0	Eyeglasses - (including contact lenses)	Approved	100.0	Approve in Full
22413	1208150M	2003-12-08 00:00:00	2003-09-22 00:00:00	ONT	Ontario International		Passenger Property Loss	Checked Baggage	310.0	Eyeglasses - (including contact lenses)	Settled	155.0	Settle
22799	1217120M	2003-12-17 00:00:00	2003-06-16 00:00:00	ONT	Ontario International	Delta Air Lines	Passenger Property Loss	Checked Baggage	600.0	Cameras - Digital	Denied	0.0	Deny
26028	0130199M	2004-01-30 00:00:00	2003-10-03 00:00:00	ONT	Ontario International		Passenger Property Loss	Checked Baggage	2500.0	Jewelry - Fine	Denied	2500.0	Deny
29502	2004050750697	2004-03-05 00:00:00	2004-01-18 00:00:00	ONT	Ontario International		Passenger Property Loss	Checkpoint		Currency	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
30989	2004051251418	2004-03-22 00:00:00	2004-02-05 00:00:00	ONT	Ontario International	UAL	Passenger Property Loss	Checkpoint	572.5	Other	Denied	0.0	Deny
30995	2004051251471	2004-03-22 00:00:00	2004-03-09 00:00:00	ONT	Ontario International	Jet Blue	Passenger Property Loss	Checked Baggage	250.0	Cell Phones	Denied	0.0	Deny
31506	2004050550557	2004-03-30 00:00:00	2004-01-25 00:00:00	ONT	Ontario International	Southwest Airlines	Passenger Property Loss	Checked Baggage	329.27	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	329.27	Approve in Full
33155	2004060254292	2004-04-21 00:00:00	2003-09-24 00:00:00	ONT	Ontario International		Passenger Property Loss	Checked Baggage	14075.0	Jewelry - Fine	Denied	0.0	Deny
33901	2004051050816	2004-05-03 00:00:00	2004-03-30 00:00:00	ONT	Ontario International	American Airlines	Passenger Property Loss	Checked Baggage	630.0	Other	Denied	630.0	Deny
34515	2004060754955	2004-05-04 00:00:00	2004-04-11 00:00:00	ONT	Ontario International	Delta Air Lines	Passenger Property Loss	Checked Baggage	600.0	Other	Settled	300.0	Settle
35039	2004061455534	2004-05-10 00:00:00	2004-03-01 00:00:00	ONT	Ontario International		Passenger Property Loss	Checkpoint	449.03	Eyeglasses - (including contact lenses)	Settled	426.58	Settle
35254	2004061555888	2004-05-13 00:00:00	2004-02-19 00:00:00	ONT	Ontario International		Passenger Property Loss	Checked Baggage	503.44	Cameras - Digital	Denied	0.0	Deny
36541	2004062256942	2004-05-28 00:00:00	2004-05-19 00:00:00	ONT	Ontario International	American Airlines	Passenger Property Loss	Checked Baggage	0.0	Other	Approved	179.95	Approve in Full
36645	2004062857609	2004-05-30 00:00:00	2004-05-14 00:00:00	ONT	Ontario International		Passenger Property Loss	Checked Baggage	8.65	Locks	Approved	8.65	Approve in Full
37328	2004062957732	2004-06-08 00:00:00	2004-06-01 00:00:00	ONT	Ontario International		Passenger Property Loss	Checked Baggage	500.0	Cameras - Digital	Approved	140.0	Approve in Full
39056	2004072359939	2004-06-29 00:00:00	2004-05-19 00:00:00	ONT	Ontario International		Passenger Property Loss	Checkpoint	400.0	Currency	Settled	200.0	Settle
39824	2004080960849	2004-07-09 00:00:00	2004-06-14 00:00:00	ONT	Ontario International		Passenger Theft	Checked Baggage	300.0	Eyeglasses - (including contact lenses)	Settled	241.46	Settle
