id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1819	0124001L	2003-01-24 00:00:00	2003-01-11 00:00:00	PBI	Palm Beach International	American Airlines	Passenger Property Loss	Checked Baggage	850.0	Electronics	Stereo Items & Accessories	Denied	850.0	Deny
2159	0203042L	2003-02-03 00:00:00	2002-10-06 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checkpoint	575.0	Other	Other	Denied	575.77	Deny
2340	0206034L	2003-02-06 00:00:00	2003-01-21 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	139.95	Electronics	Cell Phones	Settled	73.48	Settle
2533	0212047L	2003-02-12 00:00:00	2003-01-03 00:00:00	PBI	Palm Beach International	Northwest Airlines	Passenger Property Loss	Checked Baggage	2597.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	2597.0	Approve in Full
2614	0214010L	2003-02-14 00:00:00	2003-01-29 00:00:00	PBI	Palm Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	45.0	Other	Other	Approved	45.0	Approve in Full
2635	0220031L	2003-02-20 00:00:00	2003-01-07 00:00:00	PBI	Palm Beach International	Jet Blue	Passenger Property Loss	Checked Baggage	43.39	Other	Other	Approved	43.39	Approve in Full
2681	0221050L	2003-02-21 00:00:00	2003-02-01 00:00:00	PBI	Palm Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	40.0	Other	Other	Approved	40.0	Approve in Full
2741	0224055L	2003-02-24 00:00:00	2003-01-21 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checkpoint	25.0	Other	Other	Approved	25.0	Approve in Full
2750	0224073L	2003-02-24 00:00:00	2003-01-30 00:00:00	PBI	Palm Beach International	UAL	Passenger Property Loss	Checked Baggage	43.29	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	43.29	Approve in Full
3402	0311115L	2003-03-11 00:00:00	2003-02-24 00:00:00	PBI	Palm Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	179.99	Electronics	Cell Phones	Approved	179.99	Approve in Full
3428	0311006L	2003-03-11 00:00:00	2003-01-24 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	111.5	Watches & Jewelry	Jewelry - Fine	Canceled		
3688	0314027L	2003-03-14 00:00:00	2003-02-15 00:00:00	PBI	Palm Beach International	USAir	Passenger Property Loss	Checked Baggage	97.99	Electronics	DVD/CD Players	Settled	46.5	Settle
3707	0317018L	2003-03-17 00:00:00	2003-02-21 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	125.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	125.0	Approve in Full
4277	0326007L	2003-03-26 00:00:00	2003-03-15 00:00:00	PBI	Palm Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	72.76	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	36.38	Settle
4283	0326017L	2003-03-26 00:00:00	2003-03-09 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	420.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	29.0	Settle
4302	0328008L	2003-03-28 00:00:00	2003-02-27 00:00:00	PBI	Palm Beach International	USAir	Passenger Property Loss	Checked Baggage	99.43	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	100.0	Approve in Full
4508	0401097L	2003-04-01 00:00:00	2003-03-11 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	5875.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	1000.0	Settle
4767	0408040L	2003-04-08 00:00:00	2003-02-16 00:00:00	PBI	Palm Beach International	Continental Airlines	Passenger Property Loss	Checked Baggage	29.92	Other	Other	Denied		Deny
5036	0415042L	2003-04-15 00:00:00	2003-02-21 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	80.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	80.0	Approve in Full
5088	0415023L	2003-04-15 00:00:00	2003-03-30 00:00:00	PBI	Palm Beach International	USAir	Passenger Property Loss	Checked Baggage	72.47	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	36.25	Settle
5916	0430064L	2003-04-30 00:00:00	2003-03-26 00:00:00	PBI	Palm Beach International	Jet Blue	Passenger Property Loss	Checked Baggage	510.0	Watches & Jewelry	Jewelry - Fine	Settled	255.0	Settle
6112	39492	2003-05-06 00:00:00	2003-04-15 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checkpoint	70.0	Other	Other	Approved	70.0	Approve in Full
6192	0506096L	2003-05-06 00:00:00	2003-04-15 00:00:00	PBI	Palm Beach International	USAir	Passenger Property Loss	Checked Baggage	29.95	Other	Other	Settled	15.0	Settle
6367	0513018L	2003-05-13 00:00:00	2003-04-19 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	51.32	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	15.0	Settle
6417	0514104L	2003-05-14 00:00:00	2003-02-09 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	23.5	Other	Other	Approved	23.5	Approve in Full
6449	0514148L	2003-05-14 00:00:00	2003-04-16 00:00:00	PBI	Palm Beach International	Continental Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Currency	Canceled		
6653	0520078L	2003-05-20 00:00:00	2003-04-09 00:00:00	PBI	Palm Beach International		Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	30.0	Approve in Full
7345	0602009L	2003-06-02 00:00:00	2003-04-19 00:00:00	PBI	Palm Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	146.87	Tools & Machines	Locks	Denied	0.0	Deny
7407	0602079L	2003-06-02 00:00:00	2003-04-14 00:00:00	PBI	Palm Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other	Other	Settled	58.65	Settle
