id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
43155	2004091663052	2004-08-24 00:00:00	2004-08-09 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	91.95	Clothing - Shoes, belts, accessories, etc.	Denied		Deny
49072	2004122871372	2004-11-04 00:00:00	2004-09-13 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.0	Luggage (all types including footlockers)	Approved	30.0	Approve in Full
51938	2005010472428	2004-12-14 00:00:00	2004-11-06 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	40.0	Locks	Approved	40.0	Approve in Full
52467	2005010773177	2004-12-20 00:00:00	2004-08-11 00:00:00	PFN	Panama City-Bay County International		Passenger Property Loss	Checked Baggage	79.0	Clothing - Shoes, belts, accessories, etc.	Approved	79.0	Approve in Full
74823	2005110995920	2005-11-01 00:00:00	2005-10-25 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	445.0	Cameras - Digital	Denied	0.0	Deny
75731	2005120296873	2005-11-18 00:00:00	2005-08-19 00:00:00	PFN	Panama City-Bay County International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1543.59	Jewelry - Fine	Denied	0.0	Deny
78721	2006012099925	2006-01-12 00:00:00	2005-12-06 00:00:00	PFN	Panama City-Bay County International	Northwest Airlines	Passenger Property Loss	Checked Baggage	219.73	Jewelry - Fine	Denied	0.0	Deny
83406	2006041304456	2006-04-05 00:00:00	2006-03-28 00:00:00	PFN	Panama City-Bay County International		Passenger Property Loss	Checked Baggage	380.0	Cameras - Digital	Denied	0.0	Deny
85113	2006051606362	2006-05-10 00:00:00	2006-04-26 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	779.42	Batteries - Dry cell only*Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Other	Settled	299.86	Settle
87560	2006063008771	2006-06-29 00:00:00	2006-06-28 00:00:00	PFN	Panama City-Bay County International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1500.0	Jewelry - Fine	Denied	0.0	Deny
96315	2006122217775	2006-12-18 00:00:00	2006-11-30 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	14.95	Locks	Approved	14.95	Approve in Full
101843	2007032823089	2007-03-26 00:00:00	2007-03-20 00:00:00	PFN	Panama City-Bay County International	Northwest Airlines	Passenger Property Loss	Checked Baggage	277.47	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
102975	2007041824141	2007-04-17 00:00:00	2007-03-13 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	138.32	Toys (game systems, cartridges, radio controlled cars, etc.)	Denied	0.0	Deny
104208	2007051625491	2007-05-14 00:00:00	2007-04-28 00:00:00	PFN	Panama City-Bay County International		Passenger Property Loss	Checked Baggage	106.8	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
104303	2007051625497	2007-05-15 00:00:00	2007-04-22 00:00:00	PFN	Panama City-Bay County International	Northwest Airlines	Passenger Property Loss	Checked Baggage	198.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
106429	2007070327802	2007-06-26 00:00:00	2007-05-19 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	496.78	Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
124659	2008063046377	2008-06-25 00:00:00	2008-06-19 00:00:00	PFN	Panama City-Bay County International	USAir	Passenger Property Loss	Checked Baggage	80.0	Luggage (all types including footlockers)	Denied	0.0	Deny
129391	2008101751257	2008-10-14 00:00:00	2008-10-02 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	9.95	Locks	Denied	0.0	Deny
138746	2009070860965	2009-06-24 00:00:00	2009-06-16 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	264.87	Video Recordings - Laser Discs	Denied	0.0	Deny
139279	2009071661279	2009-07-09 00:00:00	2009-06-22 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1764.0	Jewelry - Fine*Tools - Manual (not in a vehicle)	Denied	0.0	Deny
139343	2009072461707	2009-07-10 00:00:00	2009-06-26 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	909.42	Bags - Fabric, plastic, etc. (not purses)*Binoculars*Cameras - Digital*Other	Denied	0.0	Deny
139944	2009073062031	2009-07-27 00:00:00	2009-07-05 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Jewelry - Fine	Canceled		
140865	2009042357938	2009-08-20 00:00:00	2009-02-01 00:00:00	PFN	Panama City-Bay County International	American Airlines	Passenger Property Loss	Checked Baggage	1000.0	Jewelry - Fine	Denied	0.0	Deny
163348	2011091486949	2011-08-23 00:00:00	2011-08-05 13:30:00	PFN	Panama City-Bay County International		Passenger Property Loss	Checkpoint		Jewelry & Watches		0.0	Deny
163715	2011100787634	2011-09-06 00:00:00	2011-08-22 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Sporting Equipment & Supplies (footballs, parachutes, etc.)			
167076	2012020690724	2012-01-04 00:00:00	2012-01-02 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Personal Accessories		0.0	Deny
176832	2013022001703	2012-12-24 00:00:00	2012-11-30 00:00:00	PFN	Panama City-Bay County International		Passenger Property Loss	Checked Baggage		Clothing*Cosmetics & Grooming*Personal Electronics		0.0	Deny
178975	2013032002654	2013-03-11 00:00:00	2012-11-21 00:00:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Travel Accessories		8.75	Approve in Full
210741	2016030329328	2016-02-11 00:00:00	2016-01-15 13:02:00	PFN	Panama City-Bay County International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics & Grooming		0.0	Deny
