id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
13568	0818007M	2003-08-18 00:00:00	2003-06-20 00:00:00	PHF	Newport News / Williamsburg International	AirTran Airlines	Passenger Property Loss	Checked Baggage	32.0	Clothing & Accessories	Approved	32.0	Approve in Full
31167	2004051452272	2004-03-24 00:00:00	2004-02-24 00:00:00	PHF	Newport News / Williamsburg International	USAir	Passenger Property Loss	Checked Baggage	178.02	Other	Approved	178.02	Approve in Full
41108	2004080260366	2004-07-27 00:00:00	2004-06-17 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checkpoint	129.0	Electronics	Denied	0.0	Deny
43564	2004092163237	2004-08-28 00:00:00	2004-07-31 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage	100.95	Other	Approved	100.95	Approve in Full
45096	2004103166018	2004-09-16 00:00:00	2004-08-20 00:00:00	PHF	Newport News / Williamsburg International	USAir	Passenger Property Loss	Checked Baggage	4073.0	Watches & Jewelry	Denied	0.0	Deny
46975	2004112767852	2004-10-08 00:00:00	2004-09-24 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage		Electronics	Canceled		
48368	2004121769219	2004-10-27 00:00:00	2004-10-12 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage	45.0	Watches & Jewelry	Approved	45.0	Approve in Full
52522	2005012173895	2004-12-20 00:00:00	2004-12-20 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage	400.0	Other	Denied	0.0	Deny
53745	2005012674328	2005-01-06 00:00:00	2004-12-22 00:00:00	PHF	Newport News / Williamsburg International	USAir	Passenger Property Loss	Checked Baggage	517.28	Watches & Jewelry	Settled	258.64	Settle
54784	2005020175149	2005-01-18 00:00:00	2005-01-05 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage	195.57	Electronics	Settled	97.78	Settle
56543	2005032980155	2005-02-04 00:00:00	2004-12-28 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage	225.79	Clothing & Accessories	Settled	112.9	Settle
58860	2005032479674	2005-03-08 00:00:00		PHF	Newport News / Williamsburg International		Passenger Property Loss			Supplies	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
60041	2005033080640	2005-03-23 00:00:00	2005-01-29 00:00:00	PHF	Newport News / Williamsburg International	Air Ukraine International	Passenger Property Loss	Checked Baggage	279.0	Electronics	Settled	179.39	Settle
61627	2005041582700	2005-04-12 00:00:00	2005-03-30 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	125.0	Other	Denied	0.0	Deny
62506	2005042683430	2005-04-25 00:00:00	2005-03-25 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	490.0	Clothing & Accessories	Settled	274.43	Settle
64812	2005060685845	2005-05-31 00:00:00	2005-05-14 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	7.45	Tools & Machines	Approved	7.45	Approve in Full
65220	2005061086237	2005-06-01 00:00:00	2005-05-06 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checkpoint	33.0	Other	Denied	0.0	Deny
65917	2005062387071	2005-06-10 00:00:00	2005-04-15 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage	40.0	Containers	Approved	40.0	Approve in Full
68483	2005072289529	2005-07-20 00:00:00	2005-07-15 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Denied	0.0	Deny
68615	2005072589576	2005-07-22 00:00:00	2005-07-01 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	468.0	Electronics	Denied	0.0	Deny
68863	2005072989887	2005-07-26 00:00:00	2005-07-07 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	600.0	Other	Denied	0.0	Deny
69034	2005080490044	2005-07-28 00:00:00	2005-06-30 00:00:00	PHF	Newport News / Williamsburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	12500.0	Watches & Jewelry	Denied	0.0	Deny
70311	2005082591492	2005-08-16 00:00:00	2005-08-08 00:00:00	PHF	Newport News / Williamsburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Settled	25.0	Settle
70473	2005082691557	2005-08-19 00:00:00	2005-08-15 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	2035.0	Watches & Jewelry	Denied	0.0	Deny
70544	2005082991774	2005-08-23 00:00:00	2005-08-02 00:00:00	PHF	Newport News / Williamsburg International	USAir	Passenger Property Loss	Checked Baggage	87.95	Clothing & Accessories	Approved	87.95	Approve in Full
71203	2005090992305	2005-08-31 00:00:00	2005-07-19 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
71292	2005091392382	2005-09-01 00:00:00	2005-08-11 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	30.0	Other	Denied	0.0	Deny
71703	2005091992776	2005-09-09 00:00:00	2005-08-20 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checkpoint	800.0	Watches & Jewelry	Denied	0.0	Deny
71768	2005091992855	2005-09-12 00:00:00	2005-07-16 00:00:00	PHF	Newport News / Williamsburg International	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	1259.0	Electronics	Denied	0.0	Deny
71867	2005092293116	2005-09-14 00:00:00	2005-09-01 00:00:00	PHF	Newport News / Williamsburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.7	Tools & Machines	Approved	10.7	Approve in Full
71954	2005092193071	2005-09-14 00:00:00	2005-09-06 00:00:00	PHF	Newport News / Williamsburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	6.33	Other	Denied	0.0	Deny
72134	2005092393204	2005-09-16 00:00:00	2005-09-04 00:00:00	PHF	Newport News / Williamsburg International	AirTran Airlines	Passenger Property Loss	Checked Baggage	24.86	Cosmetics	Denied	0.0	Deny
72306	2005093093534	2005-09-19 00:00:00	2005-06-13 00:00:00	PHF	Newport News / Williamsburg International		Passenger Property Loss	Checked Baggage	323.95	Electronics	Denied	0.0	Deny
72438	2005100393636	2005-09-20 00:00:00	2005-07-02 00:00:00	PHF	Newport News / Williamsburg International	American Airlines	Passenger Property Loss	Checked Baggage	282.46	Other	Denied	0.0	Deny
72515	2005093093564	2005-09-21 00:00:00	2005-07-26 00:00:00	PHF	Newport News / Williamsburg International	AirTran Airlines	Passenger Property Loss	Checked Baggage	685.0	Other	Denied	0.0	Deny
72702	2005100393751	2005-09-26 00:00:00	2005-07-16 00:00:00	PHF	Newport News / Williamsburg International	Delta Air Lines	Passenger Property Loss	Checked Baggage	6518.0	Watches & Jewelry	Denied	0.0	Deny
