id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
11133	0717067M	2003-07-17 00:00:00	2003-04-03 00:00:00	PSP	Palm Springs International	Alaska Airlines	Passenger Property Loss	Checked Baggage	12000.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
25726	0129062M	2004-01-29 00:00:00		PSP	Palm Springs International		Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
28596	0223018M	2004-02-23 00:00:00	2004-01-26 00:00:00	PSP	Palm Springs International	America West	Passenger Property Loss	Checked Baggage	66.5	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	33.25	Settle
28969	0226482M	2004-02-26 00:00:00	2004-01-16 00:00:00	PSP	Palm Springs International	Northwest Airlines	Passenger Property Loss	Checked Baggage	76.8	Other	Other	Denied	0.0	Deny
30317	2004051452280	2004-03-12 00:00:00	2004-01-03 00:00:00	PSP	Palm Springs International	Continental Airlines	Passenger Property Loss	Checked Baggage	325.39	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
30970	2004051251363	2004-03-22 00:00:00	2004-01-26 00:00:00	PSP	Palm Springs International	America West	Passenger Property Loss	Checked Baggage	68.0	Other	Other	Canceled	0.0	
31776	2004051452257	2004-04-01 00:00:00	2004-03-03 00:00:00	PSP	Palm Springs International	American Airlines	Passenger Property Loss	Checked Baggage	10.0	Other	Other	Approved	10.0	Approve in Full
32463	2004110866687	2004-04-15 00:00:00	2004-03-26 00:00:00	PSP	Palm Springs International		Passenger Property Loss	Checked Baggage	8.48	Other	Other	Approved	8.48	Approve in Full
33938	2004052453101	2004-05-03 00:00:00	2004-04-10 00:00:00	PSP	Palm Springs International	American Airlines	Passenger Property Loss	Checked Baggage	25.8	Tools & Machines	Locks	Denied	25.8	Deny
34114	2004052453205	2004-05-04 00:00:00	2004-02-29 00:00:00	PSP	Palm Springs International	America West	Passenger Property Loss	Checked Baggage	125.0	Watches & Jewelry	Jewelry - Fine	Approved	125.0	Approve in Full
34218	2004061455508	2004-05-04 00:00:00	2004-04-05 00:00:00	PSP	Palm Springs International		Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Locks	Approved	20.0	Approve in Full
34809	2004060754912	2004-05-10 00:00:00	2004-04-23 00:00:00	PSP	Palm Springs International		Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	60.0	Approve in Full
35117	2004061055316	2004-05-13 00:00:00	2004-05-01 00:00:00	PSP	Palm Springs International	Horizon Air	Passenger Property Loss	Checkpoint	15.03	Other	Other	Approved	15.03	Approve in Full
35801	2004062657438	2004-05-26 00:00:00	2004-05-06 00:00:00	PSP	Palm Springs International	American Airlines	Passenger Property Loss	Checked Baggage	72.0	Watches & Jewelry	Jewelry - Fine	Approved	72.0	Approve in Full
36137	2004061856350	2004-05-27 00:00:00	2004-04-22 00:00:00	PSP	Palm Springs International		Passenger Property Loss	Checked Baggage	1231.59	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled		
37393	2004070358242	2004-06-08 00:00:00	2004-04-29 00:00:00	PSP	Palm Springs International	American Airlines	Passenger Property Loss	Checked Baggage	30.3	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	30.3	Approve in Full
38218	2004070758683	2004-06-21 00:00:00	2004-05-11 00:00:00	PSP	Palm Springs International	Scandinavian Airlines Systems	Passenger Property Loss	Checked Baggage	20.25	Supplies	Medicines	Approved	20.25	Approve in Full
39087	2004071659572	2004-07-04 00:00:00	2004-05-22 00:00:00	PSP	Palm Springs International	Alaska Airlines	Passenger Property Loss	Checked Baggage	399.99	Electronics	Cameras - Digital	Approved	399.99	Approve in Full
40565	2004072660005	2004-07-20 00:00:00	2004-06-17 00:00:00	PSP	Palm Springs International	Jet Blue	Passenger Property Loss	Checkpoint	140.0	Other	Other	Denied	0.0	Deny
41230	2004083061611	2004-07-27 00:00:00	2004-07-19 00:00:00	PSP	Palm Springs International	American Airlines	Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	100.0	Settle
41309	2004083161719	2004-07-29 00:00:00	2004-07-02 00:00:00	PSP	Palm Springs International	Delta Air Lines	Passenger Property Loss	Checked Baggage	400.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
