id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
181	19744	2002-11-05 00:00:00	2002-10-18 00:00:00	PVD	TF Green Airport, Providence	Southwest Airlines	Passenger Property Loss	Checkpoint	280.0	Watches & Jewelry	Denied	280.0	Deny
610	0715523M	2002-12-13 00:00:00	2002-08-23 00:00:00	PVD	TF Green Airport, Providence	USAir	Passenger Property Loss	Checkpoint	250.0	Containers	Approved	250.0	Approve in Full
625	19416	2002-12-13 00:00:00	2002-09-26 00:00:00	PVD	TF Green Airport, Providence	USAir	Passenger Property Loss	Checkpoint	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
1726	0617608L	2003-01-22 00:00:00	2002-12-25 00:00:00	PVD	TF Green Airport, Providence	Continental Airlines	Passenger Property Loss	Checked Baggage	106.0	Watches & Jewelry	Denied	0.0	Deny
1982	0616709L	2003-01-29 00:00:00	2002-12-01 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checkpoint	70.0	Other	Approved	70.0	Approve in Full
2080	0130028L	2003-01-30 00:00:00	2003-01-10 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checked Baggage	400.0	Other	Settled	200.0	Settle
2224	0204016L	2003-02-04 00:00:00	2003-01-15 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checkpoint	200.0	Clothing & Accessories	Denied	0.0	Deny
3883	0318046L	2003-03-18 00:00:00	2003-02-01 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checkpoint	200.0	Clothing & Accessories	Settled	180.5	Settle
4030	0321036L	2003-03-21 00:00:00	2003-02-27 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checkpoint	230.0	Other	Settled	199.0	Settle
5081	0415004L	2003-04-15 00:00:00	2003-03-14 00:00:00	PVD	TF Green Airport, Providence	Northwest Airlines	Passenger Property Loss	Checked Baggage	68.0	Other	Settled	34.0	Settle
5328	0421024L	2003-04-21 00:00:00	2003-03-06 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checkpoint	13.85	Other	Approved	14.0	Approve in Full
5703	0909827M	2003-04-28 00:00:00	2003-03-22 00:00:00	PVD	TF Green Airport, Providence	Southwest Airlines	Passenger Property Loss	Checked Baggage	126.48	Other	Approved	126.0	Approve in Full
6834	0520101L	2003-05-20 00:00:00	2003-04-20 00:00:00	PVD	TF Green Airport, Providence	Continental Airlines	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Settled	15.0	Settle
7228	0529074L	2003-05-29 00:00:00	2003-05-13 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checked Baggage	315.85	Electronics	Denied	0.0	Deny
7395	0602039L	2003-06-02 00:00:00	2003-05-12 00:00:00	PVD	TF Green Airport, Providence	USAir	Passenger Property Loss	Checked Baggage	105.0	Other	Settled	53.0	Settle
7693	0603159L	2003-06-03 00:00:00	2003-02-25 00:00:00	PVD	TF Green Airport, Providence	Southwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Settled	75.0	Settle
10036	0703057M	2003-07-03 00:00:00	2003-04-10 00:00:00	PVD	TF Green Airport, Providence	Southwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Other	Settled	75.0	Settle
10544	0711001M	2003-07-11 00:00:00	2003-07-01 00:00:00	PVD	TF Green Airport, Providence	Southwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Approved	25.0	Approve in Full
12244	0731017M	2003-07-31 00:00:00	2003-07-20 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checkpoint	150.0	Watches & Jewelry	Settled	75.0	Settle
14055	0822003M	2003-08-22 00:00:00	2003-08-12 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checked Baggage	50.43	Clothing & Accessories	Approved	50.0	Approve in Full
14102	0822072M	2003-08-22 00:00:00	2003-06-08 00:00:00	PVD	TF Green Airport, Providence	Southwest Airlines	Passenger Property Loss	Checkpoint	799.99	Electronics	Denied	0.0	Deny
14664	0829062M	2003-08-29 00:00:00	2003-08-20 00:00:00	PVD	TF Green Airport, Providence	USAir	Passenger Property Loss	Checked Baggage	139.99	Other	Canceled	0.0	
14964	0903081M	2003-09-03 00:00:00	2003-08-23 00:00:00	PVD	TF Green Airport, Providence	American Airlines	Passenger Property Loss	Checked Baggage	600.0	Electronics	Settled	240.0	Settle
15999	0916085M	2003-09-16 00:00:00	2003-08-30 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checkpoint	51.36	Other	Approved	51.36	Approve in Full
17051	1002143M	2003-10-02 00:00:00	2003-09-02 00:00:00	PVD	TF Green Airport, Providence	American Airlines	Passenger Property Loss	Checkpoint	3300.0	Watches & Jewelry	Canceled	0.0	
17766	1009019M	2003-10-09 00:00:00		PVD	TF Green Airport, Providence		Passenger Property Loss	Checked Baggage	77.4	Clothing & Accessories	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
22254	1208147M	2003-12-08 00:00:00	2003-10-23 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checkpoint	107.24	Other	Denied	0.0	Deny
26588	0202426M	2004-02-02 00:00:00	2003-12-22 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checked Baggage	835.0	Clothing & Accessories	Settled	417.5	Settle
27079	0205102M	2004-02-05 00:00:00	2003-12-30 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Approved	60.0	Approve in Full
28254	2004050550520	2004-02-19 00:00:00	2004-02-26 00:00:00	PVD	TF Green Airport, Providence		Passenger Property Loss	Checked Baggage	1000.0	Watches & Jewelry	Denied	0.0	Deny
