id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
309	18982	2002-11-20 00:00:00	2002-09-25 00:00:00	PWM	Portland International Jetport	UAL	Passenger Property Loss	Checked Baggage	30.0	Other	Other	Approved	30.0	Approve in Full
3468	0311055L	2003-03-11 00:00:00	2003-02-16 00:00:00	PWM	Portland International Jetport	American Airlines	Passenger Property Loss	Checked Baggage	30.0	Tools & Machines	Locks	Denied	0.0	Deny
4972	0410033L	2003-04-10 00:00:00	2003-03-22 00:00:00	PWM	Portland International Jetport	American Airlines	Passenger Property Loss	Checked Baggage	399.99	Electronics	Stereo Items & Accessories	Settled	200.0	Settle
18355	1021227M	2003-10-21 00:00:00	2003-08-19 00:00:00	PWM	Portland International Jetport	Continental Airlines	Passenger Property Loss	Checked Baggage	35.9	Other	Other	Denied	0.0	Deny
18914	1022207M	2003-10-22 00:00:00	2003-09-28 00:00:00	PWM	Portland International Jetport	AirTran Airlines	Passenger Theft	Checked Baggage	189.19	Other	Other	Settled	79.75	Settle
18984	1022406M	2003-10-22 00:00:00	2003-09-28 00:00:00	PWM	Portland International Jetport	Delta Air Lines	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	125.0	Settle
21799	1205014M	2003-12-05 00:00:00	2003-09-09 00:00:00	PWM	Portland International Jetport	Northwest Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
23813	0105285M	2004-01-05 00:00:00	2003-10-26 00:00:00	PWM	Portland International Jetport	USAir	Passenger Property Loss	Other	250.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
25089	0114318M	2004-01-14 00:00:00	2003-12-28 00:00:00	PWM	Portland International Jetport	Northwest Airlines	Passenger Property Loss	Checked Baggage	70.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	35.0	Settle
26775	2004080960733	2004-02-03 00:00:00	2003-12-26 00:00:00	PWM	Portland International Jetport	Northwest Airlines	Passenger Property Loss	Checked Baggage	0.0	Other	Other	Canceled	0.0	
31117	2004051251462	2004-03-24 00:00:00	2004-02-28 00:00:00	PWM	Portland International Jetport	Northwest Airlines	Passenger Property Loss	Checked Baggage	221.96	Watches & Jewelry	Jewelry - Fine	Approved	221.96	Approve in Full
31419	2004051351931	2004-03-24 00:00:00	2003-12-23 00:00:00	PWM	Portland International Jetport	Northwest Airlines	Passenger Property Loss	Checked Baggage	203.25	Cosmetics,Containers	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Luggage (all types including footlockers)	Settled	101.63	Settle
