id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
11509	0723001M	2003-07-23 00:00:00	2003-07-13 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checkpoint	40.0	Other	Other	Approved	40.0	Approve in Full
27711	0212252M	2004-02-12 00:00:00	2004-02-03 00:00:00	RAP	Rapid City Regional		Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Jewelry - Fine	Approved	200.0	Approve in Full
35867	2004061055327	2004-05-27 00:00:00	2004-03-07 00:00:00	RAP	Rapid City Regional	UAL	Passenger Property Loss	Checked Baggage	40.0	Other	Other	Approved	40.0	Approve in Full
35957	2004062156456	2004-05-27 00:00:00	2004-05-15 00:00:00	RAP	Rapid City Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	159.73	Watches & Jewelry	Jewelry - Fine	Approved	159.73	Approve in Full
36671	2004062357077	2004-06-02 00:00:00	2004-03-04 00:00:00	RAP	Rapid City Regional		Passenger Property Loss	Checked Baggage	228.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	228.0	Approve in Full
37530	2004062957791	2004-06-08 00:00:00	2004-05-31 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	55.97	Other	Other	Settled	28.0	Settle
39682	2004080360476	2004-07-09 00:00:00	2004-06-23 00:00:00	RAP	Rapid City Regional	UAL	Passenger Property Loss	Checked Baggage	122.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
40775	2004082661348	2004-07-21 00:00:00	2004-07-15 00:00:00	RAP	Rapid City Regional	UAL	Passenger Property Loss	Checked Baggage	183.99	Other	Other	Settled	92.0	Settle
40777	2004082761439	2004-07-21 00:00:00	2004-06-05 00:00:00	RAP	Rapid City Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	80.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	40.0	Settle
41048	2004083061581	2004-07-27 00:00:00	2004-06-02 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	74.9	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	74.9	Approve in Full
42256	2004091062589	2004-08-10 00:00:00	2004-07-20 00:00:00	RAP	Rapid City Regional	UAL	Passenger Property Loss	Checked Baggage	972.28	Other	Other	Canceled		
45982	2004110866697	2004-09-28 00:00:00	2004-09-21 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	65.0	Other	Other	Canceled	0.0	
48335	2004121769190	2004-10-26 00:00:00	2004-09-27 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	500.0	Electronics	Cameras - Digital	Settled	129.76	Settle
53995	2005012774552	2005-01-10 00:00:00	2004-12-28 00:00:00	RAP	Rapid City Regional		Passenger Property Loss	Checked Baggage	140.0	Other	Other	Settled	70.0	Settle
55886	2005022376709	2005-01-28 00:00:00	2004-12-23 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	85.0	Supplies	Medicines	Denied	0.0	Deny
58752	2005062386965	2005-03-07 00:00:00	2005-02-15 00:00:00	RAP	Rapid City Regional	UAL	Passenger Property Loss	Checked Baggage	270.0	Watches & Jewelry	Jewelry - Fine	Settled	135.0	Settle
62030	2005042082856	2005-04-19 00:00:00	2005-03-23 00:00:00	RAP	Rapid City Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	49.03	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
65099	2005072789735	2005-05-31 00:00:00	2005-05-16 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	450.0	Electronics	Cameras - Digital	Settled	114.46	Settle
65932	2005062186845	2005-06-10 00:00:00	2005-05-13 00:00:00	RAP	Rapid City Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	204.85	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
65987	2005062286860	2005-06-13 00:00:00	2005-05-27 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	56.0	Other	Other	Approved	56.0	Approve in Full
67221	2005070688293	2005-06-30 00:00:00	2005-04-29 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	318.02	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	323.94	Approve in Full
68186	2005071889153	2005-07-15 00:00:00	2005-04-08 00:00:00	RAP	Rapid City Regional	Northwest Airlines	Passenger Property Loss	Checkpoint	665.9	Other	Other	Denied	0.0	Deny
68288	2005072089280	2005-07-18 00:00:00	2005-07-09 00:00:00	RAP	Rapid City Regional	UAL	Passenger Property Loss	Checked Baggage	550.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
