id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
6003	0505000L	2003-05-05 00:00:00	2002-12-16 00:00:00	RDD	Redding Municipal	UAL	Passenger Property Loss	Checked Baggage	3500.0	Electronics	Cameras - Digital	Denied	0.0	Deny
55492	2005021476095	2005-01-26 00:00:00	2004-12-05 00:00:00	RDD	Redding Municipal	UAL	Passenger Property Loss	Checked Baggage	124.0	Other	Other	Approved	124.0	Approve in Full
65285	2005061086272	2005-06-02 00:00:00	2005-04-21 00:00:00	RDD	Redding Municipal	UAL	Passenger Property Loss	Checked Baggage	140.87	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	140.87	Approve in Full
67549	2005071188624	2005-07-06 00:00:00	2005-06-05 00:00:00	RDD	Redding Municipal	UAL	Passenger Property Loss	Checked Baggage	399.99	Electronics	Cameras - Digital	Denied	0.0	Deny
67784	2005071288708	2005-07-11 00:00:00	2005-06-16 00:00:00	RDD	Redding Municipal	UAL	Passenger Property Loss	Checked Baggage	4686.0	Electronics	Computer - Laptop	Denied	0.0	Deny
70152	2005082491340	2005-08-16 00:00:00	2005-07-19 00:00:00	RDD	Redding Municipal	UAL	Passenger Property Loss	Checked Baggage	78.82	Other	Other	Approved	78.82	Approve in Full
70865	2005083191965	2005-08-25 00:00:00	2005-08-14 00:00:00	RDD	Redding Municipal	UAL	Passenger Property Loss	Checked Baggage	600.0	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
72188	2005092893338	2005-09-19 00:00:00	2005-08-24 00:00:00	RDD	Redding Municipal	Alaska Airlines	Passenger Property Loss	Checked Baggage	24.95	Supplies	Medicines	Approved	24.95	Approve in Full
72973	2005100594006	2005-09-29 00:00:00	2005-09-09 00:00:00	RDD	Redding Municipal	Alaska Airlines	Passenger Property Loss	Checked Baggage	91.03	Other	Other	Settled	50.51	Settle
77156	2005122398342	2005-12-15 00:00:00	2005-12-04 00:00:00	RDD	Redding Municipal	Continental Airlines	Passenger Property Loss	Checked Baggage	16.83	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	16.83	Approve in Full
78742	2006012099936	2006-01-12 00:00:00	2005-12-29 00:00:00	RDD	Redding Municipal	Alaska Airlines	Passenger Property Loss		29.95	Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
79551	2006020100711	2006-01-25 00:00:00	2006-01-19 00:00:00	RDD	Redding Municipal	UAL	Passenger Property Loss	Checked Baggage	1500.0	Electronics	Computer - Laptop	Denied	0.0	Deny
84108	2006042505205	2006-04-20 00:00:00	2006-04-03 00:00:00	RDD	Redding Municipal	Horizon Air	Passenger Property Loss	Checked Baggage	15.02	Tools & Machines	Locks	Approved	15.02	Approve in Full
85225	2006060807605	2006-05-15 00:00:00	2006-05-13 00:00:00	RDD	Redding Municipal	Horizon Air	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories,Cosmetics,Supplies	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Medicines	Canceled	0.0	
