id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
39836	2004081161121	2004-07-09 00:00:00	2004-07-12 00:00:00	RDM	Roberts Field	UAL	Passenger Theft	Checked Baggage	143.6	Other	Other	Settled	100.0	Settle
39913	2004080360473	2004-07-12 00:00:00	2004-06-21 00:00:00	RDM	Roberts Field	Northwest Airlines	Passenger Property Loss	Checkpoint	25.0	Other	Other	Denied	0.0	Deny
46425	2004111767299	2004-10-01 00:00:00	2004-08-20 00:00:00	RDM	Roberts Field		Passenger Property Loss	Checkpoint	50.0	Other	Other	Denied		Deny
47581	2004120368460	2004-10-18 00:00:00	2004-10-06 00:00:00	RDM	Roberts Field		Passenger Property Loss	Checkpoint	41.0	Other	Other	Approved	41.0	Approve in Full
49257	2004122370706	2004-11-04 00:00:00	2004-08-16 00:00:00	RDM	Roberts Field	Horizon Air	Passenger Property Loss	Checked Baggage	330.0	Watches & Jewelry	Jewelry - Fine	Settled	165.0	Settle
50889	2004122871128	2004-11-29 00:00:00	2004-10-10 00:00:00	RDM	Roberts Field	UAL	Passenger Property Loss	Checked Baggage	79.97	Other	Other	Denied	0.0	Deny
62139	2005042082957	2005-04-19 00:00:00		RDM	Roberts Field		Passenger Property Loss	Checked Baggage	63.0	Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
63942	2005051784908	2005-05-16 00:00:00	2005-04-17 00:00:00	RDM	Roberts Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	50.0	Approve in Full
65454	2005062086627	2005-06-03 00:00:00	2005-05-25 00:00:00	RDM	Roberts Field	UAL	Passenger Property Loss	Checked Baggage	80.0	Electronics	Cell Phones	Denied	0.0	Deny
68180	2005071889137	2005-07-15 00:00:00	2005-07-06 00:00:00	RDM	Roberts Field	UAL	Passenger Property Loss	Checked Baggage	217.95	Other	Other	Denied	0.0	Deny
69252	2005081190355	2005-08-02 00:00:00	2005-07-22 00:00:00	RDM	Roberts Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	45.0	Electronics	Cameras - Digital	Approved	45.0	Approve in Full
72724	2005100393765	2005-09-26 00:00:00	2005-09-06 00:00:00	RDM	Roberts Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	115.0	Other	Other	Settled	57.5	Settle
77908	2006010699025	2006-01-03 00:00:00	2005-12-23 00:00:00	RDM	Roberts Field		Passenger Property Loss	Checked Baggage	15.0	Other	Other	Denied	0.0	Deny
84354	2006042805440	2006-04-25 00:00:00	2006-03-10 00:00:00	RDM	Roberts Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	648.99	Other	Other	Denied	0.0	Deny
87941	2006071009236	2006-07-07 00:00:00	2006-05-29 00:00:00	RDM	Roberts Field	Northwest Airlines	Passenger Property Loss	Checked Baggage	170.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Canceled	0.0	
91560	2006091812781	2006-09-14 00:00:00	2006-09-03 00:00:00	RDM	Roberts Field	Horizon Air	Passenger Property Loss	Checked Baggage	7500.0	Watches & Jewelry	Watches - Expensive more than $100	Denied	0.0	Deny
93910	2006110815317	2006-10-30 00:00:00	2006-09-08 00:00:00	RDM	Roberts Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	81.56	Supplies	Medicines	Settled	8.16	Settle
97962	2007011919049	2007-01-11 00:00:00	2006-12-30 00:00:00	RDM	Roberts Field	Alaska Airlines	Passenger Property Loss	Checked Baggage	49.99	Other	Other	Denied	0.0	Deny
