id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1149	2004060154084	2003-01-07 00:00:00	2002-12-12 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checkpoint	653.0	Jewelry - Fine	Canceled	0.0	
2469	0211011L	2003-02-11 00:00:00	2003-01-27 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Checked Baggage	208.91	Other	Settled	155.61	Settle
4653	0430046L	2003-04-03 00:00:00	2003-01-31 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Checked Baggage	775.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
4937	0410041L	2003-04-10 00:00:00	2003-03-08 00:00:00	RDU	Raleigh-Durham International	Southwest Airlines	Passenger Property Loss	Checked Baggage	15.0	Locks	Approved	15.0	Approve in Full
5163	0416047L	2003-04-16 00:00:00	2003-03-27 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Checked Baggage	295.6	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
5302	0417029L	2003-04-17 00:00:00	2003-03-14 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Checked Baggage	170.3	Other	Settled	85.15	Settle
6515	0514147L	2003-05-14 00:00:00	2003-04-27 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	250.0	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
7341	0602046L	2003-06-02 00:00:00	2003-05-22 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Checkpoint	345.0	Jewelry - Fine	Canceled		
7421	0603002L	2003-06-03 00:00:00	2003-05-18 00:00:00	RDU	Raleigh-Durham International	USAir	Passenger Property Loss	Checked Baggage	297.83	Cameras - Digital	Approved	297.83	Approve in Full
7435	0603033L	2003-06-03 00:00:00	2003-03-01 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checkpoint		Luggage (all types including footlockers)	Approved	325.0	Approve in Full
7533	1024802M	2003-06-03 00:00:00	2003-04-20 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	57.92	Clothing - Shoes, belts, accessories, etc.	Approved	57.92	Approve in Full
7547	0603168L	2003-06-03 00:00:00	2003-05-23 00:00:00	RDU	Raleigh-Durham International	Southwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Clothing - Shoes, belts, accessories, etc.	Canceled		
7612	0603330L	2003-06-03 00:00:00	2002-12-02 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checkpoint	653.0	Jewelry - Fine	Denied	0.0	Deny
7759	0604031L	2003-06-04 00:00:00	2003-04-07 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Checked Baggage	37.16	Other	Approved	37.16	Approve in Full
7836	0605073L	2003-06-05 00:00:00	2003-05-03 00:00:00	RDU	Raleigh-Durham International	USAir	Passenger Property Loss	Checked Baggage	400.0	Luggage (all types including footlockers)	Canceled	0.0	
7981	0609155L	2003-06-09 00:00:00	2003-06-02 00:00:00	RDU	Raleigh-Durham International	American Airlines	Passenger Property Loss	Checkpoint	62.18	Jewelry - Fine	Approved	62.0	Approve in Full
8447	0612054L	2003-06-12 00:00:00	2003-05-19 00:00:00	RDU	Raleigh-Durham International	Southwest Airlines	Passenger Property Loss	Checked Baggage	110.5	Jewelry - Fine	Settled	55.0	Settle
8777	0617072L	2003-06-17 00:00:00	2003-05-02 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	250.0	Cameras - Digital	Settled	125.0	Settle
9726	0701012M	2003-07-01 00:00:00	2003-02-06 00:00:00	RDU	Raleigh-Durham International	America West	Passenger Property Loss	Checked Baggage	11000.0	Jewelry - Fine	Denied	0.0	Deny
9727	0701015M	2003-07-01 00:00:00	2003-06-01 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	6050.0	Jewelry - Fine	Denied	0.0	Deny
9893	0702026M	2003-07-02 00:00:00	2003-06-08 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	49.95	Other	Approved	49.95	Approve in Full
10857	0715023M	2003-07-15 00:00:00	2003-07-01 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Checkpoint	175.0	Other	Canceled		
11514	0723015M	2003-07-23 00:00:00	2003-05-30 00:00:00	RDU	Raleigh-Durham International	Northwest Airlines	Passenger Property Loss	Checked Baggage	85.0	Other	Approved	85.0	Approve in Full
11576	0723038M	2003-07-23 00:00:00	2003-07-16 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	53.0	Other	Canceled		
11800	0728025M	2003-07-28 00:00:00	2003-07-20 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	502.53	Cameras - Digital	Settled	350.0	Settle
11836	0729068M	2003-07-29 00:00:00	2003-07-08 00:00:00	RDU	Raleigh-Durham International	Northwest Airlines	Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
13948	0821077M	2003-08-21 00:00:00	2003-07-12 00:00:00	RDU	Raleigh-Durham International	Continental Airlines	Passenger Property Loss	Checkpoint	142.5	Jewelry - Fine	Denied	0.0	Deny
15495	0909110M	2003-09-09 00:00:00	2003-08-11 00:00:00	RDU	Raleigh-Durham International	USAir	Passenger Property Loss	Checked Baggage	2000.0	Jewelry - Fine	Denied	0.0	Deny
15610	0909142M	2003-09-09 00:00:00	2003-07-21 00:00:00	RDU	Raleigh-Durham International	American Airlines	Passenger Property Loss	Checked Baggage	85.19	Fish/Game	Settled	42.6	Settle
15613	0909146M	2003-09-09 00:00:00	2003-09-01 00:00:00	RDU	Raleigh-Durham International	American Airlines	Passenger Property Loss	Checked Baggage	550.0	Jewelry - Fine	Settled	262.5	Settle
15689	0910018M	2003-09-10 00:00:00	2003-08-03 00:00:00	RDU	Raleigh-Durham International	USAir	Passenger Property Loss	Checked Baggage	275.0	Jewelry - Fine	Canceled	0.0	
15693	0910082M	2003-09-10 00:00:00	2003-07-23 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checkpoint		Cameras - Digital	Canceled	0.0	
15864	0915071M	2003-09-15 00:00:00	2003-08-31 00:00:00	RDU	Raleigh-Durham International	Southwest Airlines	Passenger Property Loss	Checked Baggage	70.0	Other	Canceled		
16173	0922067M	2003-09-22 00:00:00	2003-07-02 00:00:00	RDU	Raleigh-Durham International	Northwest Airlines	Passenger Property Loss	Checked Baggage	109.62	Clothing - Shoes, belts, accessories, etc.	Settled	55.0	Settle
16531	0925111M	2003-09-25 00:00:00	2003-09-06 00:00:00	RDU	Raleigh-Durham International	America West	Passenger Property Loss	Checked Baggage		Other	Denied	0.0	Deny
17654	1009505M	2003-10-09 00:00:00	2003-09-01 00:00:00	RDU	Raleigh-Durham International	American Airlines	Passenger Property Loss	Checked Baggage	525.0	Jewelry - Fine	Approved	525.0	Approve in Full
18073	1016058M	2003-10-16 00:00:00	2003-09-22 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	50.0	Other	Settled	25.0	Settle
18707	1022126M	2003-10-22 00:00:00	2003-09-09 00:00:00	RDU	Raleigh-Durham International	Continental Airlines	Passenger Property Loss	Checked Baggage	3395.0	Jewelry - Fine	Denied	0.0	Deny
20859	1119094M	2003-11-19 00:00:00	2003-11-09 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	90.0	Other	Settled	45.0	Settle
22177	1208517M	2003-12-08 00:00:00	2003-10-13 00:00:00	RDU	Raleigh-Durham International	USAir	Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
23115	1217416M	2003-12-17 00:00:00	2003-11-15 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Other	20.0	Clothing - Shoes, belts, accessories, etc.	Settled	10.0	Settle
24092	0107003M	2004-01-07 00:00:00	2003-08-23 00:00:00	RDU	Raleigh-Durham International	American Airlines	Passenger Property Loss	Checked Baggage	69.1	Other	Approved	69.1	Approve in Full
24248	0107004M	2004-01-07 00:00:00	2003-07-24 00:00:00	RDU	Raleigh-Durham International	Delta Air Lines	Passenger Property Loss	Checked Baggage	31.98	Other	Canceled	0.0	
25109	0114371M	2004-01-14 00:00:00	2003-12-31 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	250.0	Jewelry - Fine	Settled	125.0	Settle
25118	0114388M	2004-01-14 00:00:00	2003-12-28 00:00:00	RDU	Raleigh-Durham International	American Airlines	Passenger Property Loss	Checked Baggage	32.53	Other	Settled	16.25	Settle
25749	0129079M	2004-01-29 00:00:00	2003-10-13 00:00:00	RDU	Raleigh-Durham International		Passenger Property Loss	Checked Baggage	145.0	Other	Denied	0.0	Deny
25855	0129183M	2004-01-29 00:00:00	2003-11-24 00:00:00	RDU	Raleigh-Durham International	American Airlines	Passenger Property Loss	Checked Baggage	200.0	Jewelry - Fine	Settled	100.0	Settle
