id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
58155	2005031878808	2005-03-02 00:00:00	2005-02-13 00:00:00	RFD	Greater Rockford	Tran Meridian Airlines	Passenger Property Loss	Checked Baggage	95.0	Other	Canceled	0.0	
66598	2005063087908	2005-06-21 00:00:00	2005-02-14 00:00:00	RFD	Greater Rockford	Tran Meridian Airlines	Passenger Property Loss	Checkpoint	81.32	Watches & Jewelry	Approved	81.32	Approve in Full
72275	2005092893373	2005-09-19 00:00:00	2005-09-04 00:00:00	RFD	Greater Rockford	Tran Meridian Airlines	Passenger Property Loss	Checked Baggage	250.57	Other	Denied	0.0	Deny
81010	2006030202352	2006-02-21 00:00:00	2006-02-04 00:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
94689	2006112215989	2006-11-15 00:00:00	2006-09-11 00:00:00	RFD	Greater Rockford		Passenger Property Loss	Checked Baggage	785.0	Watches & Jewelry	Denied	0.0	Deny
96547	2006122617917	2006-12-21 00:00:00	2006-11-10 00:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage	400.0	Other	Denied	0.0	Deny
100232	2007022321460	2007-02-21 00:00:00	2007-02-05 00:00:00	RFD	Greater Rockford	UAL	Passenger Property Loss	Checked Baggage	178.5	Cosmetics	Denied	0.0	Deny
105596	2007061426883	2007-06-11 00:00:00	2007-05-31 00:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage	20.0	Household Decor	Approved	20.0	Approve in Full
106339	2007062927647	2007-06-25 00:00:00	2007-05-06 00:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage	374.97	Electronics	Denied	0.0	Deny
110413	2007091231757	2007-09-10 00:00:00	2007-01-04 00:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage	3269.0	Watches & Jewelry	Denied	0.0	Deny
112057	2007101733502	2007-10-12 00:00:00	2007-10-05 00:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage	17.9	Tools & Machines	Approved	17.9	Approve in Full
112381	2007102333787	2007-10-18 00:00:00	2007-09-26 00:00:00	RFD	Greater Rockford		Passenger Property Loss	Checkpoint	160.0	Other	Denied	0.0	Deny
118259	2008022139903	2008-02-12 00:00:00	2008-01-30 00:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage	149.75	Clothing & Accessories	Settled	74.87	Settle
121855	2008042943508	2008-04-24 00:00:00	2008-04-12 00:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage	171.98	Games & Toys	Denied	0.0	Deny
135824	2009042758029	2009-04-02 00:00:00	2009-03-19 00:00:00	RFD	Greater Rockford		Passenger Property Loss	Checked Baggage	50.0	Other	Canceled	0.0	
140761	2009050558347	2009-08-17 00:00:00	2009-03-14 00:00:00	RFD	Greater Rockford		Passenger Property Loss	Checked Baggage	23.54	Clothing & Accessories	Settled	11.78	Settle
176121	2013011099815	2012-11-21 00:00:00	2012-11-20 08:00:00	RFD	Greater Rockford		Passenger Property Loss	Checked Baggage		Clothing & Accessories		75.0	Approve in Full
182140	2013081806020	2013-07-05 00:00:00	2013-06-03 13:00:00	RFD	Greater Rockford	Allegiant Air	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
211259	2016052431686	2016-05-13 00:00:00	2016-04-28 17:50:00	RFD	Greater Rockford Greater Rockford	Allegiant Air	Passenger Property Loss	Checkpoint		Electronics		0.0	Deny
