id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
10095	0707109M	2003-07-07 00:00:00	2003-06-20 00:00:00	ROC	Greater Rochester International		Passenger Property Loss	Checkpoint	150.0	Electronics	Canceled		
32185	2004051952890	2004-04-06 00:00:00	2004-02-20 00:00:00	ROC	Greater Rochester International	Jet Blue	Passenger Property Loss	Checked Baggage	100.0	Electronics	Canceled		
32482	2004052653579	2004-04-15 00:00:00	2004-03-16 00:00:00	ROC	Greater Rochester International		Passenger Property Loss	Checked Baggage	49.95	Other	Closed as a contractor claim	0.0	
33022	2004052653593	2004-04-21 00:00:00	2004-03-20 00:00:00	ROC	Greater Rochester International	Jet Blue	Passenger Property Loss	Checked Baggage	1282.58	Electronics	Closed as a contractor claim	0.0	
36142	2004062156549	2004-05-27 00:00:00	2004-04-03 00:00:00	ROC	Greater Rochester International	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Canceled		
36571	2004062256763	2004-05-28 00:00:00	2004-05-10 00:00:00	ROC	Greater Rochester International	AirTran Airlines	Passenger Property Loss	Checked Baggage	2645.0	Watches & Jewelry	Canceled		
36582	2004062357054	2004-05-28 00:00:00	2004-04-28 00:00:00	ROC	Greater Rochester International	Jet Blue	Passenger Property Loss	Checked Baggage	541.92	Electronics	Closed as a contractor claim	0.0	
37966	2004070658550	2004-06-16 00:00:00	2004-05-01 00:00:00	ROC	Greater Rochester International	American Airlines	Passenger Property Loss	Checked Baggage	159.71	Other	Canceled		
37974	2004070658442	2004-06-16 00:00:00	2004-05-23 00:00:00	ROC	Greater Rochester International		Passenger Property Loss	Checked Baggage	10.85	Tools & Machines	Closed as a contractor claim	0.0	
38758	2004071659645	2004-06-28 00:00:00	2004-06-12 00:00:00	ROC	Greater Rochester International	Northwest Airlines	Passenger Property Loss	Checkpoint	2000.0	Watches & Jewelry	Closed as a contractor claim	0.0	
39154	2004071559465	2004-07-06 00:00:00	2004-06-24 00:00:00	ROC	Greater Rochester International	Delta Air Lines	Passenger Property Loss	Checked Baggage	362.99	Supplies	Canceled		
39155	2004071559468	2004-07-06 00:00:00	2004-06-04 00:00:00	ROC	Greater Rochester International	USAir	Passenger Property Loss	Checked Baggage	210.0	Watches & Jewelry	Canceled		
39159	2004071659611	2004-07-06 00:00:00	2004-06-17 00:00:00	ROC	Greater Rochester International		Passenger Property Loss	Checkpoint	293.45	Other	Canceled	0.0	
39170	2004071959719	2004-07-06 00:00:00	2004-06-04 00:00:00	ROC	Greater Rochester International		Passenger Property Loss	Checkpoint	100.0	Other	Closed as a contractor claim	0.0	
39623	2004080360484	2004-07-09 00:00:00	2004-04-03 00:00:00	ROC	Greater Rochester International	UAL	Passenger Property Loss	Checked Baggage	159.99	Electronics	Canceled		
39637	2004080360455	2004-07-09 00:00:00	2004-06-04 00:00:00	ROC	Greater Rochester International	Kuwait Airlines	Passenger Property Loss	Checked Baggage	125.0	Other	Closed as a contractor claim	0.0	
39638	2004080360483	2004-07-09 00:00:00	2004-05-27 00:00:00	ROC	Greater Rochester International	USAir	Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Closed as a contractor claim	0.0	
39978	2004080360499	2004-07-13 00:00:00	2004-05-07 00:00:00	ROC	Greater Rochester International	Jet Blue	Passenger Property Loss	Checked Baggage	324.73	Electronics	Approved	324.73	Approve in Full
42434	2004091562903	2004-08-10 00:00:00	2004-05-09 00:00:00	ROC	Greater Rochester International	UAL	Passenger Theft	Checked Baggage	999.99	Electronics	Settled	367.29	Settle
