id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
29840	2005031077532	2004-03-10 00:00:00	2004-10-06 00:00:00	RST	Rochester, MN		Passenger Property Loss	Checked Baggage	260.0	Cameras - Digital	Denied	0.0	Deny
31780	2004051752465	2004-04-01 00:00:00	2004-03-14 00:00:00	RST	Rochester, MN		Passenger Property Loss	Checked Baggage	28.0	Clothing - Shoes, belts, accessories, etc.	Approved	28.0	Approve in Full
32534	2004052753639	2004-04-15 00:00:00	2004-03-27 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	16.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
35422	2004061856322	2004-05-17 00:00:00	2004-05-15 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	12.0	Other	Approved	12.0	Approve in Full
39679	2004080360445	2004-07-09 00:00:00	2004-05-20 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	426.85	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
47357	2004112967982	2004-10-14 00:00:00	2004-09-01 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	335.89	Clothing - Shoes, belts, accessories, etc.	Settled	264.53	Settle
49579	2004122069580	2004-11-09 00:00:00	2004-10-30 00:00:00	RST	Rochester, MN		Passenger Property Loss	Checked Baggage	5.0	Locks	Denied	5.0	Deny
50056	2004122270450	2004-11-16 00:00:00	2004-09-23 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	207.0	Other	Approved	207.0	Approve in Full
51974	2005010472627	2004-12-14 00:00:00	2004-11-10 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	19.0	Other	Approved	19.0	Approve in Full
61225	2005040882063	2005-04-07 00:00:00	2005-03-01 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	33.56	Other	Denied	0.0	Deny
69163	2005081090334	2005-08-01 00:00:00	2005-06-25 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	24.99	Clothing - Shoes, belts, accessories, etc.	Approved	24.99	Approve in Full
70902	2005090192022	2005-08-26 00:00:00	2005-08-17 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	29.95	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
72059	2005092693231	2005-09-15 00:00:00	2005-08-03 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	20.0	Locks	Approved	20.0	Approve in Full
73200	2005100694227	2005-10-04 00:00:00	2005-09-24 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	127.0	Other	Denied	0.0	Deny
76629	2005122898483	2005-12-06 00:00:00	2005-10-01 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	315.0	Locks	Canceled	0.0	
80087	2006020801170	2006-02-03 00:00:00	2006-01-14 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	900.0	Jewelry - Fine	Denied	0.0	Deny
80711	2006022201956	2006-02-14 00:00:00	2006-01-18 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	125.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
86325	2006060707574	2006-06-06 00:00:00	2006-05-01 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	33.0	Books - Other (Hardcover non-fiction)	Approved	33.0	Approve in Full
86709	2006061407939	2006-06-13 00:00:00	2006-05-06 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	334.89	Cameras - Digital	Denied	0.0	Deny
89338	2006080810591	2006-08-02 00:00:00	2006-07-02 00:00:00	RST	Rochester, MN	British Airways	Passenger Property Loss	Checked Baggage	1999.99	Computer - Laptop	Settled	999.99	Settle
90736	2006090712070	2006-08-29 00:00:00	2006-08-27 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	700.0	Eyeglasses - (including contact lenses)*Other	Denied	0.0	Deny
97588	2007011118665	2007-01-08 00:00:00	2007-01-02 00:00:00	RST	Rochester, MN		Passenger Property Loss	Checked Baggage	580.0	Cell Phones*Dental Equipment and Instruments*Other	Denied	0.0	Deny
97709	2007011718878	2007-01-09 00:00:00	2006-12-18 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	40.0	Baby - Strollers, car seats, playpen, etc.	Approved	40.0	Approve in Full
97775	2007011718889	2007-01-09 00:00:00	2006-11-28 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	342.68	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
101017	2007031322193	2007-03-09 00:00:00	2007-01-16 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	44.95	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
101163	2007031422238	2007-03-12 00:00:00	2007-01-16 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	37.98	Other*Toys - Other (including games, toys, play dolls etc.)	Settled	27.98	Settle
102271	2007040923653	2007-04-02 00:00:00	2007-03-08 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	40.0	Cell Phones	Denied	0.0	Deny
112997	2007110234394	2007-10-31 00:00:00	2007-10-27 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	135.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
113811	2007112035294	2007-11-16 00:00:00	2007-10-19 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	7.64	Locks	Canceled	0.0	
114711	2007120636173	2007-12-04 00:00:00	2007-12-01 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	975.0	Jewelry - Fine	Denied	0.0	Deny
118847	2008031741169	2008-02-25 00:00:00	2007-11-25 00:00:00	RST	Rochester, MN	Allegiant Air	Passenger Property Loss	Checked Baggage	46.44	Handbags & Purses (leather or fabric)	Denied	0.0	Deny
120561	2008052044580	2008-03-31 00:00:00	2008-01-12 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	50.0	Jewelry - Costume	Denied	0.0	Deny
125185	2008071146842	2008-07-08 00:00:00	2008-07-06 00:00:00	RST	Rochester, MN	Allegiant Air	Passenger Property Loss	Checked Baggage	840.0	Jewelry - Fine	Denied	0.0	Deny
127108	2008082048852	2008-08-18 00:00:00	2008-08-14 00:00:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Handbags & Purses (leather or fabric)*Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
130877	2008112152680	2008-11-20 00:00:00	2008-08-27 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	21.38	Locks	Denied	0.0	Deny
137092	2009071761381	2009-05-08 00:00:00	2008-04-10 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	7.48	Locks	Approved	7.48	Approve in Full
138064	2009060859924	2009-06-06 00:00:00	2009-05-17 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	53.85	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
138110	2009061860326	2009-06-08 00:00:00	2009-05-26 00:00:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage	26.0	Luggage (all types including footlockers)	Denied	0.0	Deny
140273	2009081062446	2009-08-03 00:00:00	2009-07-16 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
142183	2009100164236	2009-09-28 00:00:00	2009-08-03 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage	267.0	Lighters - (cigar, cigerette, etc.)	Denied	0.0	Deny
145582	2010021868505	2010-02-01 00:00:00	2010-01-11 00:00:00	RST	Rochester, MN		Passenger Property Loss	Checked Baggage		Cosmetics & Grooming			
146522	2010031769667	2010-03-09 00:00:00	2010-02-12 13:30:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Travel Accessories		9.66	Approve in Full
147022	2010032970170	2010-03-24 00:00:00	2010-01-22 17:30:00	RST	Rochester, MN	Northwest Airlines	Passenger Property Loss	Checked Baggage		Travel Accessories		0.0	Deny
147037	2010032970133	2010-03-25 00:00:00	2010-03-24 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage		Clothing		0.0	Deny
149613	2010062172873	2010-06-14 00:00:00	2010-05-31 09:51:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Jewelry & Watches			
149702	2010062372978	2010-06-16 00:00:00	2010-04-15 16:00:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Travel Accessories		0.0	Deny
151016	2010080574442	2010-07-26 00:00:00	2010-05-28 12:00:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
151300	2010082575333	2010-08-02 00:00:00	2010-07-22 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage		Clothing*Other		55.0	Settle
152520	2010091275908	2010-09-07 00:00:00	2010-08-28 13:29:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Personal Accessories		0.0	Deny
156464	2011020779957	2011-01-12 00:00:00	2010-12-26 06:30:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing		0.0	Deny
156866	2011022380455	2011-01-24 00:00:00	2010-12-19 00:00:00	RST	Rochester, MN	American Airlines	Passenger Property Loss	Checked Baggage		Clothing		104.98	Approve in Full
159604	2011050283111	2011-04-25 00:00:00	2011-04-08 00:00:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Hunting & Fishing Items		50.0	Approve in Full
168339	2012032291979	2012-02-13 00:00:00	2011-04-04 00:00:00	RST	Rochester, MN	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing*Cosmetics & Grooming		0.0	Deny
