id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
414	19989	2002-11-26 00:00:00	2002-10-24 00:00:00	SAN	San Diego International	American Airlines	Passenger Property Loss	Checkpoint	450.0	Electronics	Settled	315.0	Settle
932	21859	2002-12-27 00:00:00	2002-12-03 00:00:00	SAN	San Diego International	American Airlines	Passenger Property Loss	Checkpoint	50.0	Other	Approved	50.0	Approve in Full
1306	0703522M	2003-01-13 00:00:00	2002-12-21 00:00:00	SAN	San Diego International	Southwest Airlines	Passenger Property Loss	Checkpoint	199.98	Clothing & Accessories	Denied	0.0	Deny
1961	0128042L	2003-01-28 00:00:00	2002-12-30 00:00:00	SAN	San Diego International	American Airlines	Passenger Property Loss	Checkpoint	995.0	Watches & Jewelry	Settled	746.25	Settle
2013	0129046L	2003-01-29 00:00:00	2002-12-29 00:00:00	SAN	San Diego International		Passenger Property Loss	Checked Baggage	287.33	Electronics	Denied	287.33	Deny
2287	0205038L	2003-02-05 00:00:00	2003-01-10 00:00:00	SAN	San Diego International	Northwest Airlines	Passenger Property Loss	Checked Baggage	592.0	Clothing & Accessories	Denied	0.0	Deny
2298	0205028L	2003-02-05 00:00:00	2003-01-01 00:00:00	SAN	San Diego International	UAL	Passenger Property Loss	Checked Baggage	10.0	Containers	Settled	5.0	Settle
2359	0210028L	2003-02-10 00:00:00	2003-01-01 00:00:00	SAN	San Diego International		Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Approved	20.0	Approve in Full
2360	0210029L	2003-02-10 00:00:00	2003-01-09 00:00:00	SAN	San Diego International		Passenger Property Loss	Checkpoint	80.0	Watches & Jewelry	Approved	80.0	Approve in Full
2528	0212017L	2003-02-12 00:00:00	2003-01-27 00:00:00	SAN	San Diego International	UAL	Passenger Property Loss	Checked Baggage	39.99	Clothing & Accessories	Approved	39.99	Approve in Full
2529	0212026L	2003-02-12 00:00:00	2002-12-19 00:00:00	SAN	San Diego International	UAL	Passenger Property Loss	Checkpoint	147.92	Electronics	Approved	148.0	Approve in Full
2697	0221012L	2003-02-21 00:00:00	2003-01-22 00:00:00	SAN	San Diego International	Delta Air Lines	Passenger Property Loss	Checked Baggage	95.0	Other	Denied		Deny
2748	0224071L	2003-02-24 00:00:00	2003-02-02 00:00:00	SAN	San Diego International	UAL	Passenger Property Loss	Checked Baggage	225.0	Cosmetics	Approved	225.0	Approve in Full
2931	0225013L	2003-02-25 00:00:00	2003-01-29 00:00:00	SAN	San Diego International		Passenger Property Loss	Checked Baggage	40.0	Other	Settled	20.0	Settle
3168	0304080L	2003-03-04 00:00:00	2003-02-14 00:00:00	SAN	San Diego International	Southwest Airlines	Passenger Property Loss	Checked Baggage	175.0	Other	Approved	175.0	Approve in Full
3322	0306017L	2003-03-06 00:00:00	2003-02-21 00:00:00	SAN	San Diego International	UAL	Passenger Property Loss	Checked Baggage	700.0	Containers	Denied	0.0	Deny
3363	0310012L	2003-03-10 00:00:00	2003-08-02 00:00:00	SAN	San Diego International	American Airlines	Passenger Property Loss	Checked Baggage	150.0	Other	Canceled		
3531	0311059L	2003-03-11 00:00:00	2003-02-15 00:00:00	SAN	San Diego International	UAL	Passenger Property Loss	Checked Baggage	549.0	Electronics	Settled	274.5	Settle
3675	0314055L	2003-03-14 00:00:00	2003-01-12 00:00:00	SAN	San Diego International	American Airlines	Passenger Property Loss	Checked Baggage	724.81	Clothing & Accessories	Denied	0.0	Deny
4038	2004051552330	2003-03-24 00:00:00	2004-03-19 00:00:00	SAN	San Diego International	Delta Air Lines	Passenger Property Loss	Checked Baggage	120.0	Clothing & Accessories	Approved	120.0	Approve in Full
4061	0325020L	2003-03-25 00:00:00		SAN	San Diego International		Passenger Property Loss	Checkpoint	20.0	Other	Approved	20.0	Approve in Full
4126	0325051L	2003-03-25 00:00:00	2003-02-12 00:00:00	SAN	San Diego International	Northwest Airlines	Passenger Property Loss	Checked Baggage	55.89	Tools & Machines	Denied	0.0	Deny
4336	0905814M	2003-03-28 00:00:00	2003-02-18 00:00:00	SAN	San Diego International	Southwest Airlines	Passenger Property Loss	Checkpoint	63.53	Electronics	Denied	0.0	Deny
4491	0401030L	2003-04-01 00:00:00	2003-03-12 00:00:00	SAN	San Diego International	UAL	Passenger Property Loss	Checked Baggage	32.31	Other	Settled	16.16	Settle
4672	0909818M	2003-04-04 00:00:00	2002-06-22 00:00:00	SAN	San Diego International	Alaska Airlines	Passenger Property Loss	Other		Clothing & Accessories	Closed as a contractor claim		
5025	0415003L	2003-04-15 00:00:00	2003-03-13 00:00:00	SAN	San Diego International	American Airlines	Passenger Property Loss	Checked Baggage	22.5	Other	Approved	22.5	Approve in Full
5571	0422144L	2003-04-22 00:00:00	2003-04-08 00:00:00	SAN	San Diego International	UAL	Passenger Property Loss	Checked Baggage	157.0	Other	Settled	128.0	Settle
5672	0428011L	2003-04-28 00:00:00	2003-03-31 00:00:00	SAN	San Diego International	American Airlines	Passenger Property Loss	Checked Baggage	145.0	Clothing & Accessories	Approved	145.0	Approve in Full
