id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
3273	0305057L	2003-03-05 00:00:00	2003-02-10 00:00:00	SAV	Savannah International	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Other	Denied	0.0	Deny
4956	0410040L	2003-04-10 00:00:00	2003-04-03 00:00:00	SAV	Savannah International	Delta Air Lines	Passenger Property Loss	Checked Baggage	2540.0	Computer - Laptop	Denied	0.0	Deny
15005	0904045M	2003-09-04 00:00:00	2003-08-11 00:00:00	SAV	Savannah International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1500.0	Jewelry - Fine	Approved	1500.0	Approve in Full
20109	1117115M	2003-11-17 00:00:00	2003-10-25 00:00:00	SAV	Savannah International	USAir	Passenger Property Loss	Checkpoint	203.19	Cameras - Digital	Approved	203.19	Approve in Full
24588	0114028M	2004-01-14 00:00:00	2003-12-27 00:00:00	SAV	Savannah International	Continental Airlines	Passenger Property Loss	Checked Baggage	199.99	Other	Approved	199.0	Approve in Full
24879	0114305M	2004-01-14 00:00:00	2003-10-12 00:00:00	SAV	Savannah International	AirTran Airlines	Passenger Property Loss	Checked Baggage	3386.37	Jewelry - Fine	Denied	0.0	Deny
25534	0120066M	2004-01-20 00:00:00	2003-11-22 00:00:00	SAV	Savannah International	USAir	Passenger Property Loss	Checked Baggage	1827.33	Other	Denied	0.0	Deny
29884	2004051050776	2004-03-10 00:00:00	2004-02-06 00:00:00	SAV	Savannah International	Delta Air Lines	Passenger Property Loss	Checkpoint	476.0	Other	Settled	200.0	Settle
30461	2004043050366	2004-03-15 00:00:00	2004-02-22 00:00:00	SAV	Savannah International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1864.77	Other	Denied	0.0	Deny
31211	2004053053883	2004-03-24 00:00:00	2003-12-27 00:00:00	SAV	Savannah International	Continental Airlines	Passenger Property Loss	Checked Baggage	199.99	Other	Approved	199.99	Approve in Full
31454	2004053053874	2004-03-24 00:00:00	2004-03-07 00:00:00	SAV	Savannah International	Continental Express Inc	Passenger Property Loss	Checked Baggage	75.5	Clothing - Shoes, belts, accessories, etc.	Settled	35.0	Settle
