id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
9765	0701178M	2003-07-01 00:00:00	2003-04-03 00:00:00	SBA	Santa Barbara Municipal	American Airlines	Passenger Property Loss	Checkpoint	500.0	Other	Denied	0.0	Deny
11834	0729065M	2003-07-29 00:00:00	2003-07-03 00:00:00	SBA	Santa Barbara Municipal	American Airlines	Passenger Property Loss	Checked Baggage	110.0	Cosmetics	Approved	110.0	Approve in Full
16370	0925156M	2003-09-25 00:00:00	2003-08-24 00:00:00	SBA	Santa Barbara Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage	200.0	Cosmetics	Approved	200.0	Approve in Full
17464	1006108M	2003-10-06 00:00:00	2003-09-04 00:00:00	SBA	Santa Barbara Municipal		Passenger Property Loss	Checked Baggage	250.0	Electronics	Settled	125.0	Settle
35119	2004061055328	2004-05-13 00:00:00	2004-04-25 00:00:00	SBA	Santa Barbara Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage	75.0	Other	Approved	75.0	Approve in Full
35368	2004061756132	2004-05-13 00:00:00	2004-05-01 00:00:00	SBA	Santa Barbara Municipal		Passenger Property Loss	Checked Baggage	25.0	Other	Settled	12.5	Settle
35707	2004060955252	2004-05-19 00:00:00	2004-05-05 00:00:00	SBA	Santa Barbara Municipal		Passenger Property Loss	Checked Baggage	242.0	Clothing & Accessories	Settled	121.0	Settle
36004	2004062156602	2004-05-27 00:00:00	2004-04-14 00:00:00	SBA	Santa Barbara Municipal	American Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Approved	100.0	Approve in Full
37593	2004063057921	2004-06-09 00:00:00	2004-05-05 00:00:00	SBA	Santa Barbara Municipal	UAL	Passenger Property Loss	Checked Baggage	242.0	Clothing & Accessories	Canceled		
41550	2004091663047	2004-08-03 00:00:00	2004-06-18 00:00:00	SBA	Santa Barbara Municipal	Continental Airlines	Passenger Property Loss	Checked Baggage	45.0	Other	Denied	0.0	Deny
41615	2004091562932	2004-08-03 00:00:00	2004-07-25 00:00:00	SBA	Santa Barbara Municipal		Passenger Property Loss	Checkpoint	379.98	Electronics	Settled	185.24	Settle
44213	2004100664744	2004-09-09 00:00:00	2004-07-31 00:00:00	SBA	Santa Barbara Municipal	American Airlines	Passenger Property Loss	Checkpoint	45.0	Clothing & Accessories	Denied		Deny
46116	2004110166028	2004-09-29 00:00:00	2004-07-17 00:00:00	SBA	Santa Barbara Municipal		Passenger Property Loss	Checked Baggage	45.0	Clothing & Accessories	Approved	45.0	Approve in Full
47566	2004120368400	2004-10-18 00:00:00	2004-10-01 00:00:00	SBA	Santa Barbara Municipal	America West	Passenger Property Loss	Checked Baggage	440.0	Clothing & Accessories	Approved	440.0	Approve in Full
47622	2004120268308	2004-10-18 00:00:00	2004-09-22 00:00:00	SBA	Santa Barbara Municipal		Passenger Property Loss	Checkpoint	250.0	Watches & Jewelry	Denied	0.0	Deny
58667	2005061486354	2005-03-07 00:00:00	2005-02-10 00:00:00	SBA	Santa Barbara Municipal		Passenger Property Loss	Checked Baggage	3000.0	Electronics	Denied	0.0	Deny
62788	2005050283865	2005-04-28 00:00:00	2005-03-20 00:00:00	SBA	Santa Barbara Municipal	UAL	Passenger Property Loss	Checked Baggage	800.0	Electronics	Denied	0.0	Deny
63231	2005050584204	2005-05-04 00:00:00	2005-03-17 00:00:00	SBA	Santa Barbara Municipal		Passenger Property Loss	Checked Baggage	5000.0	Other	Denied	0.0	Deny
64807	2005060685818	2005-05-31 00:00:00	2005-05-16 00:00:00	SBA	Santa Barbara Municipal	Lufthansa	Passenger Property Loss	Checked Baggage	155.0	Other	Approved	155.0	Approve in Full
65521	2005061486384	2005-06-06 00:00:00	2005-05-28 00:00:00	SBA	Santa Barbara Municipal	American Airlines	Passenger Property Loss	Checked Baggage	300.0	Electronics	Denied	0.0	Deny
67420	2005070588256	2005-07-05 00:00:00	2004-10-19 00:00:00	SBA	Santa Barbara Municipal	UAL	Passenger Property Loss	Checkpoint	193.32	Other	Settled	174.65	Settle
