id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
5777	0428079L	2003-04-28 00:00:00	2003-04-07 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	2000.0	Other	Settled	50.0	Settle
17532	1008030M	2003-10-08 00:00:00	2003-07-30 00:00:00	SBP	San Luis Obispo		Passenger Property Loss	Checked Baggage	1000.0	Other	Denied	0.0	Deny
30732	2004051752452	2004-03-18 00:00:00	2004-01-11 00:00:00	SBP	San Luis Obispo		Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Denied	0.0	Deny
37567	2004070158193	2004-06-08 00:00:00	2004-05-24 00:00:00	SBP	San Luis Obispo		Passenger Property Loss	Checkpoint	225.0	Clothing & Accessories	Settled	175.0	Settle
40675	2004080960904	2004-07-20 00:00:00	2004-03-21 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	614.64	Electronics	Settled	239.27	Settle
42376	2004111867314	2004-08-10 00:00:00	2004-07-12 00:00:00	SBP	San Luis Obispo		Passenger Property Loss	Checked Baggage	1745.0	Electronics	Denied	0.0	Deny
42897	2004120168176	2004-08-19 00:00:00	2004-07-17 00:00:00	SBP	San Luis Obispo		Passenger Property Loss	Checked Baggage	223.93	Other	Denied	0.0	Deny
46540	2004110866735	2004-10-05 00:00:00	2004-09-20 00:00:00	SBP	San Luis Obispo	American Airlines	Passenger Property Loss	Checked Baggage	334.49	Watches & Jewelry	Approved	334.49	Approve in Full
50904	2004122871294	2004-11-29 00:00:00	2004-08-20 00:00:00	SBP	San Luis Obispo	American Airlines	Passenger Property Loss	Checkpoint	400.0	Other	Denied	0.0	Deny
50947	2004122971772	2004-11-29 00:00:00	2004-10-25 00:00:00	SBP	San Luis Obispo	America West	Passenger Property Loss	Checked Baggage	1004.31	Clothing & Accessories	Settled	327.89	Settle
51519	2004122270599	2004-12-07 00:00:00	2004-11-25 00:00:00	SBP	San Luis Obispo	American Airlines	Passenger Property Loss	Checked Baggage	107.25	Clothing & Accessories	Settled	100.0	Settle
54624	2005013174939	2005-01-14 00:00:00	2004-12-26 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	659.02	Electronics	Settled	370.42	Settle
54983	2005020475653	2005-01-19 00:00:00	2004-12-10 00:00:00	SBP	San Luis Obispo		Passenger Property Loss	Checked Baggage	812.0	Electronics	Denied	0.0	Deny
60306	2005040181121	2005-03-29 00:00:00	2005-03-05 00:00:00	SBP	San Luis Obispo	American Airlines	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Denied	0.0	Deny
77568	2006010498709	2005-12-23 00:00:00	2005-12-16 00:00:00	SBP	San Luis Obispo		Passenger Property Loss	Checked Baggage	150.0	Cosmetics	Denied	0.0	Deny
78578	2006011299517	2006-01-10 00:00:00	2006-01-02 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Settled	30.0	Settle
86849	2006061608124	2006-06-15 00:00:00	2006-06-04 00:00:00	SBP	San Luis Obispo	American Airlines	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Approved	20.0	Approve in Full
87775	2006070609008	2006-07-05 00:00:00	2006-06-17 00:00:00	SBP	San Luis Obispo	American Eagle	Passenger Property Loss	Checked Baggage	4800.0	Watches & Jewelry	Denied	0.0	Deny
89006	2006080310482	2006-07-26 00:00:00	2006-07-08 00:00:00	SBP	San Luis Obispo	American West	Passenger Property Loss	Checked Baggage	130.0	Clothing & Accessories	Settled	65.0	Settle
90914	2006090812257	2006-09-01 00:00:00	2006-07-29 00:00:00	SBP	San Luis Obispo		Passenger Property Loss	Checked Baggage	97.72	Watches & Jewelry	Denied	0.0	Deny
94738	2006112216009	2006-11-16 00:00:00	2006-10-23 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	490.0	Watches & Jewelry,Other	Denied	0.0	Deny
95525	2006120716834	2006-12-01 00:00:00	2006-11-19 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	299.99	Electronics	Denied	0.0	Deny
96841	2006122918162	2006-12-27 00:00:00	2006-12-05 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	48.0	Electronics,Clothing & Accessories	Settled	24.0	Settle
97890	2007011818992	2007-01-10 00:00:00	2006-12-28 00:00:00	SBP	San Luis Obispo	American Airlines	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Denied	0.0	Deny
98514	2007012919738	2007-01-22 00:00:00	2007-01-05 00:00:00	SBP	San Luis Obispo	American Airlines	Passenger Property Loss	Checked Baggage	450.0	Electronics	Denied	0.0	Deny
100212	2007022321404	2007-02-21 00:00:00	2007-01-29 00:00:00	SBP	San Luis Obispo	Alaska Airlines	Passenger Property Loss	Checked Baggage	300.0	Electronics,Electronics,Electronics	Denied	0.0	Deny
103050	2007042324356	2007-04-18 00:00:00	2007-03-27 00:00:00	SBP	San Luis Obispo	American Eagle	Passenger Property Loss	Checked Baggage	259.51	Electronics,Electronics	Denied	0.0	Deny
103114	2007042424394	2007-04-19 00:00:00	2007-04-13 00:00:00	SBP	San Luis Obispo	US Express	Passenger Property Loss	Checked Baggage	360.0	Clothing & Accessories	Denied	0.0	Deny
104818	2007060726479	2007-05-25 00:00:00	2007-05-06 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	82.48	Clothing & Accessories,Other	Denied	0.0	Deny
105893	2007061927176	2007-06-15 00:00:00	2007-05-24 00:00:00	SBP	San Luis Obispo	USAir	Passenger Property Loss	Checked Baggage	6.43	Tools & Machines	Denied	0.0	Deny
111722	2007100933121	2007-10-04 00:00:00	2007-09-09 00:00:00	SBP	San Luis Obispo	UAL	Passenger Property Loss	Checked Baggage	1374.0	Clothing & Accessories	Denied	0.0	Deny
113295	2007110834744	2007-11-06 00:00:00	2007-10-09 00:00:00	SBP	San Luis Obispo	USAir	Passenger Property Loss	Checkpoint	125.0	Cosmetics,Watches & Jewelry	Approved	125.0	Approve in Full
116047	2008011037674	2008-01-03 00:00:00	2007-12-13 00:00:00	SBP	San Luis Obispo	American Eagle	Passenger Property Loss	Checked Baggage	78.0	Clothing & Accessories	Denied	0.0	Deny
