id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
3236	0305044L	2003-03-05 00:00:00	2003-01-19 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	853.86	Jewelry - Fine	Approved	853.86	Approve in Full
11189	0718003M	2003-07-18 00:00:00	2003-06-14 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	44.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	44.0	Approve in Full
12291	0731155M	2003-07-31 00:00:00	2003-06-28 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	360.0	Clothing - Shoes, belts, accessories, etc.	Settled	250.0	Settle
12928	0811040M	2003-08-11 00:00:00	2003-07-25 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checkpoint	298.29	Cell Phones	Settled	111.96	Settle
16745	0925263M	2003-09-25 00:00:00	2003-08-29 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checkpoint	135.74	Other	Settled	122.17	Settle
23539	2005010773170	2004-01-04 00:00:00	2004-09-10 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	18500.0	Jewelry - Fine	Denied	0.0	Deny
25222	0115072M	2004-01-15 00:00:00	2003-11-13 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	26.72	Other	Approved	26.72	Approve in Full
26793	0203055M	2004-02-03 00:00:00	2003-12-27 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checkpoint	742.0	Jewelry - Fine	Denied	742.0	Deny
31899	2004051452242	2004-04-01 00:00:00	2004-03-12 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	47.02	Medicines	Denied	0.0	Deny
34465	2004060254225	2004-05-04 00:00:00	2004-03-03 00:00:00	SFB	Orlando Sanford	Southeast Airlines	Passenger Property Loss	Checked Baggage	270.05	Jewelry - Fine	Settled	270.0	Settle
41070	2004083161710	2004-07-27 00:00:00	2004-03-06 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	16.0	Other	Approved	16.0	Approve in Full
41517	2004090262038	2004-08-03 00:00:00	2004-06-29 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	59.52	Other	Denied	0.0	Deny
42948	2004100564438	2004-08-19 00:00:00	2004-08-07 00:00:00	SFB	Orlando Sanford	Southeast Airlines	Passenger Property Loss	Checked Baggage	400.0	Other	Settled	200.0	Settle
42979	2004092964158	2004-08-23 00:00:00	2004-08-09 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	33.17	Clothing - Shoes, belts, accessories, etc.	Approved	33.17	Approve in Full
43054	2004093064278	2004-08-24 00:00:00	2004-06-22 00:00:00	SFB	Orlando Sanford	Virgin Atlantic	Passenger Property Loss	Checked Baggage	47.0	Luggage (all types including footlockers)	Approved	47.0	Approve in Full
43270	2004093064308	2004-08-24 00:00:00	2004-07-29 00:00:00	SFB	Orlando Sanford	Delta Air Lines	Passenger Property Loss	Checked Baggage	4347.0	Computer - Laptop	Settled	761.41	Settle
43292	2004100564486	2004-08-24 00:00:00	2004-08-09 00:00:00	SFB	Orlando Sanford	Southwest Airlines	Passenger Property Loss	Checked Baggage	2061.0	Other	Settled	780.5	Settle
43710	2004092363785	2004-08-31 00:00:00	2004-08-06 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	288.0	Other	Denied	0.0	Deny
44465	2004102565644	2004-09-10 00:00:00	2004-07-05 00:00:00	SFB	Orlando Sanford	AirTran Airlines	Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
44577	2004102565643	2004-09-10 00:00:00	2004-07-10 00:00:00	SFB	Orlando Sanford	Alaska Airlines	Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
45977	2004110466308	2004-09-28 00:00:00	2004-08-02 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	679.89	Other	Canceled		
46818	2004111967395	2004-10-05 00:00:00	2004-08-03 00:00:00	SFB	Orlando Sanford	Southwest Airlines	Passenger Property Loss	Checked Baggage	75.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	37.5	Settle
47514	2004101865089	2004-10-17 00:00:00	2004-09-10 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	40.0	Locks	Approved	40.0	Approve in Full
47518	2004110166093	2004-10-18 00:00:00	2004-09-16 00:00:00	SFB	Orlando Sanford	Southeast Airlines	Passenger Property Loss	Checked Baggage	132.0	Cameras - Digital	Approved	132.0	Approve in Full
47723	2004120168084	2004-10-19 00:00:00	2004-10-09 00:00:00	SFB	Orlando Sanford	Continental Airlines	Passenger Property Loss	Checked Baggage	552.05	Cameras - Digital	Settled	202.76	Settle
48721	2004122069563	2004-10-29 00:00:00	2004-09-23 00:00:00	SFB	Orlando Sanford	Jet Blue	Passenger Property Loss	Checked Baggage	667.83	Cameras - Digital	Denied	0.0	Deny
48790	2004122971611	2004-10-29 00:00:00	2004-09-10 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	210.0	Other	Settled	105.0	Settle
51712	2005010472547	2004-12-10 00:00:00	2004-10-20 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checkpoint	15.95	Other	Denied	0.0	Deny
51782	2005010372177	2004-12-13 00:00:00	2004-11-14 00:00:00	SFB	Orlando Sanford	Delta (Song)	Passenger Property Loss	Checked Baggage	75.0	Other	Approved	75.0	Approve in Full
52113	2005010472592	2004-12-14 00:00:00	2004-12-05 00:00:00	SFB	Orlando Sanford	AirTran Airlines	Passenger Property Loss	Checkpoint	200.0	Other	Denied	0.0	Deny
52193	2005010472703	2004-12-14 00:00:00	2004-04-22 00:00:00	SFB	Orlando Sanford	Northwest Airlines	Passenger Property Loss	Checkpoint	1147.91	Stereo Items & Accessories	Settled	179.72	Settle
52398	2005010672964	2004-12-18 00:00:00	2004-10-11 00:00:00	SFB	Orlando Sanford	Delta Air Lines	Passenger Property Loss	Checked Baggage	1100.0	Stereo Items & Accessories	Denied	0.0	Deny
52492	2005010673043	2004-12-20 00:00:00	2004-11-21 00:00:00	SFB	Orlando Sanford	Tran Meridian Airlines	Passenger Property Loss	Checkpoint	508.67	Jewelry - Fine	Denied	0.0	Deny
52633	2005010773222	2004-12-21 00:00:00	2004-12-09 00:00:00	SFB	Orlando Sanford		Passenger Property Loss	Checked Baggage	11.0	Other	Canceled	0.0	
52862	2005011273605	2004-12-22 00:00:00	2004-11-18 00:00:00	SFB	Orlando Sanford	Delta Air Lines	Passenger Property Loss	Checkpoint	150.0	Cameras - Digital	Settled	110.18	Settle
54611	2005012874857	2005-01-14 00:00:00	2004-12-31 00:00:00	SFB	Orlando Sanford	Alaska Airlines	Passenger Property Loss	Checked Baggage	359.0	Jewelry - Fine	Settled	179.5	Settle
55288	2005021776432	2005-01-24 00:00:00	2004-11-04 00:00:00	SFB	Orlando Sanford	Southeast Airlines	Passenger Property Loss	Checked Baggage	7.99	Locks	Approved	7.99	Approve in Full
