id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2886	0714544M	2003-02-25 00:00:00	2003-01-28 00:00:00	SFO	San Francisco International	Continental Airlines	Passenger Property Loss	Checked Baggage	2175.0	Stereo Items & Accessories	Closed as a contractor claim	0.0	
3441	0311111L	2003-03-11 00:00:00	2003-01-28 00:00:00	SFO	San Francisco International		Passenger Property Loss	Checked Baggage	60.0	Other	Canceled		
6231	0507030L	2003-05-07 00:00:00	2003-03-24 00:00:00	SFO	San Francisco International	UAL	Passenger Property Loss	Checked Baggage	70.0	Luggage (all types including footlockers)	Closed as a contractor claim		
9024	0620032M	2003-06-20 00:00:00	2003-06-04 00:00:00	SFO	San Francisco International		Passenger Property Loss	Checkpoint	600.0	Currency	Closed as a contractor claim		
9717	0701069M	2003-07-01 00:00:00	2003-05-06 00:00:00	SFO	San Francisco International	Alaska Airlines	Passenger Property Loss	Checked Baggage	440.0	Cameras - Digital	Canceled	0.0	
13458	2004061655947	2003-08-15 00:00:00	2003-06-01 00:00:00	SFO	San Francisco International	UAL	Passenger Property Loss	Checked Baggage	445.35	Clothing - Shoes, belts, accessories, etc.	Closed as a contractor claim	0.0	
14333	2004051151160	2003-08-26 00:00:00	2003-06-16 00:00:00	SFO	San Francisco International	American Airlines	Passenger Property Loss	Checkpoint		Eyeglasses - (including contact lenses)	Canceled	0.0	
16475	0925112M	2003-09-25 00:00:00	2003-08-27 00:00:00	SFO	San Francisco International	UAL	Passenger Property Loss	Checked Baggage	790.0	Jewelry - Fine	Canceled	0.0	
18288	2004051050803	2003-10-21 00:00:00	2003-09-06 00:00:00	SFO	San Francisco International		Passenger Property Loss	Checked Baggage	200.0	Clothing - Shoes, belts, accessories, etc.	Closed as a contractor claim	0.0	
18669	1022029M	2003-10-22 00:00:00	2003-08-30 00:00:00	SFO	San Francisco International		Passenger Property Loss	Checked Baggage	1200.0	Clothing - Shoes, belts, accessories, etc.	Closed as a contractor claim	0.0	
