id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
11956	0729212M	2003-07-29 00:00:00	2003-07-06 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checkpoint	889.96	Stereo Items & Accessories	Denied	0.0	Deny
12982	0812029M	2003-08-12 00:00:00	2003-07-13 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checked Baggage	2500.0	Stereo Items & Accessories	Denied	0.0	Deny
40037	2004080560696	2004-07-13 00:00:00	2004-06-29 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	512.99	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	512.99	Approve in Full
45048	2004092363625	2004-09-16 00:00:00	2004-08-12 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	172.0	Currency	Denied	0.0	Deny
46966	2004112767882	2004-10-08 00:00:00	2004-09-03 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checked Baggage	11.45	Other	Approved	11.45	Approve in Full
48227	2004121369007	2004-10-26 00:00:00	2004-07-25 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checkpoint	529.0	Other	Approved	529.0	Approve in Full
52192	2005010472684	2004-12-14 00:00:00	2004-12-09 00:00:00	SGF	Springfield-Branson National Airport	USAir	Passenger Property Loss	Checked Baggage	2119.0	Other	Settled	1399.66	Settle
53328	2005012674354	2005-01-03 00:00:00	2004-10-20 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checked Baggage	13.0	Other	Approved	13.0	Approve in Full
53557	2005012874826	2005-01-04 00:00:00	2005-01-02 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	425.67	Other	Denied	0.0	Deny
59154	2005032579893	2005-03-11 00:00:00	2004-07-19 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	400.0	Cameras - Digital	Settled	169.32	Settle
59390	2005033080441	2005-03-16 00:00:00	2005-02-25 00:00:00	SGF	Springfield-Branson National Airport	American Eagle	Passenger Property Loss	Checked Baggage	39.95	Other	Canceled		
60793	2005040681752	2005-04-05 00:00:00	2005-01-19 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	127.18	Other	Approved	127.18	Approve in Full
65544	2005061586451	2005-06-06 00:00:00	2005-05-27 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checkpoint	150.0	Jewelry - Fine	Denied	0.0	Deny
67035	2005070588160	2005-06-28 00:00:00	2005-06-09 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	12.88	Locks	Approved	12.88	Approve in Full
67264	2005071388804	2005-06-30 00:00:00	2005-05-17 00:00:00	SGF	Springfield-Branson National Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	147.34	Jewelry - Fine	Denied	0.0	Deny
68169	2005072089288	2005-07-15 00:00:00	2005-06-13 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	500.0	Currency	Canceled	0.0	
68862	2005072989885	2005-07-26 00:00:00	2005-06-04 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	37.59	DVD/CD Players	Denied	0.0	Deny
69027	2005080390023	2005-07-28 00:00:00	2005-06-09 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	1500.0	Other	Denied	0.0	Deny
69199	2005080990280	2005-08-01 00:00:00	2005-07-19 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	12.99	Locks	Denied	0.0	Deny
69485	2005081590546	2005-08-04 00:00:00	2005-05-31 00:00:00	SGF	Springfield-Branson National Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	90.59	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
69673	2005081790753	2005-08-08 00:00:00	2005-07-23 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	45.0	Luggage (all types including footlockers)	Approved	45.0	Approve in Full
73322	2005101394507	2005-10-05 00:00:00	2005-09-07 00:00:00	SGF	Springfield-Branson National Airport	US Express	Passenger Property Loss	Checked Baggage	10.0	Locks	Approved	10.0	Approve in Full
73848	2005101994864	2005-10-17 00:00:00	2005-10-05 00:00:00	SGF	Springfield-Branson National Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Other	Denied	0.0	Deny
74954	2005111496091	2005-11-03 00:00:00	2005-10-14 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	530.0	Currency	Denied	0.0	Deny
75458	2005112896632	2005-11-15 00:00:00	2005-10-23 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	51.0	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
76121	2005120797234	2005-11-28 00:00:00	2005-11-02 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	211.98	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
76902	2005121998014	2005-12-12 00:00:00	2005-08-01 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checked Baggage	8.64	Other	Approved	8.64	Approve in Full
77460	2006010398643	2005-12-22 00:00:00	2005-12-02 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checked Baggage	6.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	6.0	Approve in Full
79753	2006020300891	2006-01-30 00:00:00	2005-11-20 00:00:00	SGF	Springfield-Branson National Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	35.0	Clothing - Shoes, belts, accessories, etc.	Approved	35.0	Approve in Full
81002	2006030302472	2006-02-21 00:00:00	2006-02-15 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	69.81	Other	Denied	0.0	Deny
82857	2006040604101	2006-03-27 00:00:00	2006-03-13 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checked Baggage	45.0	Other	Approved	45.0	Approve in Full
83578	2006041904736	2006-04-10 00:00:00	2006-03-30 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	25.0	Currency	Denied	0.0	Deny
84955	2006051105995	2006-05-09 00:00:00	2006-04-15 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	20.0	Locks	Approved	20.0	Approve in Full
85666	2006052406912	2006-05-23 00:00:00	2006-05-11 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	15.0	Locks	Approved	15.0	Approve in Full
86777	2006061508072	2006-06-14 00:00:00	2006-05-29 00:00:00	SGF	Springfield-Branson National Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	58.0	Clothing - Shoes, belts, accessories, etc.	Approved	58.0	Approve in Full
87849	2006070609063	2006-07-06 00:00:00	2006-06-29 00:00:00	SGF	Springfield-Branson National Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	40.0	Lighters - (cigar, cigerette, etc.)	Denied	0.0	Deny
88612	2006072109875	2006-07-19 00:00:00	2006-06-20 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	126.0	Clothing - Shoes, belts, accessories, etc.*Locks	Approved	126.0	Approve in Full
91187	2006091812632	2006-09-07 00:00:00	2006-07-02 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	529.0	Eyeglasses - (including contact lenses)	Approved	529.0	Approve in Full
91376	2006091812719	2006-09-11 00:00:00	2006-08-27 00:00:00	SGF	Springfield-Branson National Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	1941.01	Cameras - Digital*Jewelry - Fine*Jewelry - Fine*Jewelry - Fine*Medicines	Denied	0.0	Deny
93041	2006102414483	2006-10-16 00:00:00	2006-09-30 00:00:00	SGF	Springfield-Branson National Airport		Passenger Property Loss	Checked Baggage	6.0	Locks	Approved	6.0	Approve in Full
93763	2006110215071	2006-10-27 00:00:00	2006-10-11 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	624.17	Bags - Fabric, plastic, etc. (not purses)*Barber Supplies - Scissors, shears, elecric razors, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Medicines	Denied	0.0	Deny
93909	2006110715279	2006-10-30 00:00:00	2006-09-22 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	472.17	Cameras - Digital*Medicines*Razors (other than electric)	Settled	243.13	Settle
95661	2006121417119	2006-12-05 00:00:00	2006-11-27 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	48.0	Clothing - Shoes, belts, accessories, etc.	Approved	48.0	Approve in Full
95763	2006121417148	2006-12-05 00:00:00	2006-11-24 00:00:00	SGF	Springfield-Branson National Airport	US Express	Passenger Property Loss	Checked Baggage	125.0	Clothing - Shoes, belts, accessories, etc.	Settled	100.0	Settle
96641	2006122617928	2006-12-22 00:00:00	2006-12-11 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Settled	20.0	Settle
98739	2007013019766	2007-01-24 00:00:00	2007-01-05 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	300.0	MP3 Players-(iPods, etc)	Denied	0.0	Deny
99102	2007020520146	2007-01-30 00:00:00	2006-12-20 00:00:00	SGF	Springfield-Branson National Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	201.0	Eyeglasses - (including contact lenses)	Settled	140.0	Settle
99873	2007021520989	2007-02-13 00:00:00	2007-12-20 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	968.46	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Other	Denied	0.0	Deny
103381	2007042724619	2007-04-25 00:00:00	2007-04-16 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	64.11	Locks	Denied	0.0	Deny
103718	2007050725012	2007-05-02 00:00:00	2007-04-26 00:00:00	SGF	Springfield-Branson National Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	360.0	Bicycles	Denied	0.0	Deny
104309	2007051725544	2007-05-15 00:00:00	2007-04-29 00:00:00	SGF	Springfield-Branson National Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	800.0	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)	Denied	0.0	Deny
104489	2007052225829	2007-05-18 00:00:00	2007-04-18 00:00:00	SGF	Springfield-Branson National Airport	Allegiant Air	Passenger Property Loss	Checked Baggage	65.0	Clothing - Shoes, belts, accessories, etc.	Approved	65.0	Approve in Full
105140	2007060626361	2007-06-01 00:00:00	2006-12-12 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	140.06	Clothing - Shoes, belts, accessories, etc.*Locks	Denied	0.0	Deny
106028	2007062127330	2007-06-19 00:00:00	2007-05-15 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	266.17	Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
106723	2007070927948	2007-07-02 00:00:00	2007-06-19 00:00:00	SGF	Springfield-Branson National Airport	UAL	Passenger Property Loss	Checked Baggage	50.0	Books - Bibles & Bound classics*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Other	Settled	25.0	Settle
108102	2007080229500	2007-07-30 00:00:00	2007-06-03 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	6.99	Locks	Approved	6.99	Approve in Full
109570	2007082730891	2007-08-23 00:00:00	2007-06-30 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	382.0	Cameras - Digital*Clothing - Shoes, belts, accessories, etc.*DVD/CD Players	Denied	0.0	Deny
111477	2007100232858	2007-10-01 00:00:00	2007-09-28 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	2500.0	Binoculars*Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*GPS - Global Positioning System*Other	Denied	0.0	Deny
111652	2007100533080	2007-10-03 00:00:00	2007-08-28 00:00:00	SGF	Springfield-Branson National Airport	American Airlines	Passenger Property Loss	Checked Baggage	300.0	Cameras - Digital	Denied	0.0	Deny
