id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
2482	0211047L	2003-02-11 00:00:00	2003-02-02 00:00:00	SHV	Shreveport Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	60.6	Other	Other	Settled	30.3	Settle
3629	0313030L	2003-03-13 00:00:00	2003-02-19 00:00:00	SHV	Shreveport Regional	American Airlines	Passenger Property Loss	Checked Baggage	600.0	Containers	Luggage (all types including footlockers)	Settled	198.0	Settle
8345	0611007L	2003-06-11 00:00:00	2003-05-13 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	1801.43	Electronics	Computer - Laptop	Denied	0.0	Deny
9811	0701045M	2003-07-01 00:00:00	2003-05-14 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	704.97	Electronics	Cameras - Digital	Settled	265.81	Settle
11643	0723072M	2003-07-23 00:00:00	2003-07-04 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	75.72	Electronics	Cameras - Digital	Settled	37.86	Settle
13731	0819028M	2003-08-19 00:00:00	2003-08-06 00:00:00	SHV	Shreveport Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage		Other	Other	Denied		Deny
15672	0910068M	2003-09-10 00:00:00	2003-08-05 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
17452	1006081M	2003-10-06 00:00:00	2003-09-21 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	415.0	Electronics	Cameras - Digital	Settled	207.5	Settle
21156	1126015M	2003-11-26 00:00:00	2003-11-01 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	2200.0	Electronics	Computer - Laptop	Denied	0.0	Deny
22467	1208334M	2003-12-08 00:00:00	2003-11-17 00:00:00	SHV	Shreveport Regional	American Airlines	Passenger Property Loss	Checked Baggage	5000.0	Electronics	Cameras - Digital	Settled	150.0	Settle
22653	1217434M	2003-12-17 00:00:00	2003-11-01 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	81.58	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	81.58	Approve in Full
23975	0105267M	2004-01-05 00:00:00	2003-12-05 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	3000.0	Electronics	Computer - Laptop	Settled	969.16	Settle
24231	0107583M	2004-01-07 00:00:00	2003-12-08 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	340.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	340.0	Approve in Full
25099	0114352M	2004-01-14 00:00:00	2003-12-24 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	470.43	Electronics	Stereo Items & Accessories	Settled	235.25	Settle
26081	0130262M	2004-01-30 00:00:00	2003-12-31 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	140.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
32865	2004052853864	2004-04-21 00:00:00	2004-03-16 00:00:00	SHV	Shreveport Regional	USAir	Passenger Property Loss	Checked Baggage	55.0	Other	Other	Approved	55.0	Approve in Full
35528	2004061756129	2004-05-19 00:00:00	2004-05-02 00:00:00	SHV	Shreveport Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	50.0	Approve in Full
35705	2004060955235	2004-05-19 00:00:00	2004-05-05 00:00:00	SHV	Shreveport Regional	American Airlines	Passenger Property Loss	Checked Baggage	54.99	Other	Other	Settled	27.5	Settle
37716	2004063057906	2004-06-10 00:00:00	2004-05-15 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	890.94	Electronics	Cameras - Digital	Settled	222.74	Settle
37952	2004072159851	2004-06-16 00:00:00	2004-03-23 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	277.34	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	277.34	Approve in Full
37956	2004070358250	2004-06-16 00:00:00	2004-03-23 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	277.34	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
38585	2004071459345	2004-06-23 00:00:00	2004-06-17 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	165.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
39620	2004073060264	2004-07-09 00:00:00	2004-06-02 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	2400.36	Other	Other	Canceled		
41191	2004080360389	2004-07-27 00:00:00	2004-07-01 00:00:00	SHV	Shreveport Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Settled	350.0	Settle
42009	2004091062621	2004-08-09 00:00:00	2004-07-03 00:00:00	SHV	Shreveport Regional	American Airlines	Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	70.0	Approve in Full
42905	2004100564579	2004-08-19 00:00:00	2004-08-06 00:00:00	SHV	Shreveport Regional	American Airlines	Passenger Property Loss	Checked Baggage		Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
43118	2004100664664	2004-08-24 00:00:00	2004-08-12 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checkpoint	45.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	45.0	Approve in Full
43312	2004120168097	2004-08-24 00:00:00	2004-07-24 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	160.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	80.0	Settle
45584	2004103065837	2004-09-23 00:00:00	2004-09-19 00:00:00	SHV	Shreveport Regional	American Airlines	Passenger Property Loss	Checked Baggage	97.15	Other	Other	Approved	97.15	Approve in Full
45596	2004103065912	2004-09-23 00:00:00	2004-08-25 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	40.0	Other	Currency	Approved	40.0	Approve in Full
47981	2004121369014	2004-10-20 00:00:00	2004-10-08 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	75.0	Watches & Jewelry	Jewelry - Fine	Settled	37.5	Settle
49383	2005022676811	2004-11-05 00:00:00	2004-04-24 00:00:00	SHV	Shreveport Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	100.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	50.0	Settle
53232	2005012173862	2004-12-30 00:00:00	2004-12-15 00:00:00	SHV	Shreveport Regional	ATA Aerocondor	Passenger Property Loss	Checked Baggage	600.0	Watches & Jewelry	Jewelry - Fine	Approved	600.0	Approve in Full
54100	2005020375572	2005-01-11 00:00:00	2004-12-10 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
57960	2005031778603	2005-02-24 00:00:00	2005-01-01 00:00:00	SHV	Shreveport Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	428.3	Other	Other	Settled	274.78	Settle
59457	2005032980307	2005-03-16 00:00:00	2005-03-02 00:00:00	SHV	Shreveport Regional		Passenger Property Loss	Checkpoint	64.95	Other	Other	Denied	0.0	Deny
61122	2005041182214	2005-04-06 00:00:00	2005-02-04 00:00:00	SHV	Shreveport Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	91.13	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
61439	2005041382430	2005-04-12 00:00:00	2005-03-16 00:00:00	SHV	Shreveport Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	66.94	Other	Other	Approved	66.94	Approve in Full
