id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2547	0212027L	2003-02-12 00:00:00	2003-01-17 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checked Baggage	460.0	Other	Canceled		
2636	0909835M	2003-02-20 00:00:00	2003-01-24 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checked Baggage	70.0	Cosmetics	Approved	70.0	Approve in Full
3017	0226032L	2003-02-26 00:00:00	2003-01-31 00:00:00	SJU	Luis Munoz Marin International	Northwest Airlines	Passenger Property Loss	Checked Baggage	729.47	Clothing & Accessories	Settled	364.74	Settle
3265	0305023L	2003-03-05 00:00:00	2003-02-07 00:00:00	SJU	Luis Munoz Marin International	Northwest Airlines	Passenger Property Loss	Checked Baggage	2989.12	Electronics	Denied	0.0	Deny
3727	0317007L	2003-03-17 00:00:00	2003-01-15 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checked Baggage	800.0	Watches & Jewelry	Denied	0.0	Deny
5374	0421060L	2003-04-21 00:00:00	2003-03-10 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checked Baggage	1500.0	Watches & Jewelry	Denied	0.0	Deny
6237	0507029L	2003-05-07 00:00:00	2003-04-23 00:00:00	SJU	Luis Munoz Marin International		Passenger Theft	Checkpoint	2500.0	Watches & Jewelry	Denied	0.0	Deny
6787	0520242L	2003-05-20 00:00:00	2003-03-30 00:00:00	SJU	Luis Munoz Marin International	Spirit Airlines	Passenger Property Loss	Checked Baggage	1532.7	Electronics	Denied	0.0	Deny
7747	0603324L	2003-06-03 00:00:00	2003-04-25 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checked Baggage	702.08	Electronics	Settled	351.04	Settle
8627	0616106L	2003-06-16 00:00:00	2003-06-04 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checked Baggage	1506.0	Watches & Jewelry	Settled	631.0	Settle
10106	0707037M	2003-07-07 00:00:00	2003-06-05 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checkpoint	65.0	Other	Denied	0.0	Deny
10281	0708113M	2003-07-08 00:00:00	2003-06-01 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checked Baggage	1875.0	Watches & Jewelry	Denied	0.0	Deny
11568	0723166M	2003-07-23 00:00:00	2003-07-12 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checked Baggage	120.0	Clothing & Accessories	Approved	120.0	Approve in Full
13143	0813180M	2003-08-13 00:00:00	2003-07-25 00:00:00	SJU	Luis Munoz Marin International	Spirit Airlines	Passenger Property Loss	Checked Baggage	1725.0	Watches & Jewelry	Denied	0.0	Deny
13390	0814122M	2003-08-14 00:00:00	2003-07-26 00:00:00	SJU	Luis Munoz Marin International	Spirit Airlines	Passenger Property Loss	Checked Baggage	340.0	Electronics	Settled	170.0	Settle
14085	0822012M	2003-08-22 00:00:00	2003-07-19 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checked Baggage	26.0	Other	Denied		Deny
14213	0825023M	2003-08-25 00:00:00	2003-07-22 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checked Baggage	103.86	Other	Settled	52.0	Settle
14640	0829039M	2003-08-29 00:00:00	2003-07-30 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checked Baggage	20.0	Other	Approved	20.0	Approve in Full
14932	2004070958949	2003-09-03 00:00:00	2003-08-18 00:00:00	SJU	Luis Munoz Marin International	UAL	Passenger Property Loss	Checked Baggage	491.0	Other	Denied	0.0	Deny
15229	0905042M	2003-09-05 00:00:00	2003-04-11 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checked Baggage	103.31	Watches & Jewelry	Settled	51.65	Settle
16242	0923029M	2003-09-23 00:00:00	2003-08-01 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checked Baggage	1533.96	Electronics	Denied	0.0	Deny
16934	1001004M	2003-10-01 00:00:00	2003-09-13 00:00:00	SJU	Luis Munoz Marin International	Spirit Airlines	Passenger Property Loss	Checked Baggage	377.7	Electronics	Denied	0.0	Deny
18367	1021263M	2003-10-21 00:00:00	2003-08-23 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checkpoint	423.0	Electronics	Denied	0.0	Deny
18641	1022127M	2003-10-22 00:00:00	2003-09-21 00:00:00	SJU	Luis Munoz Marin International	America Trans Air	Passenger Property Loss	Checked Baggage	161.0	Other	Canceled		
19674	1107094M	2003-11-07 00:00:00	2003-10-15 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checkpoint	190.75	Electronics	Approved	190.75	Approve in Full
20641	1117547M	2003-11-17 00:00:00	2003-10-05 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Checked Baggage	472.41	Watches & Jewelry	Settled	236.21	Settle
22831	1217294M	2003-12-17 00:00:00	2003-07-24 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checkpoint	13725.0	Watches & Jewelry	Denied	0.0	Deny
23318	1222019M	2003-12-22 00:00:00	2003-11-30 00:00:00	SJU	Luis Munoz Marin International	Jet Blue	Passenger Property Loss	Checked Baggage	1760.0	Electronics	Denied	0.0	Deny
23800	0105214M	2004-01-05 00:00:00	2003-12-09 00:00:00	SJU	Luis Munoz Marin International	American Airlines	Passenger Property Loss	Checked Baggage	45.36	Other	Denied	0.0	Deny
23845	0105443M	2004-01-05 00:00:00	2003-12-05 00:00:00	SJU	Luis Munoz Marin International	Spirit Airlines	Passenger Property Loss	Checked Baggage	2446.81	Electronics	Denied	0.0	Deny
24341	0107314M	2004-01-07 00:00:00	2003-12-27 00:00:00	SJU	Luis Munoz Marin International		Passenger Property Loss	Other	600.0	Watches & Jewelry	Denied	0.0	Deny
