id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
18757	1022278M	2003-10-22 00:00:00	2003-08-18 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield		Passenger Property Loss	Checked Baggage	175.0	Clothing & Accessories	Denied	175.0	Deny
33931	2004051852752	2004-05-03 00:00:00	1996-05-08 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield		Passenger Property Loss	Other	50.0	Other	Denied	50.0	Deny
42043	2004080960855	2004-08-09 00:00:00	2004-06-03 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	AirTran Airlines	Passenger Property Loss	Checked Baggage	1564.0	Clothing & Accessories	Denied	0.0	Deny
42325	2004091362801	2004-08-10 00:00:00	2004-02-22 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield		Passenger Property Loss	Checked Baggage	135.0	Other	Denied	0.0	Deny
46046	2004111366921	2004-09-28 00:00:00	2004-09-19 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield		Passenger Property Loss	Checkpoint	200.0	Electronics	Denied	200.0	Deny
54529	2005012874864	2005-01-14 00:00:00	2005-01-02 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield		Passenger Property Loss	Checked Baggage	125.0	Other	Denied	125.0	Deny
63754	2005051284606	2005-05-12 00:00:00	2005-04-03 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	USAir	Passenger Property Loss	Checked Baggage	1654.84	Electronics	Denied	0.0	Deny
65359	2005061386328	2005-06-03 00:00:00	2005-03-29 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	UAL	Passenger Property Loss	Checked Baggage	63.98	Other	Approved	63.98	Approve in Full
112159	2007101633494	2007-10-15 00:00:00	2007-10-11 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	UAL	Passenger Property Loss	Checked Baggage	800.0	Other	Denied	0.0	Deny
123667	2008060445249	2008-06-03 00:00:00	2008-05-25 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	UAL	Passenger Property Loss	Checked Baggage	100.0	Cosmetics	Denied	0.0	Deny
128582	2008092450335	2008-09-22 00:00:00	2008-09-03 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	Allegiant Air	Passenger Property Loss	Checkpoint	950.0	Scientific Intruments	Denied	0.0	Deny
136120	2009042457984	2009-04-09 00:00:00	2009-03-12 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	UAL	Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Settled	30.0	Settle
155936	2011010879264	2010-12-28 00:00:00	2010-12-21 22:55:00	SPI	Abraham Lincoln Capital Airport, Springfield	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics		0.0	Deny
194274	2014110318172	2014-10-29 00:00:00	2014-10-23 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories		11.0	Approve in Full
203830	2015031921383	2015-03-19 00:00:00	2015-02-23 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	Allegiant Air	Passenger Property Loss	Checkpoint		Electronics		0.0	Deny
203831	2015120427289	2015-11-20 00:00:00	2015-11-16 00:00:00	SPI	Abraham Lincoln Capital Airport, Springfield	UAL	Passenger Property Loss	Checkpoint		Other		0.0	Deny
