id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1606	0617648L	2003-01-21 00:00:00	2003-01-04 00:00:00	SRQ	Sarasota Bradenton International	Delta Air Lines	Passenger Property Loss	Checked Baggage	206.94	Clothing & Accessories	Settled	104.0	Settle
4084	0325094L	2003-03-25 00:00:00	2003-03-04 00:00:00	SRQ	Sarasota Bradenton International	USAir	Passenger Property Loss	Checked Baggage	160.0	Clothing & Accessories	Approved	160.0	Approve in Full
4115	0325014L	2003-03-25 00:00:00	2003-03-08 00:00:00	SRQ	Sarasota Bradenton International	USAir	Passenger Property Loss	Checked Baggage	594.35	Other	Denied	0.0	Deny
4230	0326067L	2003-03-26 00:00:00	2003-02-25 00:00:00	SRQ	Sarasota Bradenton International		Passenger Property Loss	Checkpoint	29.95	Other	Approved	30.0	Approve in Full
4699	0408006L	2003-04-08 00:00:00	2003-02-18 00:00:00	SRQ	Sarasota Bradenton International	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.0	Clothing & Accessories	Approved	10.0	Approve in Full
5569	0422140L	2003-04-22 00:00:00	2003-03-22 00:00:00	SRQ	Sarasota Bradenton International		Passenger Property Loss	Checked Baggage	330.0	Clothing & Accessories	Settled	165.0	Settle
7075	0528029L	2003-05-28 00:00:00		SRQ	Sarasota Bradenton International		Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Canceled		
9299	0625103M	2003-06-25 00:00:00	2002-09-05 00:00:00	SRQ	Sarasota Bradenton International	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
10787	0715008M	2003-07-15 00:00:00	2003-05-26 00:00:00	SRQ	Sarasota Bradenton International		Passenger Property Loss	Checked Baggage	35.98	Other	Approved	35.98	Approve in Full
10875	0715227M	2003-07-15 00:00:00	2003-07-07 00:00:00	SRQ	Sarasota Bradenton International	Delta Air Lines	Passenger Property Loss	Checked Baggage	58.13	Clothing & Accessories	Canceled	0.0	
11846	0729103M	2003-07-29 00:00:00	2003-06-22 00:00:00	SRQ	Sarasota Bradenton International		Passenger Property Loss	Checked Baggage	43.29	Clothing & Accessories	Approved	43.29	Approve in Full
12399	0804039M	2003-08-04 00:00:00	2003-07-04 00:00:00	SRQ	Sarasota Bradenton International	Delta Air Lines	Passenger Property Loss	Checkpoint	930.0	Other	Approved	930.0	Approve in Full
13203	0813158M	2003-08-13 00:00:00	2003-06-13 00:00:00	SRQ	Sarasota Bradenton International		Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Settled	100.0	Settle
14723	0829007M	2003-08-29 00:00:00	2003-08-02 00:00:00	SRQ	Sarasota Bradenton International	Delta Air Lines	Passenger Property Loss	Checked Baggage	197.5	Other	Settled	98.75	Settle
18394	1021318M	2003-10-21 00:00:00	2003-05-01 00:00:00	SRQ	Sarasota Bradenton International	Continental Airlines	Passenger Property Loss	Checked Baggage	540.0	Watches & Jewelry	Denied	0.0	Deny
