id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
5022	0414012L	2003-04-14 00:00:00	2003-03-25 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	701.04	Electronics	Settled	315.48	Settle
7261	0529042L	2003-05-29 00:00:00	2003-04-21 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	814.92	Electronics	Settled	407.46	Settle
7388	0602015L	2003-06-02 00:00:00	2003-05-17 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	409.0	Other	Settled	237.46	Settle
13434	0815103M	2003-08-15 00:00:00	2003-08-02 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	16.95	Other	Approved	16.95	Approve in Full
13940	0821041M	2003-08-21 00:00:00	2003-08-12 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	1500.0	Watches & Jewelry	Denied	0.0	Deny
14312	0826285M	2003-08-26 00:00:00	2003-08-01 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	751.95	Other	Approved	751.95	Approve in Full
20100	1117082M	2003-11-17 00:00:00	2003-11-05 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	150.0	Electronics	Approved	150.0	Approve in Full
28871	0226003M	2004-02-26 00:00:00	2004-02-01 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	649.95	Watches & Jewelry	Denied	0.0	Deny
29024	0226029M	2004-02-26 00:00:00	2004-02-07 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	1333.33	Watches & Jewelry	Settled	666.66	Settle
32136	2004051852851	2004-04-06 00:00:00	2004-03-22 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	533.44	Watches & Jewelry	Approved	533.44	Approve in Full
32593	2004052453273	2004-04-15 00:00:00	2004-02-25 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Settled	37.5	Settle
33293	2004052853741	2004-04-21 00:00:00	2004-03-22 00:00:00	STT	Cyril E. King International	American Eagle	Passenger Property Loss	Checked Baggage	1159.42	Electronics	Settled	599.12	Settle
33690	2004060754898	2004-04-23 00:00:00	2004-01-31 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	950.41	Other	Settled	242.35	Settle
33872	2004060354592	2004-05-03 00:00:00	2004-04-14 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	912.25	Electronics	Approved	912.25	Approve in Full
37140	2004063058017	2004-06-04 00:00:00	2004-05-20 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	496.0	Clothing & Accessories	Denied	0.0	Deny
38362	2004070858746	2004-06-21 00:00:00	2004-04-05 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checked Baggage	476.0	Electronics	Settled	441.12	Settle
38618	2004070858918	2004-06-24 00:00:00	2004-05-25 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checkpoint	381.0	Watches & Jewelry	Denied	0.0	Deny
38805	2004071359135	2004-06-28 00:00:00	2004-06-17 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	488.21	Electronics	Settled	244.0	Settle
39874	2004080360514	2004-07-12 00:00:00	2004-07-01 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	42.0	Clothing & Accessories	Approved	42.0	Approve in Full
40274	2004080960903	2004-07-15 00:00:00	2004-06-20 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checkpoint	693.85	Electronics	Denied	0.0	Deny
40652	2004072660003	2004-07-20 00:00:00	2004-06-08 00:00:00	STT	Cyril E. King International		Passenger Theft	Checked Baggage	61.9	Other	Settled	30.9	Settle
44046	2004092864081	2004-09-09 00:00:00	2004-08-22 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	165.95	Other	Approved	165.95	Approve in Full
49645	2005010372059	2004-11-09 00:00:00	2004-05-25 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	400.0	Other	Denied		Deny
50052	2004122270418	2004-11-16 00:00:00	2004-11-04 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checked Baggage	46.25	Other	Approved	46.25	Approve in Full
50322	2004122871289	2004-11-19 00:00:00	2004-11-03 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	129.0	Other	Approved	129.0	Approve in Full
51286	2004122370787	2004-12-07 00:00:00	2004-11-08 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	149.95	Other	Approved	149.95	Approve in Full
51350	2005021576172	2004-12-07 00:00:00	2004-11-13 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	788.4	Electronics	Approved	788.4	Approve in Full
51380	2004122169930	2004-12-07 00:00:00	2004-08-24 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	650.0	Electronics	Denied		Deny
51897	2005010372240	2004-12-13 00:00:00	2004-12-04 00:00:00	STT	Cyril E. King International	Delta Air Lines	Passenger Property Loss	Checked Baggage	650.0	Other	Settled	595.0	Settle
52024	2005030777140	2004-12-14 00:00:00	2004-11-19 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	139.95	Electronics	Canceled	0.0	
55928	2005022376701	2005-01-28 00:00:00	2004-12-21 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	429.0	Clothing & Accessories	Settled	135.0	Settle
56231	2005031578347	2005-02-01 00:00:00	2005-01-09 00:00:00	STT	Cyril E. King International	British Airways	Passenger Property Loss	Checked Baggage	730.0	Electronics	Denied	0.0	Deny
56352	2005031578176	2005-02-03 00:00:00	2005-01-01 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	104.9	Other	Approved	104.9	Approve in Full
57387	2005031478129	2005-02-16 00:00:00	2005-01-31 00:00:00	STT	Cyril E. King International	Continental Airlines	Passenger Property Loss	Checked Baggage	1850.0	Watches & Jewelry	Denied	0.0	Deny
58858	2005040581445	2005-03-08 00:00:00	2005-01-17 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Denied	0.0	Deny
58896	2005032479768	2005-03-09 00:00:00	2005-01-19 00:00:00	STT	Cyril E. King International	Continental Airlines	Passenger Property Loss	Checked Baggage	173.98	Musical Intruments	Approved	173.98	Approve in Full
59145	2005032579898	2005-03-11 00:00:00	2005-02-05 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checked Baggage	33.9	Other	Approved	33.9	Approve in Full
59324	2005032980208	2005-03-16 00:00:00	2005-03-06 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	44.0	Cosmetics	Approved	44.0	Approve in Full
59582	2005031778662	2005-03-17 00:00:00	2005-02-12 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	24745.0	Watches & Jewelry	Denied	0.0	Deny
59901	2005033080608	2005-03-23 00:00:00	2005-03-13 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	65.0	Other	Denied	0.0	Deny
60271	2005040180991	2005-03-29 00:00:00	2005-03-18 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checked Baggage	255.0	Electronics	Denied	0.0	Deny
60291	2005040181068	2005-03-29 00:00:00	2004-12-19 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checked Baggage	784.0	Other	Denied	784.0	Deny
60411	2005040481303	2005-03-29 00:00:00	2005-03-02 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	143.65	Clothing & Accessories	Settled	71.83	Settle
60684	2005040581593	2005-04-04 00:00:00	2005-02-19 00:00:00	STT	Cyril E. King International	Delta Air Lines	Passenger Property Loss	Checked Baggage	109.2	Cosmetics	Approved	109.2	Approve in Full
61338	2005041282279	2005-04-08 00:00:00	2005-03-02 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	350.0	Clothing & Accessories	Denied	0.0	Deny
63302	2005050984324	2005-05-06 00:00:00	2005-04-17 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	40.0	Other	Approved	40.0	Approve in Full
63850	2005060685821	2005-05-13 00:00:00	2005-03-19 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checked Baggage	300.0	Other	Approved	300.0	Approve in Full
64348	2005052085217	2005-05-19 00:00:00	2005-05-12 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	1251.31	Electronics	Denied	0.0	Deny
65160	2005060685831	2005-06-01 00:00:00	2005-03-15 00:00:00	STT	Cyril E. King International	UAL	Passenger Property Loss	Checked Baggage	769.86	Clothing & Accessories	Canceled	0.0	
65492	2005061486394	2005-06-06 00:00:00	2005-04-27 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checked Baggage	7.76	Tools & Machines	Approved	7.76	Approve in Full
65502	2005061586435	2005-06-06 00:00:00	2005-05-22 00:00:00	STT	Cyril E. King International		Passenger Property Loss	Checked Baggage	6.95	Tools & Machines	Approved	6.95	Approve in Full
65618	2005062086654	2005-06-07 00:00:00	2005-03-30 00:00:00	STT	Cyril E. King International	Delta Air Lines	Passenger Property Loss	Checked Baggage	26.64	Other	Approved	26.64	Approve in Full
67241	2005070588232	2005-06-30 00:00:00	2005-06-24 00:00:00	STT	Cyril E. King International	USAir	Passenger Property Loss	Checkpoint	875.0	Watches & Jewelry	Denied	0.0	Deny
69843	2005081990925	2005-08-09 00:00:00	2005-07-22 00:00:00	STT	Cyril E. King International	American Airlines	Passenger Property Loss	Checked Baggage	6165.0	Other	Denied	0.0	Deny
