id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
33180	2004060354548	2004-04-21 00:00:00	2004-03-27 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	5883.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
55104	2005021075912	2005-01-21 00:00:00	2004-12-26 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	70.0	Other	Approved	70.0	Approve in Full
65584	2005061686491	2005-06-07 00:00:00	2005-05-29 00:00:00	SUN	Friedman Memorial	Horizon Air	Passenger Property Loss	Checked Baggage	284.97	Cameras - Digital	Approved	284.97	Approve in Full
65984	2005062387021	2005-06-10 00:00:00	2005-05-25 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	217.92	Other	Settled	164.49	Settle
79298	2006012600432	2006-01-23 00:00:00	2006-01-08 00:00:00	SUN	Friedman Memorial		Passenger Property Loss	Checked Baggage	120.0	Other	Denied	0.0	Deny
82015	2006031503152	2006-03-10 00:00:00	2006-02-05 00:00:00	SUN	Friedman Memorial	Skywest Airlines Inc USA	Passenger Property Loss	Checked Baggage	1030.0	Other	Denied	0.0	Deny
89660	2006081110865	2006-08-09 00:00:00	2006-07-25 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Clothing - Shoes, belts, accessories, etc.	Settled	105.0	Settle
91928	2006092513217	2006-09-21 00:00:00	2006-07-29 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Cameras - Digital	Canceled	0.0	
100994	2007031322199	2007-03-09 00:00:00	2007-03-02 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	8.99	Locks	Approved	8.99	Approve in Full
101547	2007032322871	2007-03-19 00:00:00	2007-03-14 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	185.0	Jewelry - Costume	Settled	92.5	Settle
112838	2007103134199	2007-10-29 00:00:00	2007-10-22 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	387.4	Cameras - Digital*Other	Denied	0.0	Deny
112883	2007110234367	2007-10-29 00:00:00	2007-10-08 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss		400.0	Cameras - Digital	Denied	0.0	Deny
113389	2007110934807	2007-11-07 00:00:00	2007-08-28 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	346.41	Cameras - Digital	Denied	0.0	Deny
114056	2007112835594	2007-11-21 00:00:00	2007-11-02 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	360.75	Cameras - Digital	Denied	0.0	Deny
114343	2007113035776	2007-11-27 00:00:00	2007-11-24 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	243.0	Eyeglasses - (including contact lenses)	Settled	121.5	Settle
114890	2008011738108	2007-12-07 00:00:00	2007-09-15 00:00:00	SUN	Friedman Memorial		Passenger Property Loss	Checked Baggage	2400.0	Hearing Aids	Denied	0.0	Deny
115212	2007121936676	2007-12-14 00:00:00	2007-11-30 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Cameras - Digital	Denied	0.0	Deny
116572	2008012238331	2008-01-10 00:00:00	2007-09-20 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	250.0	Computer - Laptop	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
120170	2008032741488	2008-03-25 00:00:00	2008-03-23 00:00:00	SUN	Friedman Memorial	Alaska Airlines	Passenger Property Loss	Checked Baggage	1981.44	Computer - Laptop	Denied	0.0	Deny
129186	2008092550499	2008-10-07 00:00:00	2008-09-08 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	346.75	Bags - Fabric, plastic, etc. (not purses)*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	86.69	Settle
140279	2009080562318	2009-08-04 00:00:00	2009-07-09 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage	25.0	Clothing - Shoes, belts, accessories, etc.	Approved	25.0	Approve in Full
158584	2011040781992	2011-03-22 00:00:00	2011-03-17 00:00:00	SUN	Friedman Memorial	Skywest Airlines Australia	Passenger Property Loss	Checked Baggage		Other		38.0	Approve in Full
203916	2015111626920	2015-10-26 00:00:00	2015-09-22 00:00:00	SUN	Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checked Baggage		Office Equipment & Supplies		0.0	Deny
212175	2016070632518	2016-07-06 00:00:00	2016-06-13 12:10:00	SUN	Friedman Memorial Friedman Memorial	Delta Air Lines	Passenger Property Loss	Checkpoint		Household Items			Insufficient
