id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2334	0206033L	2003-02-06 00:00:00	2003-01-08 00:00:00	SWF	Stewart  Field	American Airlines	Passenger Property Loss	Checkpoint	450.0	Other	Denied	0.0	Deny
6082	0506041L	2003-05-06 00:00:00	2003-03-19 00:00:00	SWF	Stewart  Field		Passenger Property Loss	Checked Baggage	105.0	Clothing - Shoes, belts, accessories, etc.	Approved	105.0	Approve in Full
14086	0822016M	2003-08-22 00:00:00	2003-06-30 00:00:00	SWF	Stewart  Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	932.37	Luggage (all types including footlockers)	Denied	0.0	Deny
14704	0829100M	2003-08-29 00:00:00	2003-07-26 00:00:00	SWF	Stewart  Field		Passenger Property Loss	Checked Baggage	468.39	Cameras - Digital	Denied	0.0	Deny
16534	0925122M	2003-09-25 00:00:00	2003-08-31 00:00:00	SWF	Stewart  Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	42.8	Other	Denied	0.0	Deny
18388	1021310M	2003-10-21 00:00:00	2003-08-23 00:00:00	SWF	Stewart  Field		Passenger Property Loss	Checked Baggage	3050.0	Other	Denied	0.0	Deny
20684	1119110M	2003-11-19 00:00:00	2003-10-10 00:00:00	SWF	Stewart  Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	69.95	Clothing - Shoes, belts, accessories, etc.	Approved	69.95	Approve in Full
28718	0226113M	2004-02-26 00:00:00	2004-01-14 00:00:00	SWF	Stewart  Field	American Airlines	Passenger Property Loss	Checked Baggage	178.28	Other	Approved	178.28	Approve in Full
31426	2004051452149	2004-03-24 00:00:00	2004-01-26 00:00:00	SWF	Stewart  Field	Southwest Airlines	Passenger Property Loss	Checked Baggage	140.0	Clothing - Shoes, belts, accessories, etc.	Settled	98.0	Settle
32171	2004052853842	2004-04-06 00:00:00	2004-01-28 00:00:00	SWF	Stewart  Field	USAir	Passenger Property Loss	Checked Baggage	95.0	Other	Approved	95.0	Approve in Full
