id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
15997	0916057M	2003-09-16 00:00:00	2003-05-27 00:00:00	TLH	Tallahassee Regional		Passenger Property Loss	Checkpoint	64.19	Watches & Jewelry	Approved	64.19	Approve in Full
20106	1117102M	2003-11-17 00:00:00	2003-10-03 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	84.99	Other	Approved	84.99	Approve in Full
30380	2004051452286	2004-03-12 00:00:00	2004-01-26 00:00:00	TLH	Tallahassee Regional		Passenger Property Loss	Checked Baggage	50.0	Other	Settled	40.0	Settle
31480	2004051151133	2004-03-29 00:00:00	2003-12-30 00:00:00	TLH	Tallahassee Regional		Passenger Property Loss	Checked Baggage	1700.0	Watches & Jewelry	Denied	0.0	Deny
31819	2004051452117	2004-04-01 00:00:00	2004-03-18 00:00:00	TLH	Tallahassee Regional		Passenger Property Loss	Checkpoint	300.0	Other	Canceled	0.0	
35553	2004062156470	2004-05-19 00:00:00	2004-05-07 00:00:00	TLH	Tallahassee Regional		Passenger Property Loss	Checkpoint	198.0	Other	Approved	198.0	Approve in Full
35575	2004062156713	2004-05-19 00:00:00	2004-04-18 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	18.0	Other	Approved	18.0	Approve in Full
42553	2004091362752	2004-08-12 00:00:00	2004-07-22 00:00:00	TLH	Tallahassee Regional		Passenger Property Loss	Checkpoint	300.0	Watches & Jewelry	Settled	214.08	Settle
43497	2004092263572	2004-08-27 00:00:00	2004-06-21 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	310.0	Clothing & Accessories	Denied	0.0	Deny
48358	2004121469144	2004-10-27 00:00:00	2004-09-04 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	23.65	Other	Approved	23.65	Approve in Full
48495	2004122069592	2004-10-27 00:00:00	2004-10-18 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Electronics	Denied	0.0	Deny
50840	2004122871463	2004-11-29 00:00:00	2004-09-01 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.3	Other	Approved	10.3	Approve in Full
51405	2004122270399	2004-12-07 00:00:00	2004-12-01 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checkpoint	550.0	Clothing & Accessories	Denied	0.0	Deny
51796	2005010372301	2004-12-13 00:00:00	2004-11-29 00:00:00	TLH	Tallahassee Regional	Delta (Song)	Passenger Property Loss	Checked Baggage	34.99	Other	Approved	34.99	Approve in Full
52678	2005011073281	2004-12-21 00:00:00	2004-11-30 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	756.0	Other	Denied	0.0	Deny
54009	2005012774617	2005-01-10 00:00:00	2004-11-11 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checkpoint	212.99	Watches & Jewelry	Settled	106.42	Settle
57194	2005031578408	2005-02-11 00:00:00	2005-02-23 00:00:00	TLH	Tallahassee Regional		Passenger Property Loss	Checked Baggage	267.8	Outdoors Supplies	Denied	0.0	Deny
58017	2005031978852	2005-02-26 00:00:00	2005-01-21 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	5099.89	Electronics	Settled	2795.15	Settle
61181	2005040881971	2005-04-07 00:00:00	2005-03-21 00:00:00	TLH	Tallahassee Regional	American Airlines	Passenger Property Loss	Checked Baggage	101.72	Clothing & Accessories	Approved	101.72	Approve in Full
62255	2005042283157	2005-04-21 00:00:00	2005-02-26 00:00:00	TLH	Tallahassee Regional		Passenger Property Loss	Checked Baggage	899.99	Electronics	Settled	249.6	Settle
65520	2005061486382	2005-06-06 00:00:00	2004-04-17 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	400.0	Containers	Denied	0.0	Deny
68441	2005072189432	2005-07-20 00:00:00	2005-06-13 00:00:00	TLH	Tallahassee Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Denied	0.0	Deny
