id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
166	2004122170141	2002-11-04 00:00:00	2004-10-07 00:00:00	TOL	Toledo Express	Tran Meridian Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Approved	40.0	Approve in Full
16404	0925282M	2003-09-25 00:00:00	2003-08-29 00:00:00	TOL	Toledo Express	Northwest Airlines	Passenger Property Loss	Checked Baggage	590.0	Electronics	Approved	590.0	Approve in Full
22237	1208080M	2003-12-08 00:00:00	2003-08-18 00:00:00	TOL	Toledo Express		Passenger Property Loss	Checkpoint	200.0	Electronics	Denied	0.0	Deny
35059	2004061555753	2004-05-10 00:00:00	2004-04-24 00:00:00	TOL	Toledo Express	Delta Air Lines	Passenger Property Loss	Checked Baggage	399.0	Clothing & Accessories	Settled	100.0	Settle
35321	2004060955276	2004-05-13 00:00:00	2004-03-02 00:00:00	TOL	Toledo Express	American Airlines	Passenger Property Loss	Checked Baggage	414.95	Clothing & Accessories	Settled	311.94	Settle
35749	2004061856244	2004-05-19 00:00:00	2004-02-13 00:00:00	TOL	Toledo Express	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Other	Settled	75.0	Settle
41148	2004083061594	2004-07-27 00:00:00	2004-07-19 00:00:00	TOL	Toledo Express		Passenger Property Loss	Checkpoint	190.0	Clothing & Accessories	Denied	0.0	Deny
50842	2004122971798	2004-11-29 00:00:00	2004-11-22 00:00:00	TOL	Toledo Express	American Airlines	Passenger Property Loss	Checked Baggage	75.0	Watches & Jewelry	Approved	100.0	Approve in Full
59106	2005032479801	2005-03-09 00:00:00	2005-02-21 00:00:00	TOL	Toledo Express	Delta Air Lines	Passenger Property Loss	Checked Baggage	303.07	Clothing & Accessories	Settled	136.53	Settle
59955	2005033180815	2005-03-23 00:00:00	2004-10-28 00:00:00	TOL	Toledo Express	Tran Meridian Airlines	Passenger Property Loss	Checked Baggage	720.0	Other	Denied	0.0	Deny
61039	2005040781889	2005-04-06 00:00:00	2005-03-06 00:00:00	TOL	Toledo Express	Northwest Airlines	Passenger Property Loss	Checked Baggage	4000.0	Electronics	Denied	0.0	Deny
64413	2005052485461	2005-05-20 00:00:00	2005-04-25 00:00:00	TOL	Toledo Express		Passenger Property Loss	Checked Baggage	5.03	Tools & Machines	Approved	5.03	Approve in Full
67268	2005070188146	2005-06-30 00:00:00	2005-06-18 00:00:00	TOL	Toledo Express	Delta Air Lines	Passenger Property Loss	Checked Baggage	125.0	Other	Settled	62.5	Settle
75065	2005111596126	2005-11-07 00:00:00	2005-10-10 00:00:00	TOL	Toledo Express	Delta Air Lines	Passenger Property Loss	Checkpoint	480.0	Watches & Jewelry	Denied	0.0	Deny
75370	2005112596495	2005-11-14 00:00:00	2005-10-24 00:00:00	TOL	Toledo Express	Alaska Airlines	Passenger Property Loss	Checked Baggage	350.0	Other	Canceled	0.0	
78301	2006011299488	2006-01-09 00:00:00	2005-12-16 00:00:00	TOL	Toledo Express	Allegiant Air	Passenger Property Loss	Checkpoint	240.0	Other	Approved	240.0	Approve in Full
81666	2006030802791	2006-03-06 00:00:00	2005-12-18 00:00:00	TOL	Toledo Express	Continental Airlines	Passenger Property Loss	Checked Baggage	326.8	Other	Denied	0.0	Deny
82820	2006040404037	2006-03-24 00:00:00	2006-03-08 00:00:00	TOL	Toledo Express	Northwest Airlines	Passenger Property Loss	Checked Baggage	3600.0	Other	Denied	0.0	Deny
84370	2006042705401	2006-04-25 00:00:00	2006-04-16 00:00:00	TOL	Toledo Express	Delta Air Lines	Passenger Property Loss	Checked Baggage	15.49	Tools & Machines	Settled	10.5	Settle
97660	2007011118637	2007-01-08 00:00:00	2006-12-18 00:00:00	TOL	Toledo Express	Delta Air Lines	Passenger Property Loss	Checkpoint	879.96	Electronics	Settled	646.41	Settle
111885	2007101133310	2007-10-09 00:00:00	2007-08-12 00:00:00	TOL	Toledo Express	Allegiant Air	Passenger Property Loss	Checked Baggage	60.0	Cosmetics	Denied	0.0	Deny
122639	2008051544318	2008-05-12 00:00:00	2008-04-28 00:00:00	TOL	Toledo Express	Delta Air Lines	Passenger Property Loss	Checkpoint	30.0	Outdoors Supplies	Denied	0.0	Deny
129582	2008102751572	2008-10-17 00:00:00	2008-10-11 00:00:00	TOL	Toledo Express	Northwest Airlines	Passenger Property Loss	Checked Baggage	1559.57	Electronics	Denied	0.0	Deny
131934	2008123053848	2008-12-19 00:00:00	2008-11-09 00:00:00	TOL	Toledo Express	American Airlines	Passenger Property Loss	Checked Baggage	1500.0	Electronics	Canceled	0.0	
149721	2010062873153	2010-06-16 00:00:00	2010-04-25 00:00:00	TOL	Toledo Express	UAL	Passenger Property Loss	Checked Baggage		Watches & Jewelry,Electronics		0.0	Deny
151949	2010082675356	2010-08-20 00:00:00	2010-06-27 10:30:00	TOL	Toledo Express	Allegiant Air	Passenger Property Loss	Checkpoint		Electronics		150.0	Approve in Full
159140	2011041482508	2011-04-11 00:00:00	2011-03-25 00:00:00	TOL	Toledo Express		Passenger Property Loss	Checked Baggage		Containers		25.0	Approve in Full
182810	2013090906691	2013-07-30 00:00:00	2013-06-29 11:00:00	TOL	Toledo Express	American Airlines	Passenger Property Loss	Checked Baggage		Food & Drink			
193534	2014100617418	2014-09-24 00:00:00	2014-06-26 00:00:00	TOL	Toledo Express	Allegiant Air	Passenger Property Loss	Checked Baggage		Clothing & Accessories			
220514	2017092743567	2017-08-15 00:00:00	2017-08-06 16:30:00	TOL	Toledo Express Toledo Express	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage		Electronics			In Review
