id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
205	19907	2002-11-07 00:00:00	2002-10-06 00:00:00	TPA	Tampa International	Delta Air Lines	Passenger Property Loss	Checkpoint	1200.0	Eyeglasses - (including contact lenses)	Settled	1000.0	Settle
545	22409	2002-12-10 00:00:00	2002-09-14 00:00:00	TPA	Tampa International		Passenger Property Loss	Checkpoint	99.0	Jewelry - Fine	Approved	106.0	Approve in Full
832	22570	2002-12-20 00:00:00	2002-11-02 00:00:00	TPA	Tampa International	Southwest Airlines	Passenger Property Loss	Checkpoint	100.0	Eyeglasses - (including contact lenses)	Canceled	0.0	
1278	0715519M	2003-01-13 00:00:00	2002-12-08 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Checkpoint	140.0	Eyeglasses - (including contact lenses)	Approved	140.0	Approve in Full
1297	22068	2003-01-13 00:00:00	2002-12-08 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Other	140.0	Eyeglasses - (including contact lenses)	Canceled		
1396	0617591L	2003-01-14 00:00:00	2002-12-28 00:00:00	TPA	Tampa International	American Airlines	Passenger Property Loss	Checked Baggage	2320.0	Other	Denied	0.0	Deny
1453	0616795L	2003-01-16 00:00:00	2003-01-16 00:00:00	TPA	Tampa International	UAL	Passenger Property Loss	Checked Baggage	1429.97	Stereo Items & Accessories	Denied	0.0	Deny
2038	0129063L	2003-01-29 00:00:00	2003-01-03 00:00:00	TPA	Tampa International	Southwest Airlines	Passenger Property Loss	Checked Baggage	255.0	Clothing - Shoes, belts, accessories, etc.	Settled	127.5	Settle
2238	0204004L	2003-02-04 00:00:00	2003-01-18 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Checked Baggage	900.0	Cameras - Digital	Settled	450.0	Settle
2403	0211055L	2003-02-11 00:00:00	2002-12-25 00:00:00	TPA	Tampa International	Continental Airlines	Passenger Property Loss	Checkpoint	87.65	Other	Approved	88.0	Approve in Full
2848	0225074L	2003-02-25 00:00:00	2003-02-01 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Checked Baggage	300.0	Jewelry - Fine	Approved	300.0	Approve in Full
2915	0225094L	2003-02-25 00:00:00	2003-01-09 00:00:00	TPA	Tampa International		Passenger Property Loss	Checkpoint	100.0	Cell Phones	Denied	0.0	Deny
3009	0226011L	2003-02-26 00:00:00	2003-02-16 00:00:00	TPA	Tampa International	Jet Blue	Passenger Property Loss	Checked Baggage	59.98	Other	Settled	30.0	Settle
3177	0304032L	2003-03-04 00:00:00	2003-01-16 00:00:00	TPA	Tampa International	Northwest Airlines	Passenger Property Loss	Checked Baggage		Other	Canceled	0.0	
3499	0311171L	2003-03-11 00:00:00	2003-03-02 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Checked Baggage	5.0	Locks	Denied	0.0	Deny
3999	0321011L	2003-03-21 00:00:00	2003-03-11 00:00:00	TPA	Tampa International		Passenger Property Loss	Checkpoint	200.0	Cameras - Digital	Approved	200.0	Approve in Full
4020	0321010L	2003-03-21 00:00:00	2002-09-19 00:00:00	TPA	Tampa International	Spirit Airlines	Passenger Property Loss	Checkpoint	199.99	Other	Settled	132.0	Settle
4199	0325118L	2003-03-25 00:00:00	2003-03-10 00:00:00	TPA	Tampa International		Passenger Property Loss	Checked Baggage	800.0	Clothing - Shoes, belts, accessories, etc.	Settled	311.88	Settle
4214	0326015L	2003-03-26 00:00:00	2003-03-06 00:00:00	TPA	Tampa International		Passenger Property Loss	Checked Baggage	7.45	Locks	Approved	7.45	Approve in Full
4556	0402022L	2003-04-02 00:00:00	2003-03-26 00:00:00	TPA	Tampa International	Southwest Airlines	Passenger Property Loss	Checked Baggage	100.0	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
4567	0402053L	2003-04-02 00:00:00	2003-01-22 00:00:00	TPA	Tampa International	Jet Blue	Passenger Property Loss	Checked Baggage	367.47	Other	Denied	0.0	Deny
4592	0402009L	2003-04-02 00:00:00	2003-02-23 00:00:00	TPA	Tampa International	UAL	Passenger Property Loss	Checked Baggage	100.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	50.0	Settle
4607	0402069L	2003-04-02 00:00:00	2002-12-27 00:00:00	TPA	Tampa International	UAL	Passenger Property Loss	Checked Baggage	300.0	Clothing - Shoes, belts, accessories, etc.	Settled	150.0	Settle
4795	0408143L	2003-04-08 00:00:00	2003-03-11 00:00:00	TPA	Tampa International	Delta Air Lines	Passenger Property Loss	Checked Baggage	80.0	Other	Denied	0.0	Deny
4844	0408147L	2003-04-08 00:00:00	2003-02-19 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Checked Baggage	140.0	Other	Settled	100.0	Settle
5019	0414007L	2003-04-14 00:00:00	2003-03-18 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Checked Baggage	95.0	Clothing - Shoes, belts, accessories, etc.	Settled	75.0	Settle
5089	0415030L	2003-04-15 00:00:00	2003-03-02 00:00:00	TPA	Tampa International		Passenger Property Loss	Checked Baggage	45.0	Clothing - Shoes, belts, accessories, etc.	Settled	22.5	Settle
5192	0416015L	2003-04-16 00:00:00	2003-03-27 00:00:00	TPA	Tampa International	Continental Airlines	Passenger Property Loss	Checked Baggage	242.0	DVD/CD Players	Settled	121.0	Settle
5540	0422065L	2003-04-22 00:00:00	2003-03-30 00:00:00	TPA	Tampa International		Passenger Property Loss	Checked Baggage	57.85	Other	Settled	28.93	Settle
5609	0423004L	2003-04-23 00:00:00	2003-03-18 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Checked Baggage		Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
5682	0428053L	2003-04-28 00:00:00	2003-04-13 00:00:00	TPA	Tampa International		Passenger Property Loss	Checked Baggage	10.0	Other	Approved	10.0	Approve in Full
5799	0429031L	2003-04-29 00:00:00	2003-03-31 00:00:00	TPA	Tampa International	Delta Air Lines	Passenger Property Loss	Checked Baggage	2200.0	Other	Approved	2200.0	Approve in Full
5988	0505090L	2003-05-05 00:00:00	2003-04-17 00:00:00	TPA	Tampa International	Southwest Airlines	Passenger Property Loss	Checked Baggage	3.85	Other	Approved	3.85	Approve in Full
6010	0505037L	2003-05-05 00:00:00	2003-03-16 00:00:00	TPA	Tampa International	Southwest Airlines	Passenger Property Loss	Checkpoint	500.0	PDA - Personal Data Assistants	Denied	0.0	Deny
6174	0506035L	2003-05-06 00:00:00	2003-03-01 00:00:00	TPA	Tampa International	Delta Air Lines	Passenger Property Loss	Checked Baggage	517.0	Jewelry - Fine	Settled	304.5	Settle
6202	0506121L	2003-05-06 00:00:00	2003-04-22 00:00:00	TPA	Tampa International	Delta Air Lines	Passenger Property Loss	Checked Baggage	2000.0	Other	Settled	1624.0	Settle
6311	0513030L	2003-05-13 00:00:00	2003-01-30 00:00:00	TPA	Tampa International	USAir	Passenger Property Loss	Checked Baggage	68.0	Clothing - Shoes, belts, accessories, etc.	Approved	68.0	Approve in Full
6472	0514070L	2003-05-14 00:00:00	2003-03-25 00:00:00	TPA	Tampa International	Delta Air Lines	Passenger Property Loss	Checked Baggage	209.24	Fish/Game	Denied	0.0	Deny
6545	0514123L	2003-05-14 00:00:00	2003-01-06 00:00:00	TPA	Tampa International	Jet Blue	Passenger Property Loss	Checked Baggage	572.0	Other	Settled	238.67	Settle
6821	0520049L	2003-05-20 00:00:00	2003-04-13 00:00:00	TPA	Tampa International		Passenger Property Loss	Checked Baggage	475.0	Other	Settled	380.0	Settle
6902	0522048L	2003-05-22 00:00:00	2003-01-20 00:00:00	TPA	Tampa International	American Airlines	Passenger Property Loss	Checked Baggage	23.81	Other	Approved	24.0	Approve in Full
