id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
13381	0814093M	2003-08-14 00:00:00	2003-08-06 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	279.0	Clothing & Accessories	Settled	199.0	Settle
16293	0923049M	2003-09-23 00:00:00	2003-09-04 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	35.94	Other	Settled	17.97	Settle
25027	0114091M	2004-01-14 00:00:00	2004-01-04 00:00:00	TRI	Tri-Cities Regional		Passenger Property Loss	Checked Baggage	51.5	Other	Settled	25.75	Settle
25694	0129170M	2004-01-29 00:00:00	2003-12-27 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
34875	2004061455696	2004-05-10 00:00:00	2004-04-24 00:00:00	TRI	Tri-Cities Regional	UAL	Passenger Property Loss	Checked Baggage	1190.0	Watches & Jewelry	Approved	1190.0	Approve in Full
42444	2004092763924	2004-08-10 00:00:00	2004-07-24 00:00:00	TRI	Tri-Cities Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	706.62	Containers	Settled	353.31	Settle
42563	2004092163291	2004-08-13 00:00:00	2004-04-11 00:00:00	TRI	Tri-Cities Regional	USAir	Passenger Property Loss	Checked Baggage	88.0	Clothing & Accessories	Approved	88.0	Approve in Full
43537	2004092163288	2004-08-27 00:00:00	2004-08-08 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	449.33	Electronics	Settled	229.95	Settle
45009	2004103166005	2004-09-16 00:00:00	2004-08-25 00:00:00	TRI	Tri-Cities Regional	USAir	Passenger Property Loss	Checked Baggage	70.0	Other	Approved	70.0	Approve in Full
46039	2004110866703	2004-09-28 00:00:00	2004-09-13 00:00:00	TRI	Tri-Cities Regional		Passenger Property Loss	Checked Baggage	2000.0	Electronics	Denied	0.0	Deny
46447	2004111767289	2004-10-01 00:00:00	2004-08-02 00:00:00	TRI	Tri-Cities Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	460.0	Clothing & Accessories	Settled	368.37	Settle
46587	2004111867334	2004-10-05 00:00:00	2004-08-26 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Other	Approved	500.0	Approve in Full
47190	2004113068038	2004-10-14 00:00:00	2004-08-29 00:00:00	TRI	Tri-Cities Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	45.0	Other	Approved	45.0	Approve in Full
49110	2004122370644	2004-11-04 00:00:00	2004-09-29 00:00:00	TRI	Tri-Cities Regional	Southwest Airlines	Passenger Property Loss	Checked Baggage	4198.75	Watches & Jewelry	Canceled	0.0	
51061	2004122971527	2004-12-02 00:00:00	2004-10-29 00:00:00	TRI	Tri-Cities Regional		Passenger Property Loss	Checked Baggage	68.25	Watches & Jewelry	Approved	68.25	Approve in Full
54091	2005020375524	2005-01-11 00:00:00	2004-12-21 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Approved	150.0	Approve in Full
56811	2005031978831	2005-02-08 00:00:00	2005-01-05 00:00:00	TRI	Tri-Cities Regional		Passenger Property Loss	Checkpoint	2000.0	Other	Denied	0.0	Deny
56927	2005031978809	2005-02-09 00:00:00	2004-12-20 00:00:00	TRI	Tri-Cities Regional	USAir	Passenger Property Loss	Checked Baggage	4575.0	Watches & Jewelry	Denied	0.0	Deny
60796	2005040681763	2005-04-05 00:00:00	2005-03-11 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	68.06	Other	Approved	68.06	Approve in Full
64065	2005051985123	2005-05-17 00:00:00	2005-05-10 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	69.5	Clothing & Accessories	Canceled	0.0	
64254	2005052485484	2005-05-18 00:00:00	2005-04-30 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	273.73	Electronics	Approved	273.73	Approve in Full
65279	2005061086250	2005-06-01 00:00:00	2005-05-01 00:00:00	TRI	Tri-Cities Regional	USAir	Passenger Property Loss	Checked Baggage	649.45	Electronics	Settled	477.08	Settle
65730	2005062186730	2005-06-07 00:00:00	2003-06-10 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Other	220.0	Electronics	Settled	110.72	Settle
66919	2005070188021	2005-06-27 00:00:00	2005-06-19 00:00:00	TRI	Tri-Cities Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	145.0	Cosmetics	Approved	145.0	Approve in Full
68209	2005071889201	2005-07-15 00:00:00	2005-06-26 00:00:00	TRI	Tri-Cities Regional	UAL	Passenger Property Loss	Checked Baggage	1005.0	Other	Denied	0.0	Deny
72531	2005100393761	2005-09-21 00:00:00	2005-06-14 00:00:00	TRI	Tri-Cities Regional	USAir	Passenger Property Loss	Checked Baggage	1135.26	Watches & Jewelry	Denied	0.0	Deny
