id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1403	21400	2003-01-14 00:00:00	2002-11-21 00:00:00	TUL	Tulsa International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	287.57	Cell Phones	Denied	287.57	Deny
2295	0205023L	2003-02-05 00:00:00	2003-01-24 00:00:00	TUL	Tulsa International Airport	UAL	Passenger Property Loss	Checked Baggage	200.0	Luggage (all types including footlockers)	Settled	100.0	Settle
4982	0411026L	2003-04-11 00:00:00	2003-03-14 00:00:00	TUL	Tulsa International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	64.79	Clothing - Shoes, belts, accessories, etc.	Approved	64.79	Approve in Full
5227	0417005L	2003-04-17 00:00:00	2003-03-23 00:00:00	TUL	Tulsa International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	370.0	Eyeglasses - (including contact lenses)	Approved	370.0	Approve in Full
5755	0428005L	2003-04-28 00:00:00	2003-03-26 00:00:00	TUL	Tulsa International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	335.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	167.5	Settle
6479	0514095L	2003-05-14 00:00:00	2003-03-14 00:00:00	TUL	Tulsa International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	2010.0	Other	Denied	0.0	Deny
8203	0610123L	2003-06-10 00:00:00	2002-10-25 00:00:00	TUL	Tulsa International Airport	American Airlines	Passenger Property Loss	Checked Baggage	380.0	Other	Denied	0.0	Deny
8679	0617132L	2003-06-17 00:00:00	2003-06-05 00:00:00	TUL	Tulsa International Airport	American Airlines	Passenger Property Loss	Checked Baggage	25.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	25.0	Approve in Full
8889	0618061L	2003-06-18 00:00:00	2003-05-20 00:00:00	TUL	Tulsa International Airport		Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
9391	0625186M	2003-06-25 00:00:00	2003-06-12 00:00:00	TUL	Tulsa International Airport	American Airlines	Passenger Property Loss	Checked Baggage	50.96	Other	Denied	0.0	Deny
