id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
856	24584	2002-12-23 00:00:00	2002-11-02 00:00:00	TUS	Tucson International	Delta Air Lines	Passenger Property Loss	Checkpoint	21.74	Other	Approved	22.0	Approve in Full
1252	0617584L	2003-01-10 00:00:00	2002-11-23 00:00:00	TUS	Tucson International		Passenger Property Loss	Checkpoint	1000.0	Electronics	Approved	1000.0	Approve in Full
1960	0128040L	2003-01-28 00:00:00	2003-01-04 00:00:00	TUS	Tucson International		Passenger Property Loss	Checked Baggage	92.0	Other	Settled	46.0	Settle
1979	0129053L	2003-01-29 00:00:00	2003-01-01 00:00:00	TUS	Tucson International	Alaska Airlines	Passenger Property Loss	Checked Baggage	125.0	Clothing & Accessories	Approved	125.0	Approve in Full
2322	0206005L	2003-02-06 00:00:00	2003-01-20 00:00:00	TUS	Tucson International	Continental Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Denied	0.0	Deny
3602	0313016L	2003-03-13 00:00:00	2003-02-10 00:00:00	TUS	Tucson International	UAL	Passenger Property Loss	Checked Baggage	360.0	Other	Canceled		
4796	0408146L	2003-04-08 00:00:00	2003-02-10 00:00:00	TUS	Tucson International	UAL	Passenger Property Loss	Checked Baggage	360.0	Other	Denied	0.0	Deny
4948	0410010L	2003-04-10 00:00:00	2003-03-08 00:00:00	TUS	Tucson International		Passenger Property Loss	Checked Baggage	156.97	Clothing & Accessories	Denied	0.0	Deny
6151	0506125L	2003-05-06 00:00:00	2003-04-12 00:00:00	TUS	Tucson International		Passenger Property Loss	Checked Baggage	672.05	Other	Denied	672.05	Deny
6364	0513011L	2003-05-13 00:00:00	2003-04-26 00:00:00	TUS	Tucson International		Passenger Property Loss	Checked Baggage	250.0	Watches & Jewelry	Settled	125.0	Settle
7564	0603000L	2003-06-03 00:00:00	2003-01-16 00:00:00	TUS	Tucson International	UAL	Passenger Property Loss	Checked Baggage	3824.39	Watches & Jewelry	Denied	0.0	Deny
8273	0610107L	2003-06-10 00:00:00	2003-05-23 00:00:00	TUS	Tucson International	Northwest Airlines	Passenger Property Loss	Checkpoint	200.0	Electronics	Settled	171.0	Settle
8395	0612084L	2003-06-12 00:00:00	2003-05-04 00:00:00	TUS	Tucson International	Northwest Airlines	Passenger Property Loss	Checked Baggage	145.0	Watches & Jewelry	Approved	145.0	Approve in Full
8876	0618083L	2003-06-18 00:00:00	2003-05-23 00:00:00	TUS	Tucson International	Continental Airlines	Passenger Property Loss	Checked Baggage	52.96	Other	Denied	0.0	Deny
8891	0618003L	2003-06-18 00:00:00	2003-06-07 00:00:00	TUS	Tucson International	American Airlines	Passenger Property Loss	Checked Baggage	18.0	Other	Settled	9.0	Settle
8892	0618006L	2003-06-18 00:00:00	2003-05-11 00:00:00	TUS	Tucson International		Passenger Property Loss	Checked Baggage	200.0	Other	Settled	100.0	Settle
9788	0701005M	2003-07-01 00:00:00	2003-06-18 00:00:00	TUS	Tucson International	Delta Air Lines	Passenger Property Loss	Checkpoint		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
