id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
7985	0609021L	2003-06-09 00:00:00	2003-02-24 00:00:00	TVC	Cherry Capital Airport		Passenger Property Loss	Checkpoint	135.0	Currency	Canceled	0.0	
12532	0805035M	2003-08-05 00:00:00	2003-06-19 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	4235.0	Jewelry - Fine	Denied	0.0	Deny
18133	1016220M	2003-10-16 00:00:00	2003-08-20 00:00:00	TVC	Cherry Capital Airport		Passenger Property Loss	Checked Baggage	150.0	Other	Settled	75.0	Settle
38823	2004071659612	2004-06-28 00:00:00	2004-06-20 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Other	Settled	150.0	Settle
41745	2004091562904	2004-08-05 00:00:00	2004-08-05 00:00:00	TVC	Cherry Capital Airport	UAL	Passenger Property Loss	Checked Baggage	10.58	Other	Approved	10.58	Approve in Full
43056	2004093064301	2004-08-24 00:00:00	2004-07-15 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	17.99	Other	Approved	17.99	Approve in Full
43087	2004100564425	2004-08-24 00:00:00	2004-08-13 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	63.89	Other	Approved	63.89	Approve in Full
43680	2004100564580	2004-08-31 00:00:00	2004-08-17 00:00:00	TVC	Cherry Capital Airport	UAL	Passenger Property Loss	Checked Baggage	65.0	Clothing - Shoes, belts, accessories, etc.	Canceled		
44050	2004100464332	2004-09-09 00:00:00	2004-08-17 00:00:00	TVC	Cherry Capital Airport	UAL	Passenger Property Loss	Checked Baggage	65.0	Clothing - Shoes, belts, accessories, etc.	Approved	65.0	Approve in Full
45076	2004103065816	2004-09-16 00:00:00	2004-08-14 00:00:00	TVC	Cherry Capital Airport	UAL	Passenger Property Loss	Checked Baggage	516.24	PDA - Personal Data Assistants	Denied		Deny
48003	2004120768722	2004-10-21 00:00:00	2004-09-06 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	1811.78	Other	Denied	0.0	Deny
49564	2005010372050	2004-11-09 00:00:00	2004-10-08 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	180.0	Jewelry - Fine	Canceled	0.0	
53153	2005011973754	2004-12-28 00:00:00	2004-11-23 00:00:00	TVC	Cherry Capital Airport		Passenger Property Loss	Checked Baggage	196.9	Clothing - Shoes, belts, accessories, etc.	Settled	98.45	Settle
65957	2005062387003	2005-06-10 00:00:00	2005-05-31 00:00:00	TVC	Cherry Capital Airport		Passenger Property Loss	Checked Baggage	400.0	Cameras - Digital	Denied	0.0	Deny
70465	2005082591536	2005-08-19 00:00:00	2005-07-09 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	27.06	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
71367	2005091492458	2005-09-06 00:00:00	2005-07-27 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	94.12	Medicines	Canceled	0.0	
78636	2006011899765	2006-01-11 00:00:00	2005-12-24 00:00:00	TVC	Cherry Capital Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	460.0	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
